ID,agestrat,TOTALscoreCR
102004,0,92
102008,0,190
102033,0,147
101044,2,94
104012,2,83
104011,4,128
104019,6,143
104031,6,134
101028,12,96
102036,12,50
101041,14,97
102007,14,114
104021,14,155
108018,14,186
102005,16,131
102023,16,127
104022,16,119
104029,16,33
108005,16,144
108006,16,175
108021,16,190
107050,20,141
108034,20,58
102003,22,46
101040,24,128
101046,24,176
102002,24,95
102037,24,132
104052,24,98
104053,24,163
107034,24,145
107051,24,185
108022,24,185
108024,24,190
101042,28,49
101048,28,103
101051,28,84
102029,28,35
104016,28,37
108017,28,186
108026,28,135
108029,28,87
109006,28,77
101003,32,98
101017,32,96
101033,32,150
101049,32,79
102006,32,158
107035,32,121
108004,32,164
101007,36,87
101013,36,70
104007,36,101
104015,36,116
104018,36,54
105001,36,125
105008,36,75
109009,36,50
101039,42,57
105013,42,101
105014,42,104
105042,42,119
107049,42,124
109008,42,83
101008,48,99
101019,48,94
101027,48,146
101036,48,96
104028,48,112
105002,48,99
105012,48,102
105020,48,109
108033,48,138
108038,48,148
101025,54,116
104003,54,113
104040,54,155
105006,54,103
105010,54,92
107046,54,172
108015,54,167
101015,60,128
101029,60,157
101031,60,172
101034,60,150
101037,60,39
101043,60,117
101050,60,149
104005,60,62
104024,60,111
104025,60,91
107037,60,179
107048,60,180
108009,60,169
108010,60,188
108025,60,152
108031,60,94
109005,60,77
104006,66,116
104030,66,82
105033,66,84
105043,66,112
101023,72,138
101024,72,171
101047,72,139
102001,72,181
102009,72,47
104004,72,111
105034,72,153
105035,72,169
107021,72,153
107036,72,181
108016,72,188
109007,72,68
101002,78,85
101018,78,106
101045,78,88
104014,78,158
107008,78,56
107052,78,87
108007,78,173
108037,78,152
109003,78,130
101009,84,63
101014,84,65
101038,84,97
104017,84,95
107039,84,138
107054,84,77
108003,84,181
101021,96,105
101030,96,155
101032,96,115
102010,96,180
102011,96,152
104023,96,100
108013,96,188
108020,96,175
108039,96,139
108043,96,180
109002,96,107
101001,108,47
107020,108,148
107055,108,37
108014,108,188
108041,108,156
109004,108,71
101010,120,59
101020,120,90
101035,120,97
104020,120,96
107019,120,145
108008,120,186
108028,120,108
102018,132,174
107004,132,180
107016,132,164
107026,132,180
107027,132,165
107030,132,176
107032,132,184
107040,132,88
107041,132,158
107042,132,183
108001,132,135
108027,132,97
108045,132,150
104002,132,101
107006,132,64
107038,132,178
101005,156,72
101012,156,86
102022,156,133
102027,156,56
102032,156,119
102040,156,136
104043,156,100
105022,156,141
107007,156,68
107017,156,117
107028,156,46
107056,156,104
107057,156,145
107058,156,136
108002,156,187
108044,156,180
101006,156,91
101011,156,82
101022,156,161
101026,156,135
102015,156,133
102017,156,163
102020,156,135
102021,156,151
102024,156,101
102026,156,112
102034,156,48
102035,156,47
104001,156,103
104026,156,81
107003,156,106
107005,156,123
107010,156,132
107014,156,152
107018,156,154
107022,156,168
107023,156,126
107024,156,58
107025,156,25
107029,156,178
107031,156,166
107033,156,150
107044,156,157
107045,156,170
107047,156,165
108012,156,187
108023,156,184
108042,156,156
102012,204,123
102013,204,137
102014,204,57
102019,204,163
104027,204,64
105027,204,95
105030,204,118
107001,204,164
107009,204,120
107015,204,154
107060,204,130
109001,204,109
101004,204,96
102016,204,148
102025,204,77
102028,204,16
102030,204,74
102031,204,99
102038,204,77
102039,204,94
104041,204,124
105026,204,127
107002,204,72
107011,204,138
107012,204,72
107013,204,139
107053,204,38
107059,204,50
108019,204,187
