ID,agestrat,TOTALscoreP
102033,0,5
120041,0,10
127042,0,6
202064,0,5
101044,2,16
118005,2,15
118015,2,10
118019,2,13
127003,2,21
127039,2,20
136012,2,13
138014,2,16
202053,2,33
109028,4,29
127018,4,22
136013,4,15
138015,4,23
202010,4,22
202025,4,29
116028,6,14
120063,6,23
127005,6,25
127026,6,19
136002,6,22
136021,6,24
136024,6,27
202020,6,27
202054,6,31
116038,8,35
120069,8,26
136008,8,29
136020,8,13
136025,8,32
202011,8,32
202023,8,28
202072,8,43
202075,8,35
116013,10,40
120037,10,40
127030,10,34
127036,10,40
127037,10,50
154003,10,28
154006,10,33
101028,12,51
102036,12,45
116012,12,50
116018,12,45
116031,12,47
116033,12,43
120013,12,33
127010,12,33
127013,12,57
136014,12,55
138018,12,41
202078,12,34
202086,12,23
109032,14,55
109059,14,49
116007,14,70
116009,14,43
127008,14,67
127040,14,63
136003,14,55
148020,14,57
202065,14,53
102023,16,49
109013,16,49
120014,16,58
136030,16,66
202046,16,62
120026,18,71
127001,18,60
202057,18,77
202059,18,49
202074,18,68
116019,20,62
120022,20,41
127012,20,59
127025,20,69
148004,20,67
148032,20,73
202045,20,79
202063,20,65
116005,22,56
127021,22,78
101040,24,79
101046,24,87
102002,24,72
102037,24,68
116001,24,101
127019,24,78
127027,24,63
127038,24,84
136019,24,63
136023,24,89
202024,24,97
202069,24,85
202079,24,48
202081,24,59
612009,24,41
101042,28,101
101048,28,129
101051,28,101
102029,28,72
109006,28,112
116010,28,90
116014,28,85
116027,28,82
120016,28,94
120048,28,105
136015,28,81
136016,28,80
136017,28,80
138011,28,103
148018,28,93
202022,28,77
202068,28,84
202095,28,63
608006,28,54
612005,28,73
612006,28,91
612010,28,62
101003,32,104
101017,32,102
101033,32,86
101049,32,89
102006,32,68
109022,32,127
109087,32,90
116006,32,110
116020,32,124
116026,32,76
118002,32,92
120052,32,110
127020,32,107
154002,32,111
202043,32,120
202055,32,126
608013,32,86
101007,36,138
101013,36,91
105001,36,65
105008,36,95
109009,36,123
116002,36,103
116003,36,99
116004,36,115
118018,36,89
120011,36,125
127006,36,140
202044,36,128
202080,36,70
508019,36,55
508021,36,53
527001,36,45
608005,36,137
101039,42,121
105013,42,106
105014,42,64
105042,42,47
109008,42,90
109018,42,129
109035,42,140
116008,42,118
116017,42,112
118009,42,127
120015,42,115
120029,42,112
127014,42,138
127017,42,116
127028,42,132
127032,42,134
148024,42,117
154009,42,190
202009,42,141
202026,42,139
202028,42,128
202042,42,122
202049,42,127
202062,42,137
202066,42,113
202087,42,63
202092,42,120
506016,42,81
508008,42,100
508022,42,50
508033,42,56
517018,42,93
608001,42,123
608009,42,126
608010,42,117
101008,48,121
101019,48,190
101027,48,144
101036,48,103
105002,48,92
105012,48,93
105020,48,89
109014,48,187
109038,48,95
109060,48,144
109066,48,129
118006,48,136
120017,48,179
120042,48,107
120064,48,129
127015,48,130
127031,48,126
148016,48,120
148021,48,128
202047,48,125
202060,48,113
202061,48,114
202088,48,163
608002,48,101
101025,54,134
105006,54,86
105010,54,46
120012,54,145
120049,54,142
127007,54,155
127024,54,143
138009,54,121
148005,54,144
154052,54,170
202006,54,150
202021,54,127
202056,54,162
202067,54,141
202071,54,159
506014,54,91
508013,54,63
508027,54,74
608003,54,139
612002,54,141
101015,60,132
