ID,agestrat,GDS_interview
101001,108,550
101002,78,584
101003,32,517
101004,204,496
101005,156,518
101006,156,514
101007,36,633
101008,48,478
101009,84,592
101010,120,539
101011,156,518
101012,156,518
101013,36,487
101014,84,483
101015,60,544
101017,32,487
101018,78,561
101019,48,690
101020,120,544
101021,96,557
101022,156,518
101023,72,599
101024,72,449
101025,54,512
101026,156,510
101027,48,621
101028,12,561
101029,60,601
101030,96,557
101031,60,477
101032,96,576
101033,32,462
101034,60,459
101035,120,544
101036,48,422
101037,60,719
101038,84,626
101039,42,565
101040,24,471
101041,14,596
101042,28,534
101043,60,673
101044,2,503
101045,78,609
101046,24,543
101047,72,541
101048,28,709
101049,32,453
101050,60,521
101051,28,538
102001,72,572
102002,24,429
102003,22,473
102004,0,500
102005,16,543
102006,32,336
102007,14,453
102008,0,512
102009,72,395
102010,96,417
102011,96,540
102012,204,500
102013,204,500
102014,204,500
102015,156,514
102016,204,500
102017,156,518
102018,132,535
102019,204,500
102020,156,518
102021,156,518
102022,156,518
102023,16,465
102024,156,518
102025,204,500
102026,156,518
102027,156,518
102028,204,500
102029,28,415
102030,204,500
102031,204,500
102032,156,518
102033,0,480
102034,156,518
102035,156,518
102036,12,516
102037,24,414
102038,204,500
102039,204,500
102040,156,518
104001,156,499
104002,132,524
104003,54,548
104004,72,588
104005,60,461
104006,66,553
104007,36,546
104011,4,520
104012,2,545
104014,78,579
104015,36,587
104016,28,487
104017,84,527
104018,36,550
104019,6,519
104020,120,548
104021,14,626
104022,16,555
104023,96,561
104024,60,545
104025,60,561
104026,156,458
104027,204,500
104028,48,502
104029,16,451
104030,66,421
104031,6,506
104040,54,573
104041,204,497
104043,156,512
104052,24,441
104053,24,425
105001,36,319
105002,48,350
105006,54,349
105008,36,466
105010,54,214
105012,48,354
105013,42,325
105014,42,308
105020,48,370
105022,156,404
105027,204,354
105030,204,387
105033,66,534
105034,72,495
105035,72,305
105042,42,248
105043,66,391
107001,204,483
107002,204,500
107003,156,489
107004,132,524
107005,156,467
107006,132,535
107007,156,514
107008,78,430
107009,204,500
107010,156,471
107011,204,500
107012,204,500
107013,204,500
107014,156,518
107015,204,498
107016,132,530
107017,156,505
107018,156,518
107019,120,561
107020,108,591
107021,72,536
107022,156,499
107023,156,478
107024,156,488
107025,156,459
107026,132,530
107027,132,471
107028,156,493
107029,156,471
107030,132,517
107031,156,464
107032,132,472
107033,156,494
107034,24,697
107035,32,395
107036,72,719
107037,60,544
107038,132,501
107039,84,527
107040,132,526
107041,132,487
107042,132,497
107044,156,495
107045,156,505
107046,54,446
107047,156,505
107048,60,590
107049,42,664
107050,20,607
107051,24,578
107052,78,550
107053,204,500
107054,84,609
107055,108,530
107056,156,476
107057,156,488
107058,156,493
107059,204,486
107060,204,494
108001,132,519
108002,156,518
108003,84,558
108004,32,458
108005,16,517
108006,16,438
108007,78,642
108008,120,561
108009,60,682
108010,60,724
108012,156,508
108013,96,495
108014,108,562
108015,54,571
108016,72,502
108017,28,395
108018,14,456
108019,204,492
108020,96,478
108021,16,466
108022,24,446
108023,156,506
108024,24,421
108025,60,519
108026,28,474
108027,132,465
108028,120,522
108029,28,488
108031,60,362
108033,48,563
108034,20,462
108037,78,450
108038,48,491
108039,96,584
108041,108,555
108042,156,506
108043,96,543
108044,156,514
108045,132,529
109001,204,479
109002,96,533
109003,78,482
109004,108,525
109005,60,477
109006,28,478
109007,72,451
109008,42,409
109009,36,596
109011,156,494
109012,120,547
109013,16,527
109014,48,481
109015,120,512
109016,108,534
109017,156,486
109018,42,548
109019,78,535
109020,78,523
109021,96,591
109022,32,636
109023,120,556
109024,204,497
109026,66,518
109027,132,522
109028,4,578
109029,132,498
109031,156,441
109032,14,508
109033,72,640
109034,132,535
109035,42,625
109036,204,500
109037,120,485
109038,48,413
109039,204,500
109040,204,500
109041,156,518
109042,120,556
109043,84,650
109044,156,508
109045,156,435
109046,84,489
109047,2,487
109048,132,476
109049,120,461
109050,108,540
109051,84,570
109052,108,489
109053,18,443
109054,42,544
109055,66,697
109056,156,490
109057,156,493
109058,204,496
109059,14,501
109060,48,610
109061,96,618
109062,156,518
109063,36,486
109064,72,492
109065,96,548
109066,48,478
109067,10,563
109068,108,543
109069,78,589
109070,156,501
109071,204,500
109072,204,463
109073,132,495
109075,156,514
109076,204,496
109077,156,518
109078,32,627
109079,108,517
109080,54,507
109081,36,567
109082,4,486
109083,156,518
109084,108,487
109085,84,546
109086,78,499
109087,32,428
109088,96,505
109089,84,561
109090,48,672
109091,66,575
109094,120,556
109095,108,526
109096,48,617
109097,72,607
109098,6,506
109102,156,484
110001,16,556
110002,12,526
110003,6,541
110004,96,555
110005,132,526
110006,84,533
110007,72,658
110008,78,538
110009,14,581
110010,12,499
111001,84,602
111002,42,513
111003,120,502
111004,36,530
111005,2,522
111006,78,517
111007,132,510
111008,14,585
111009,60,586
111010,42,570
111011,108,582
111012,36,598
111013,10,480
111014,120,553
111015,156,518
111016,204,498
111017,14,561
111018,156,505
111019,42,514
111020,42,414
111021,108,521
111022,36,488
111023,24,500
111024,42,554
111025,132,535
111026,156,518
111027,16,568
111028,48,633
111029,60,487
111030,48,541
111031,18,578
111032,60,569
111033,156,488
111034,132,519
111035,120,524
111036,132,513
111037,20,507
111038,54,676
111039,4,539
111040,204,500
111041,156,518
111042,132,508
111043,120,508
111044,72,521
111045,20,577
111046,4,482
111047,28,448
111048,10,481
111049,48,583
111050,16,533
111051,22,448
111052,60,546
111053,8,555
111054,32,451
111055,32,603
112001,32,627
112002,72,436
112003,84,403
112004,36,510
112005,204,496
112006,78,542
112007,66,527
112008,28,645
112009,36,504
112010,24,461
112011,24,692
112012,48,612
112013,132,496
112014,204,486
112015,204,476
112016,204,500
112017,96,414
112018,84,441
112019,204,496
112020,84,362
112021,36,587
112022,48,638
112023,54,555
112024,36,700
112025,32,508
112026,32,381
112027,156,518
112028,204,493
112029,156,518
112030,132,424
112031,66,413
112032,72,513
112033,84,425
112034,78,360
112035,120,438
112036,96,469
112037,204,500
112038,78,396
112039,156,502
112040,96,395
112041,120,413
112042,84,414
112043,156,514
112044,108,448
112045,108,400
112046,108,492
112047,96,485
112048,204,500
112049,204,500
112050,84,398
112051,84,387
112052,84,412
112053,132,486
112054,204,500
112055,156,518
112056,120,507
112057,204,500
112058,204,500
112059,204,500
112060,204,500
112061,204,498
112062,156,518
112063,204,500
112064,204,500
112065,204,500
112066,204,500
112067,132,535
112068,96,429
112069,132,477
112070,84,385
112071,120,453
112072,156,518
112073,204,500
112074,204,500
112075,156,518
113001,204,391
113002,156,492
113003,204,483
113004,108,591
113005,84,601
113006,60,421
113007,66,642
113008,96,576
113009,78,529
