ID,TOTALscore,agestrat
101001,184,108
101002,173,78
101003,103,32
101004,188,204
101005,190,180
101006,189,156
101007,132,36
101008,118,48
101009,180,84
101010,187,120
101011,190,156
101012,190,180
101013,105,36
101014,156,84
101015,145,60
101017,97,32
101018,169,78
101019,156,48
101020,188,120
101021,180,96
101022,190,156
101023,169,72
101024,137,72
101025,133,54
101026,188,156
101027,144,48
101028,52,12
101029,155,60
101030,180,96
101031,132,60
101032,183,96
101033,91,32
101034,127,60
101035,188,120
101036,104,48
101037,176,60
101038,186,84
101039,127,42
101040,79,24
101041,65,14
101042,99,28
101043,167,60
101044,12,2
101045,177,78
101046,93,24
101047,157,72
101048,130,28
101049,89,32
101050,140,60
101051,100,28
102001,163,72
102002,69,24
102003,71,22
102004,7,0
102005,63,16
102006,61,32
102007,42,14
102008,9,0
102009,122,72
102010,145,96
102011,176,96
102012,190,228
102013,190,228
102014,190,228
102015,189,156
102016,190,204
102017,190,156
102018,190,144
102019,190,228
102020,190,156
102021,190,156
102022,190,180
102023,50,16
102024,190,156
102025,190,204
102026,190,156
102027,190,180
102028,190,204
102029,73,28
102030,190,204
102031,190,204
102032,190,180
102033,4,0
102034,190,156
102035,190,156
102036,44,12
102037,66,24
102038,190,204
102039,190,204
102040,190,180
104001,186,156
104002,188,132
104003,137,54
104004,167,72
104005,128,60
104006,155,66
104007,117,36
104011,21,4
104012,20,2
104014,172,78
104015,122,36
104016,89,28
104017,167,84
104018,117,36
104019,26,6
104020,188,120
104021,70,14
104022,64,16
104023,180,96
104024,146,60
104025,149,60
104026,173,156
104027,190,228
104028,122,48
104029,47,16
104030,124,66
104031,24,6
104040,144,54
104041,189,204
104043,188,180
104052,72,24
104053,69,24
105001,63,36
105002,84,48
105006,91,54
105008,99,36
105010,49,54
105012,85,48
105013,72,42
105014,67,42
105020,90,48
105022,161,180
105026,135,204
105027,145,228
105030,155,228
105033,150,66
105034,150,72
105035,97,72
105042,49,42
105043,117,66
107001,182,228
107002,190,204
107003,184,156
107004,187,144
107005,176,156
107006,190,132
107007,189,180
107008,140,78
107009,190,228
107010,177,156
107011,190,204
107012,190,204
107013,190,204
107014,190,156
107015,189,228
107016,189,144
107017,188,180
107018,190,156
107019,190,120
107020,190,108
107021,158,72
107022,184,156
107023,180,156
107024,183,156
107025,176,156
107026,189,144
107027,175,144
107028,184,180
107029,181,156
107030,185,144
107031,179,156
107032,172,144
107033,186,156
107034,119,24
107035,76,32
107036,188,72
107037,144,60
107038,183,132
107039,165,84
107040,188,144
107041,183,144
107042,183,144
107044,186,156
107045,188,156
107046,118,54
107047,188,156
107048,152,60
107049,143,42
107050,88,20
107051,98,24
107052,167,78
107053,190,204
107054,182,84
107055,179,108
107056,180,180
107057,181,180
107058,184,180
107059,186,204
107060,189,228
108001,188,144
108002,190,180
108003,174,84
108004,91,32
108005,58,16
108006,46,16
108007,183,78
108008,190,120
108009,169,60
108010,176,60
108012,187,156
108013,165,96
108014,186,108
108015,144,54
108016,151,72
108017,69,28
108018,41,14
108019,188,204
108020,163,96
108021,50,16
108022,74,24
108023,186,156
108024,67,24
108025,141,60
108026,87,28
108027,174,144
108028,183,120
108029,90,28
108031,101,60
108033,134,48
108034,62,20
108037,144,78
108038,121,48
108039,184,96
108041,184,108
108042,186,156
108043,176,96
108044,189,180
108045,189,144
109001,181,228
109002,176,96
109003,153,78
109004,179,108
109005,131,60
109006,86,28
109007,138,72
109008,93,42
109009,124,36
109011,183,156
109012,188,120
109013,61,16
109014,114,48
109015,181,120
109016,180,108
109017,184,156
109018,125,42
109019,164,78
109020,160,78
109021,185,96
109022,125,32
109023,189,120
109024,189,204
109026,148,66
109027,188,144
109028,31,4
109029,182,144
109031,170,180
109032,51,14
109033,174,72
109034,190,132
109035,138,42
109036,190,204
109037,175,120
109038,101,48
109039,190,228
109040,190,204
109041,190,156
109042,189,120
109043,189,84
109044,187,180
109045,169,156
109046,156,84
109047,11,2
109048,179,132
109049,169,120
109050,182,108
109051,176,84
109052,169,108
109053,53,18
109054,124,42
109055,178,66
109056,182,180
109057,182,180
109058,188,228
109059,49,14
109060,143,48
109061,189,96
109062,190,156
109063,105,36
109064,148,72
109065,178,96
109066,118,48
109067,46,10
109068,183,108
109069,174,78
109070,185,156
109071,190,228
109072,177,204
109073,181,144
109075,189,180
109076,188,204
109077,190,156
109078,122,32
109079,176,108
109080,130,54
109081,120,36
109082,15,4
109083,190,156
109084,172,108
109085,172,84
109086,157,78
109087,83,32
109088,169,96
109089,175,84
109090,152,48
109091,158,66
109094,189,120
109095,180,108
109096,143,48
109097,170,72
109098,24,6
109102,184,156
110001,65,16
110002,46,12
110003,30,6
110004,179,96
110005,188,132
110006,170,84
110007,178,72
110008,163,78
110009,62,14
110010,42,12
111001,182,84
111002,117,42
111003,180,120
111004,113,36
111005,15,2
111006,161,78
111007,186,144
111008,63,14
111009,152,60
111010,127,42
111011,189,108
111012,124,36
111013,31,10
111014,189,120
111015,190,156
111016,189,204
111017,59,14
111018,186,156
111019,118,42
111020,94,42
111021,179,108
111022,106,36
111023,83,24
111024,125,42
111025,190,144
111026,190,180
111027,67,16
111028,147,48
111029,132,60
111030,130,48
111031,76,18
111032,150,60
111033,182,156
111034,188,144
111035,183,120
111036,187,132
111037,71,20
111038,161,54
111039,24,4
111040,190,204
111041,190,156
111042,186,144
111043,180,120
111044,155,72
111045,83,20
111046,14,4
111047,81,28
111048,32,10
111049,138,48
111050,61,16
111051,66,22
111052,146,60
111053,38,8
111054,88,32
111055,118,32
112001,122,32
112002,135,72
112003,137,84
112004,106,36
112005,188,204
112006,166,78
112007,150,66
112008,118,28
112009,108,36
112010,76,24
112011,120,24
112012,142,48
112013,181,132
112014,184,204
112015,180,204
112016,190,204
112017,144,96
112018,147,84
112019,188,204
112020,125,84
112021,123,36
112022,147,48
112023,140,54
112024,142,36
112025,100,32
112026,72,32
112027,190,156
112028,187,204
112029,190,180
112030,162,144
112031,123,66
112032,154,72
112033,144,84
112034,120,78
112035,161,120
112036,160,96
112037,190,228
112038,129,78
112039,185,180
112040,140,96
112041,157,120
112042,141,84
112043,189,180
112044,158,108
112045,149,108
112046,174,108
112047,164,96
112048,190,204
112049,190,204
112050,136,84
112051,133,84
112052,140,84
112053,179,132
112054,190,204
112055,190,180
112056,179,120
112057,190,204
112058,190,204
112059,190,204
112060,190,204
112061,189,204
112062,190,156
112063,190,204
112064,190,204
112065,190,204
112066,190,204
112067,190,144
112068,150,96
112069,176,132
112070,132,84
112071,165,120
112072,190,180
112073,190,204
112074,190,204
112075,190,180
113001,160,204
113002,186,180
113003,186,228
113004,190,108
113005,182,84
113006,119,60
113007,169,66
113008,183,96
113009,163,78
113010,134,48
113012,77,22
113013,151,108
113014,157,72
114001,126,54
114002,156,72
114003,179,132
114004,143,54
114005,17,4
114006,165,60
114007,144,54
114008,129,54
114009,139,54
114010,143,54
114011,9,2
114012,142,54
114013,115,28
114014,161,54
114015,134,54
114016,156,78
114017,171,78
114018,144,54
114020,88,24
114022,142,60
114023,169,84
115001,106,48
115002,169,84
115003,174,132
115004,187,156
115005,182,180
115006,95,32
115007,139,60
115008,179,132
115009,162,84
115010,20,4
115011,99,24
115012,184,156
115013,187,180
115014,187,228
115015,97,48
115029,152,60
115030,173,108
115031,115,36
115032,186,120
115033,173,60
115034,174,84
115035,162,108
115036,184,120
115037,91,42
115038,182,156
115039,186,180
115040,39,12
115041,190,180
115042,190,180
115043,166,78
115044,182,120
115045,187,156
115046,80,24
115047,125,42
115048,183,84
115049,184,108
115050,156,120
115116,48,14
115117,81,32
115118,125,42
115119,80,28
115120,138,54
115121,139,72
115122,181,108
115123,184,144
115124,187,156
115125,188,204
115126,159,60
115127,190,96
115128,190,120
116001,96,24
116002,102,36
116003,103,36
116004,107,36
116005,59,22
116006,104,32
116007,72,14
116008,115,42
116009,46,14
116010,84,28
116011,183,144
116012,49,12
116013,45,10
116014,91,28
116015,185,132
116016,190,144
116017,105,42
116018,47,12
116019,65,20
116020,122,32
116021,190,132
116022,190,144
116023,190,180
116024,171,108
116025,159,66
116026,67,32
116027,80,28
116028,13,6
116029,190,180
116030,190,204
116031,45,12
116032,190,180
116033,42,12
116034,190,180
116035,189,180
116036,147,66
116037,188,132
116038,26,8
116040,189,132
116041,171,108
116042,188,132
116043,126,72
116044,189,132
116045,190,132
116046,173,120
116047,190,228
116048,187,132
116049,95,28
116050,97,32
116051,184,132
116052,190,228
116053,190,228
116054,187,132
116055,92,28
116056,92,32
116057,187,144
116058,185,120
116059,186,132
116060,188,132
116061,179,120
116062,88,24
116063,75,24
116064,190,228
116065,190,228
116069,186,132
116071,188,132
116072,186,132
116073,89,32
116074,190,228
116075,190,228
116076,190,228
116077,189,132
116078,189,132
116079,90,28
116080,93,32
117001,83,32
117002,159,66
117003,183,120
117004,95,24
117005,188,120
