ID,agestrat,PHYscore
102004,0,1
102008,0,0
102033,0,0
117046,0,0
117047,0,0
120041,0,2
122004,0,0
125025,0,0
127042,0,0
131003,0,1
131026,0,0
131037,0,0
131049,0,0
137016,0,0
137047,0,1
137052,0,0
142009,0,0
146001,0,0
154065,0,0
154066,0,0
202064,0,0
202100,0,0
202102,0,0
227008,0,0
227019,0,0
229007,0,0
101044,2,2
104012,2,1
109047,2,7
111005,2,1
114011,2,0
118005,2,1
118015,2,0
118019,2,1
119022,2,0
119023,2,3
121013,2,1
122013,2,2
125039,2,2
125062,2,2
127003,2,2
127039,2,1
131001,2,0
131035,2,1
131045,2,1
136012,2,0
138014,2,2
142010,2,1
202030,2,2
202053,2,2
215006,2,3
221015,2,0
104011,4,4
109028,4,5
109082,4,2
111039,4,4
111046,4,2
114005,4,4
115010,4,4
117017,4,3
117018,4,4
117019,4,4
117025,4,4
117027,4,4
117033,4,1
125058,4,2
125061,4,6
127018,4,2
131011,4,5
131038,4,3
131050,4,2
131054,4,4
135030,4,4
136013,4,1
137013,4,4
137024,4,4
138015,4,4
142027,4,2
202007,4,1
202010,4,2
202025,4,5
202033,4,5
215008,4,2
218006,4,5
218020,4,4
218022,4,4
218025,4,4
218027,4,2
218033,4,4
220026,4,0
221014,4,4
227001,4,4
227004,4,4
227015,4,4
104019,6,4
104031,6,6
109098,6,6
110003,6,7
116028,6,2
117011,6,4
117020,6,6
120063,6,6
121006,6,4
127005,6,4
127026,6,4
127141,6,6
131053,6,5
132002,6,7
135014,6,4
136002,6,4
136021,6,5
136024,6,6
138019,6,6
139011,6,3
142012,6,5
142016,6,5
142019,6,5
154051,6,5
202020,6,3
202034,6,3
202040,6,6
202054,6,6
202070,6,6
207019,6,5
218008,6,3
218016,6,5
218023,6,4
218024,6,5
220027,6,6
223003,6,5
227005,6,6
227011,6,5
227016,6,6
229004,6,4
111053,8,8
116038,8,6
117040,8,9
117044,8,6
117053,8,8
117060,8,7
120061,8,7
120069,8,6
125053,8,5
129003,8,8
133023,8,7
136008,8,7
136020,8,6
136025,8,7
139001,8,8
142011,8,6
142024,8,7
142030,8,7
154033,8,7
154054,8,5
202011,8,5
202019,8,7
202023,8,7
202072,8,7
202075,8,6
202108,8,7
207005,8,6
207014,8,6
207022,8,10
216014,8,6
218013,8,8
218014,8,7
220042,8,6
228001,8,6
229008,8,6
109067,10,10
111013,10,8
111048,10,8
116013,10,8
117008,10,8
117010,10,7
117021,10,10
117063,10,8
119010,10,8
120037,10,9
121001,10,13
121011,10,8
125029,10,7
125043,10,6
125044,10,6
127030,10,7
127036,10,8
127037,10,10
131002,10,9
131007,10,7
131027,10,7
131031,10,8
131032,10,7
131044,10,7
132012,10,8
134047,10,10
135022,10,5
137042,10,7
139014,10,8
139017,10,8
142007,10,7
146002,10,9
154003,10,7
154006,10,10
202016,10,8
207003,10,9
207008,10,8
218011,10,9
218030,10,8
218031,10,8
227021,10,8
229001,10,7
101028,12,12
102036,12,9
110002,12,10
110010,12,10
115040,12,9
116012,12,10
116018,12,12
116031,12,12
116033,12,8
119006,12,8
120013,12,10
121017,12,10
127010,12,8
127013,12,13
131013,12,14
131030,12,8
131060,12,8
134032,12,15
136014,12,10
137014,12,13
138018,12,12
138020,12,7
154032,12,12
202078,12,11
202086,12,10
207016,12,13
218017,12,14
218021,12,15
218036,12,13
218037,12,12
220039,12,18
221010,12,11
221013,12,14
227022,12,14
228005,12,14
229002,12,8
229005,12,11
101041,14,17
102007,14,11
104021,14,19
108018,14,10
109032,14,14
109059,14,15
110009,14,15
111008,14,17
111017,14,15
115116,14,13
116007,14,18
116009,14,12
117031,14,11
121022,14,10
125027,14,13
125036,14,10
125041,14,14
125049,14,19
125057,14,12
127008,14,18
127040,14,15
131023,14,13
131048,14,12
131051,14,10
131052,14,10
134043,14,16
135005,14,11
136003,14,14
137025,14,14
139016,14,13
141001,14,14
141005,14,14
141014,14,14
141019,14,16
142002,14,14
142020,14,8
148020,14,13
154062,14,12
202065,14,11
218018,14,12
220029,14,14
224021,14,9
229003,14,9
102005,16,12
102023,16,12
104022,16,21
104029,16,11
108005,16,13
108006,16,14
108021,16,14
109013,16,18
110001,16,18
111027,16,16
111050,16,15
120014,16,14
127009,16,11
129020,16,8
131025,16,15
132028,16,12
136030,16,14
137022,16,11
139007,16,17
141003,16,17
141016,16,16
141017,16,18
141018,16,12
142014,16,18
142015,16,16
142021,16,19
202046,16,17
202104,16,12
211015,16,14
218001,16,18
218034,16,13
218035,16,13
227013,16,19
109053,18,13
111031,18,17
117056,18,15
119005,18,21
120026,18,19
121005,18,19
125030,18,15
127001,18,13
137044,18,19
137046,18,14
139005,18,15
139008,18,13
141004,18,10
141006,18,11
141015,18,19
141021,18,20
154075,18,14
202041,18,17
202057,18,18
202059,18,12
202074,18,18
207025,18,10
215003,18,14
215009,18,17
216019,18,20
218015,18,20
218026,18,20
218028,18,18
218032,18,23
221002,18,13
221003,18,12
227006,18,16
227020,18,21
229006,18,13
107050,20,21
108034,20,12
111037,20,16
111045,20,25
116019,20,18
120022,20,13
121009,20,21
121014,20,14
121015,20,15
122003,20,17
122008,20,19
122011,20,16
125035,20,19
127012,20,18
127025,20,13
131020,20,13
131021,20,13
134030,20,20
141002,20,19
141009,20,18
141010,20,17
141012,20,15
141023,20,15
141025,20,18
142006,20,17
142025,20,17
148004,20,17
148032,20,11
154035,20,13
202036,20,14
202045,20,17
202063,20,18
207006,20,15
207011,20,16
218010,20,11
218019,20,18
220038,20,21
227009,20,19
102003,22,17
111051,22,15
113012,22,19
116005,22,17
117026,22,14
117059,22,19
121012,22,21
125038,22,18
127021,22,19
129026,22,19
131036,22,21
132008,22,22
134027,22,23
134028,22,16
134029,22,17
134040,22,20
139002,22,17
139006,22,20
141007,22,19
141011,22,21
141022,22,21
141024,22,18
142001,22,23
142003,22,22
202013,22,19
206004,22,15
220006,22,15
221011,22,20
227017,22,22
302004,22,20
101040,24,18
101046,24,22
102002,24,15
102037,24,13
104052,24,19
104053,24,19
107034,24,25
107051,24,25
108022,24,19
108024,24,19
111023,24,25
112010,24,22
112011,24,24
114020,24,20
115011,24,18
115046,24,17
116001,24,23
116062,24,20
116063,24,20
117004,24,18
117013,24,20
117016,24,20
121010,24,19
122017,24,16
125055,24,21
126020,24,19
127019,24,17
127027,24,13
127038,24,20
129018,24,17
133010,24,22
134031,24,22
134036,24,20
134037,24,17
134042,24,20
135029,24,17
136019,24,15
136023,24,21
138021,24,22
139010,24,19
139012,24,17
141008,24,18
141013,24,19
141027,24,22
142004,24,18
142005,24,18
142026,24,20
151050,24,12
202024,24,21
202069,24,17
202079,24,13
202081,24,15
202105,24,20
207013,24,17
207015,24,27
211012,24,17
215007,24,17
215010,24,20
218007,24,24
218012,24,23
220004,24,15
220021,24,28
220022,24,28
223002,24,19
223007,24,19
227014,24,20
228004,24,23
505004,24,15
527005,24,9
612004,24,22
612009,24,11
101042,28,20
101048,28,29
101051,28,21
102029,28,19
104016,28,22
108017,28,14
108026,28,19
108029,28,20
109006,28,25
111047,28,17
112008,28,27
114013,28,25
115119,28,15
116010,28,23
116014,28,23
116027,28,19
116049,28,22
116055,28,20
116079,28,20
117015,28,21
117028,28,17
120016,28,24
120048,28,30
125026,28,23
125045,28,18
125059,28,20
125060,28,24
129009,28,23
131010,28,23
134033,28,20
136015,28,18
136016,28,18
136017,28,20
137007,28,21
137011,28,17
137019,28,14
138011,28,19
139022,28,19
141026,28,22
141030,28,17
148018,28,16
154043,28,16
154074,28,25
202022,28,19
202035,28,22
202068,28,7
202095,28,14
211014,28,23
211018,28,26
220040,28,31
220043,28,24
221004,28,16
223010,28,19
224008,28,21
227007,28,20
227010,28,21
227012,28,18
228003,28,23
505001,28,11
505002,28,8
608006,28,14
612005,28,21
612006,28,20
612010,28,21
101003,32,25
101017,32,21
101033,32,21
101049,32,19
102006,32,12
107035,32,14
108004,32,21
109022,32,33
109078,32,29
109087,32,20
111054,32,22
111055,32,30
112001,32,26
112025,32,22
112026,32,19
115006,32,23
115117,32,21
116006,32,28
116020,32,34
116026,32,20
116050,32,20
116056,32,20
116073,32,20
116080,32,21
117001,32,21
117045,32,26
118002,32,22
120052,32,23
125040,32,24
127020,32,22
132011,32,25
133022,32,25
134041,32,20
134046,32,16
135028,32,24
137023,32,12
137031,32,29
139019,32,29
141028,32,21
141029,32,21
141035,32,26
142008,32,30
142013,32,20
142017,32,23
143011,32,20
143024,32,19
154002,32,28
202043,32,27
202055,32,28
207020,32,20
213001,32,24
220041,32,21
221007,32,27
