PHYscore,ADPscore,SOCscore,COGscore,COMscore,TOTALscore,PHYscoreP,ADPscoreP,SOCscoreP,COGscoreP,COMscoreP,TOTALscoreP,PHYscoreT,ADPscoreT,SOCscoreT,COGscoreT,COMscoreT,TOTALscoreT,PHYscoreCR,ADPscoreCR,SOCscoreCR,COGscoreCR,COMscoreCR,TOTALscoreCR,ID,agestrat
35,35,30,39,26,165, , , , , , ,34,35,33,39,30,171, , , , , , ,130017,84
37,41,34,40,31,183, , , , , , ,34,38,33,40,29,174, , , , , , ,131012,84
35,37,31,36,30,169, , , , , , ,32,33,33,39,31,168, , , , , , ,131015,84
36,37,32,37,31,173, , , , , , ,34,36,33,36,31,170, , , , , , ,131047,84
37,40,34,40,29,180, , , , , , ,34,38,34,39,31,176, , , , , , ,131059,84
31,37,33,40,33,174, , , , , , ,34,37,34,40,31,176, , , , , , ,132021,84
35,35,34,40,31,175, , , , , , , , , , , , , , , , , , ,133003,84
34,34,33,36,32,169, , , , , , , , , , , , , , , , , , ,133012,84
36,41,32,41,32,182, , , , , , ,34,36,34,41,30,175, , , , , , ,134006,84
36,36,32,37,31,172, , , , , , ,33,35,34,39,29,170, , , , , , ,134026,84
33,37,32,35,30,167, , , , , , ,33,35,35,37,31,171, , , , , , ,135026,84
37,41,35,41,33,187, , , , , , ,33,33,30,39,28,163, , , , , , ,137006,84
36,37,34,36,30,173, , , , , , ,33,31,30,37,30,161, , , , , , ,137032,84
36,35,30,39,29,169, , , , , , ,32,31,26,36,28,153, , , , , , ,137043,84
35,35,32,37,31,170,35,37,32,38,32,174,34,36,32,39,31,172, , , , , , ,138004,84
37,41,35,40,29,182, , , , , , ,34,38,32,40,29,173, , , , , , ,143004,84
36,38,35,39,30,178, , , , , , ,34,35,31,41,31,172, , , , , , ,143005,84
26,30,31,30,27,144,26,30,31,32,27,146,28,30,31,29,30,148, , , , , , ,148001,84
36,35,30,39,29,169,35,34,30,39,29,167,34,34,32,38,31,169, , , , , , ,148012,84
34,34,34,33,31,166,34,34,34,33,31,166,33,33,33,33,31,163, , , , , , ,148013,84
35,39,34,35,29,172,35,39,34,35,29,172,32,36,33,34,30,165, , , , , , ,148023,84
35,36,31,32,27,161,35,36,31,32,27,161,33,33,32,33,27,158, , , , , , ,148030,84
32,23,27,35,31,148, , , , , , ,34,32,31,39,31,167, , , , , , ,151012,84
31,29,29,36,28,153, , , , , , ,32,31,30,40,30,163, , , , , , ,151042,84
35,30,30,38,29,162, , , , , , ,34,33,32,40,31,170, , , , , , ,151043,84
34,32,26,39,30,161, , , , , , ,33,32,27,37,29,158, , , , , , ,151044,84
33,33,30,36,31,163, , , , , , ,30,31,26,34,27,148, , , , , , ,151052,84
33,34,32,38,30,167, , , , , , ,31,31,21,39,27,149, , , , , , ,151053,84
32,33,30,37,29,161, , , , , , ,34,38,31,40,28,171, , , , , , ,151057,84
33,34,31,39,29,166, , , , , , ,33,33,28,39,28,161, , , , , , ,151058,84
32,31,30,41,30,164, , , , , , ,31,35,32,39,29,166, , , , , , ,151059,84
34,39,33,34,30,170,37,34,32,42,32,177,34,37,34,40,30,175, , , , , , ,154005,84
37,41,34,40,32,184,37,41,36,41,31,186, , , , , , , , , , , , ,154024,84
30,30,30,26,23,139, , , , , , , , , , , , , , , , , , ,154038,84
37,40,29,38,32,176, , , , , , ,34,31,26,33,30,154, , , , , , ,154040,84
35,36,30,37,29,167, , , , , , , , , , , , , , , , , , ,154063,84
36,37,29,31,29,162, , , , , , , , , , , , , , , , , , ,154067,84
35,34,30,30,29,158, , , , , , ,33,31,28,37,29,158, , , , , , ,154078,84
37,39,31,35,26,168,37,37,30,36,28,168,34,28,28,31,22,143, , , , , , ,202097,84
35,35,32,35,30,167, , , , , , ,29,29,26,30,26,140, , , , , , ,206005,84
25,19,21,24,28,117, , , , , , , , , , , , , , , , , , ,206006,84
33,32,27,33,31,156, , , , , , ,33,28,18,23,20,122, , , , , , ,206008,84
36,33,33,41,29,172, , , , , , ,34,38,33,40,30,175, , , , , , ,206010,84
37,40,34,41,32,184, , , , , , ,34,33,24,30,29,150, , , , , , ,206017,84
36,34,29,37,23,159, , , , , , ,34,32,14,39,28,147, , , , , , ,206024,84
36,28,23,27,27,141, , , , , , ,33,27,24,30,27,141, , , , , , ,207007,84
36,27,32,32,27,154, , , , , , ,33,25,30,32,28,148, , , , , , ,207024,84
34,31,26,38,29,158, , , , , , ,34,33,30,38,30,165, , , , , , ,211009,84
37,38,33,37,31,176, , , , , , ,31,30,27,30,26,144, , , , , , ,215001,84
37,36,31,37,30,171, , , , , , ,33,37,34,37,29,170, , , , , , ,215004,84
37,41,34,41,32,185, , , , , , ,34,38,35,41,31,179, , , , , , ,216001,84
37,39,33,40,31,180, , , , , , ,33,35,34,40,31,173, , , , , , ,216009,84
36,36,32,38,30,172, , , , , , ,33,34,33,36,30,166, , , , , , ,216017,84
35,35,34,36,29,169, , , , , , , , , , , , , , , , , , ,218005,84
37,38,30,37,28,170, , , , , , ,33,31,31,37,29,161, , , , , , ,219004,84
37,40,32,39,27,175, , , , , , ,34,34,33,40,30,171, , , , , , ,219005,84
30,21,18,20,25,114, , , , , , ,29,33,27,40,28,157, , , , , , ,220009,84
37,41,35,42,34,189, , , , , , ,34,38,34,41,31,178, , , , , , ,302006,84
33,32,23,39,30,157, , , , , , ,12,13,17,27,14,83, , , , , , ,501003,84
32,29,22,25,24,132,32,31,23,31,25,142,30,30,25,28,26,139, , , , , , ,506009,84
24,19,17,24,23,107, , , , , , ,25,22,16,26,23,112, , , , , , ,508023,84
26,24,18,23,25,116,31,34,32,32,27,156,23,24,17,24,23,111, , , , , , ,508024,84
27,24,17,22,23,113, , , , , , ,31,23,15,23,23,115, , , , , , ,508025,84
25,23,36,22,25,131, , , , , , ,26,22,12,20,20,100, , , , , , ,508028,84
28,26,21,31,22,128,34,39,28,40,28,169,31,34,34,40,26,165, , , , , , ,508034,84
35,34,28,28,26,151, , , , , , ,33,33,25,27,25,143, , , , , , ,517011,84
35,29,28,24,26,142,35,29,28,24,26,142,32,29,25,24,25,135, , , , , , ,517017,84
37,37,25,39,28,166,37,37,25,39,28,166,34,36,23,39,28,160, , , , , , ,517026,84
27,24,12,28,26,117,30,22,15,28,24,119,29,23,15,28,27,122, , , , , , ,602005,84
16,19,12,12,11,70, , , , , , ,19,22,22,13,16,92, , , , , , ,605004,84
32,31,29,39,32,163, , , , , , , , , , , , , , , , , , ,701001,84
19,21,11,16,18,85, , , , , , ,20,19,16,19,19,93, , , , , , ,705004,84
36,38,33,36,30,173,36,38,33,37,30,174,34,38,34,39,31,176,21,15,11,19,19,85,101002,78
37,39,30,34,29,169,37,41,36,42,34,190,34,32,27,36,28,157,27,24,15,19,21,106,101018,78
36,38,33,40,30,177,36,39,32,39,30,176, , , , , , ,23,17,12,20,16,88,101045,78
36,38,31,37,30,172, , , , , , , , , , , , ,35,31,25,40,27,158,104014,78
24,27,30,35,24,140, , , , , , ,33,30,32,32,27,154,15,11,10,8,12,56,107008,78
35,34,33,35,30,167, , , , , , ,32,35,31,38,31,167,21,18,17,14,17,87,107052,78
36,41,36,39,31,183, , , , , , , , , , , , ,37,35,28,41,32,173,108007,78
29,30,25,31,29,144, , , , , , , , , , , , ,37,32,12,42,29,152,108037,78
33,28,29,33,30,153, , , , , , ,29,31,31,35,29,155,32,27,20,29,22,130,109003,78
34,32,35,35,28,164,36,37,35,37,29,174,32,29,28,33,26,148, , , , , , ,109019,78
35,30,32,37,26,160,35,38,35,38,30,176,31,35,29,28,24,147, , , , , , ,109020,78
36,38,35,35,30,174, , , , , , ,33,36,34,37,31,171, , , , , , ,109069,78
34,35,29,30,29,157, , , , , , ,32,34,34,31,29,160, , , , , , ,109086,78
37,34,28,36,28,163, , , , , , , , , , , , , , , , , , ,110008,78
33,33,32,33,30,161, , , , , , ,32,33,30,34,28,157, , , , , , ,111006,78
34,35,33,36,28,166, , , , , , ,33,33,31,37,29,163, , , , , , ,112006,78
23,23,20,33,21,120, , , , , , ,25,22,16,29,20,112, , , , , , ,112034,78
27,29,22,28,23,129, , , , , , ,24,27,21,27,22,121, , , , , , ,112038,78
33,32,32,37,29,163, , , , , , , , , , , , , , , , , , ,113009,78
33,34,27,34,28,156, , , , , , ,30,35,30,33,25,153, , , , , , ,114016,78
34,36,30,41,30,171, , , , , , ,34,38,33,41,30,176, , , , , , ,114017,78
36,33,33,35,29,166, , , , , , ,33,35,28,39,29,164, , , , , , ,115043,78
36,37,31,39,27,170, , , , , , , , , , , , , , , , , , ,117036,78
33,36,30,37,29,165, , , , , , , , , , , , , , , , , , ,117049,78
35,33,33,37,30,168,35,35,34,38,30,172,33,38,34,39,31,175, , , , , , ,118011,78
35,33,34,38,30,170, , , , , , ,32,29,28,31,27,147, , , , , , ,119009,78
37,39,35,37,31,179, , , , , , ,34,38,32,40,29,173, , , , , , ,119015,78
36,32,26,37,29,160,37,34,33,37,30,171,34,33,32,39,29,167, , , , , , ,120023,78
34,27,26,26,24,137, , , , , , ,31,27,33,31,29,151, , , , , , ,120056,78
32,28,29,34,27,150,33,31,31,35,28,158,32,32,31,32,29,156, , , , , , ,120057,78
32,33,25,26,26,142,32,33,25,26,26,142,31,32,29,28,21,141, , , , , , ,120070,78
37,40,36,40,33,186, , , , , , ,31,38,34,42,31,176, , , , , , ,121018,78
31,37,30,27,25,150, , , , , , , , , , , , , , , , , , ,122015,78
33,32,29,26,23,143, , , , , , ,33,31,24,25,22,135, , , , , , ,123015,78
36,29,30,30,26,151, , , , , , ,33,33,31,31,26,154, , , , , , ,123053,78
34,34,32,42,30,172, , , , , , , , , , , , , , , , , , ,125032,78
37,34,34,40,30,175,37,35,35,40,30,177,34,31,31,39,25,160, , , , , , ,127004,78
35,39,35,40,32,181,35,37,33,38,31,174,33,38,34,38,30,173, , , , , , ,127033,78
35,33,35,38,30,171, , , , , , ,33,32,33,37,28,163, , , , , , ,128021,78
34,29,31,34,29,157, , , , , , ,33,28,30,34,30,155, , , , , , ,129016,78
36,36,32,41,28,173, , , , , , ,33,34,31,40,28,166, , , , , , ,129022,78
33,27,20,26,26,132, , , , , , ,31,26,20,26,26,129, , , , , , ,129029,78
37,32,31,37,28,165, , , , , , , , , , , , , , , , , , ,131017,78
37,38,33,42,32,182, , , , , , , , , , , , , , , , , , ,132006,78
29,35,26,36,29,155, , , , , , , , , , , , , , , , , , ,133001,78
36,38,33,41,31,179, , , , , , , , , , , , , , , , , , ,133015,78
36,31,33,28,30,158, , , , , , , , , , , , , , , , , , ,133030,78
34,36,33,37,30,170, , , , , , ,33,35,28,37,28,161, , , , , , ,134019,78
36,34,33,37,29,169, , , , , , ,34,35,28,39,29,165, , , , , , ,135008,78
36,40,35,39,31,181, , , , , , ,30,28,29,34,27,148, , , , , , ,137030,78
32,31,30,32,29,154,32,31,31,33,28,155,33,32,33,33,29,160, , , , , , ,138008,78
31,35,29,31,29,155, , , , , , ,32,30,28,35,27,152, , , , , , ,143008,78
34,35,30,31,29,159,35,36,29,33,29,162,32,35,30,34,29,160, , , , , , ,148026,78
33,28,28,33,25,147, , , , , , ,31,33,32,41,31,168, , , , , , ,151008,78
33,25,15,27,26,126, , , , , , ,31,31,32,33,26,153, , , , , , ,151016,78
36,33,28,33,30,160, , , , , , , , , , , , , , , , , , ,154049,78
34,32,27,30,27,150, , , , , , , , , , , , , , , , , , ,154059,78
34,31,31,32,29,157, , , , , , , , , , , , , , , , , , ,154072,78
34,34,31,31,28,158, , , , , , ,26,26,21,21,17,111, , , , , , ,201016,78
31,27,27,36,28,149, , , , , , ,29,27,26,36,27,145, , , , , , ,202015,78
33,35,31,37,29,165,32,35,32,35,27,161,32,32,31,38,29,162, , , , , , ,202027,78
37,41,36,37,31,182,37,41,36,39,31,184,32,31,33,37,30,163, , , , , , ,202039,78
36,35,34,39,31,175,35,35,34,42,31,177,33,31,31,42,31,168, , , , , , ,202052,78
30,27,22,35,28,142,37,41,35,42,31,186,33,32,33,29,30,157, , , , , , ,202089,78
33,33,22,30,27,145, , , , , , , , , , , , , , , , , , ,206003,78
37,37,31,37,30,172, , , , , , , , , , , , , , , , , , ,206019,78
33,36,33,38,29,169, , , , , , ,33,38,31,38,29,169, , , , , , ,206020,78
37,38,36,38,31,180, , , , , , , , , , , , , , , , , , ,211016,78
34,30,24,35,29,152, , , , , , ,34,37,33,39,31,174, , , , , , ,219001,78
33,36,34,36,31,170, , , , , , ,32,35,32,39,30,168, , , , , , ,220002,78
36,37,31,39,31,174, , , , , , ,34,29,14,39,27,143, , , , , , ,220018,78
32,35,32,34,29,162, , , , , , ,28,29,29,28,26,140, , , , , , ,220020,78
37,36,36,39,32,180, , , , , , , , , , , , , , , , , , ,220024,78
35,33,33,36,30,167, , , , , , ,32,36,33,37,29,167, , , , , , ,224002,78
