ID,agestrat,SOCscoreT
104011,4,1
104019,6,5
207003,10,11
121017,12,9
137014,12,12
224021,14,9
108021,16,19
211015,16,18
302004,22,12
101040,24,19
102002,24,12
107034,24,21
107051,24,27
112010,24,10
112011,24,9
116001,24,16
116062,24,13
116063,24,15
125055,24,13
126020,24,12
127019,24,22
134031,24,12
134036,24,15
134037,24,13
134042,24,13
138021,24,16
141027,24,20
151050,24,11
202024,24,27
202069,24,14
202081,24,14
202105,24,15
207013,24,15
207015,24,13
211012,24,14
218007,24,18
220004,24,10
220021,24,21
220022,24,15
223002,24,17
223007,24,14
227014,24,15
527005,24,11
612004,24,13
612009,24,8
102029,28,11
109006,28,20
111047,28,17
112008,28,12
114013,28,16
116010,28,13
116014,28,16
116027,28,14
116049,28,17
116055,28,18
116079,28,16
117015,28,11
120016,28,28
120048,28,16
125026,28,20
129009,28,18
134033,28,14
137007,28,23
138011,28,13
141026,28,18
141030,28,18
148018,28,17
154043,28,12
202022,28,18
202035,28,17
202068,28,29
202095,28,11
211014,28,22
221004,28,18
223010,28,10
224008,28,15
227007,28,14
227010,28,14
227012,28,10
608006,28,11
612005,28,11
612006,28,15
612010,28,8
101003,32,19
101017,32,21
101033,32,25
102006,32,12
107035,32,25
109022,32,29
109078,32,19
109087,32,21
111054,32,15
111055,32,23
112001,32,20
112025,32,20
112026,32,7
116006,32,18
116020,32,21
116026,32,14
116050,32,18
116056,32,16
116073,32,14
116080,32,14
117001,32,16
117045,32,23
118002,32,22
120052,32,23
125040,32,15
127020,32,27
134041,32,15
134046,32,18
139019,32,12
141028,32,19
141029,32,19
141035,32,20
143011,32,31
143024,32,24
154002,32,24
202043,32,26
202055,32,23
207020,32,14
221007,32,15
224004,32,16
227002,32,15
227018,32,14
608013,32,10
101007,36,27
104018,36,17
105001,36,4
105008,36,17
109009,36,22
109063,36,12
109081,36,25
111012,36,21
111022,36,23
112004,36,11
112009,36,17
112021,36,20
112024,36,21
116002,36,17
116003,36,15
116004,36,17
117012,36,12
117030,36,21
117042,36,24
119001,36,23
120011,36,12
121007,36,20
121020,36,17
122001,36,23
123021,36,26
123040,36,24
123071,36,19
123072,36,23
127006,36,18
129004,36,22
129005,36,17
129008,36,18
129014,36,26
129023,36,24
129024,36,20
129028,36,15
131006,36,21
131009,36,21
131034,36,18
137004,36,15
137010,36,14
137045,36,19
141031,36,19
141032,36,21
141033,36,20
141037,36,18
141039,36,18
151006,36,20
151014,36,20
151017,36,12
151041,36,12
151045,36,12
202044,36,25
207023,36,15
