ID,agestrat,ADPscoreCR
102004,0,20
102008,0,41
102033,0,32
101044,2,21
104012,2,15
104011,4,28
104019,6,29
104031,6,27
101028,12,23
102036,12,13
101041,14,24
102007,14,22
104021,14,28
108018,14,39
102005,16,25
102023,16,24
104022,16,28
104029,16,5
108005,16,35
108006,16,37
108021,16,41
107050,20,30
108034,20,21
102003,22,9
101040,24,27
101046,24,39
102002,24,20
102037,24,29
104052,24,20
104053,24,35
107034,24,33
107051,24,39
108022,24,39
108024,24,41
101042,28,10
101048,28,22
101051,28,17
102029,28,9
104016,28,8
108017,28,39
108026,28,26
108029,28,19
109006,28,16
101003,32,17
101017,32,21
101033,32,36
101049,32,15
102006,32,30
107035,32,27
108004,32,35
101007,36,12
101013,36,12
104007,36,20
104015,36,25
104018,36,13
105001,36,25
105008,36,18
109009,36,10
101039,42,10
105013,42,16
105014,42,19
105042,42,25
107049,42,27
109008,42,15
101008,48,22
101019,48,18
101027,48,36
101036,48,22
104028,48,25
105002,48,20
105012,48,20
105020,48,23
108033,48,30
108038,48,35
101025,54,27
104003,54,25
104040,54,37
105006,54,22
105010,54,18
107046,54,40
108015,54,34
101015,60,22
101029,60,34
101031,60,35
101034,60,31
101037,60,7
101043,60,28
101050,60,27
104005,60,12
104024,60,23
104025,60,23
107037,60,38
107048,60,38
108009,60,41
108010,60,39
108025,60,30
108031,60,21
109005,60,15
104006,66,23
104030,66,14
105033,66,19
105043,66,24
101023,72,32
101024,72,34
101047,72,26
102001,72,39
102009,72,10
104004,72,25
105034,72,31
105035,72,36
107021,72,34
107036,72,38
108016,72,39
109007,72,13
101002,78,15
101018,78,24
101045,78,17
104014,78,31
107008,78,11
107052,78,18
108007,78,35
108037,78,32
109003,78,27
101009,84,10
101014,84,17
101038,84,21
104017,84,15
107039,84,29
107054,84,15
108003,84,37
101021,96,21
101030,96,32
101032,96,26
102010,96,37
102011,96,30
104023,96,20
108013,96,39
108020,96,41
108039,96,29
108043,96,39
109002,96,22
101001,108,12
107020,108,28
107055,108,6
108014,108,40
108041,108,37
109004,108,19
101010,120,13
101020,120,20
101035,120,25
104020,120,21
107019,120,33
108008,120,41
108028,120,25
102018,132,35
107004,132,39
107016,132,37
107026,132,38
107027,132,35
107030,132,37
107032,132,39
107040,132,21
107041,132,33
107042,132,39
108001,132,29
108027,132,25
108045,132,30
104002,132,22
107006,132,13
107038,132,38
101005,156,13
101012,156,15
102022,156,30
102027,156,16
102032,156,25
102040,156,24
104043,156,22
105022,156,29
107007,156,15
107017,156,25
107028,156,13
107056,156,12
107057,156,28
107058,156,26
108002,156,41
108044,156,38
101006,156,20
101011,156,20
101022,156,36
101026,156,32
102015,156,25
102017,156,38
102020,156,23
102021,156,28
102024,156,22
102026,156,25
102034,156,7
102035,156,8
104001,156,20
104026,156,19
107003,156,22
107005,156,26
107010,156,26
107014,156,35
107018,156,38
107022,156,38
107023,156,26
107024,156,12
107025,156,6
107029,156,38
107031,156,36
107033,156,34
107044,156,32
107045,156,37
107047,156,37
108012,156,39
108023,156,38
108042,156,36
102012,204,21
102013,204,27
102014,204,11
102019,204,30
104027,204,15
105027,204,23
105030,204,26
107001,204,36
107009,204,25
107015,204,35
107060,204,27
109001,204,22
101004,204,23
102016,204,32
102025,204,21
102028,204,3
102030,204,18
102031,204,19
102038,204,15
102039,204,23
104041,204,26
105026,204,30
107002,204,13
107011,204,36
107012,204,20
107013,204,33
107053,204,6
107059,204,11
108019,204,39
