ID,agestrat,COGscoreCR
102004,0,15
102008,0,42
102033,0,30
101044,2,20
104012,2,18
104011,4,23
104019,6,34
104031,6,26
101028,12,22
102036,12,9
101041,14,18
102007,14,23
104021,14,42
108018,14,41
102005,16,28
102023,16,26
104022,16,28
104029,16,5
108005,16,25
108006,16,34
108021,16,42
107050,20,30
108034,20,8
102003,22,8
101040,24,23
101046,24,40
102002,24,24
102037,24,27
104052,24,16
104053,24,36
107034,24,27
107051,24,42
108022,24,40
108024,24,42
101042,28,11
101048,28,19
101051,28,15
102029,28,6
104016,28,8
108017,28,40
108026,28,28
108029,28,14
109006,28,13
101003,32,18
101017,32,15
101033,32,29
101049,32,18
102006,32,36
107035,32,21
108004,32,32
101007,36,19
101013,36,12
104007,36,18
104015,36,29
104018,36,11
105001,36,26
105008,36,12
109009,36,7
101039,42,13
105013,42,22
105014,42,20
105042,42,26
107049,42,19
109008,42,14
101008,48,16
101019,48,16
101027,48,30
101036,48,25
104028,48,16
105002,48,20
105012,48,19
105020,48,20
108033,48,38
108038,48,39
101025,54,22
104003,54,20
104040,54,30
105006,54,17
105010,54,15
107046,54,40
108015,54,37
101015,60,28
101029,60,40
101031,60,40
101034,60,31
101037,60,7
101043,60,21
101050,60,41
104005,60,10
104024,60,19
104025,60,17
107037,60,38
107048,60,42
108009,60,42
108010,60,42
108025,60,34
108031,60,18
109005,60,12
104006,66,22
104030,66,12
105033,66,17
105043,66,23
101023,72,35
101024,72,41
101047,72,35
102001,72,40
102009,72,11
104004,72,16
105034,72,36
105035,72,36
107021,72,32
107036,72,42
108016,72,42
109007,72,12
101002,78,19
101018,78,19
101045,78,20
104014,78,40
107008,78,8
107052,78,14
108007,78,41
108037,78,42
109003,78,29
101009,84,14
101014,84,8
101038,84,17
104017,84,20
107039,84,24
107054,84,15
108003,84,37
101021,96,17
101030,96,33
101032,96,19
102010,96,40
102011,96,33
104023,96,23
108013,96,42
108020,96,42
108039,96,38
108043,96,41
109002,96,23
101001,108,11
107020,108,39
107055,108,6
108014,108,41
108041,108,36
109004,108,17
101010,120,12
101020,120,16
101035,120,20
104020,120,24
107019,120,41
108008,120,41
108028,120,21
102018,132,41
107004,132,40
107016,132,37
107026,132,39
107027,132,30
107030,132,41
107032,132,42
107040,132,11
107041,132,36
107042,132,42
108001,132,24
108027,132,10
108045,132,38
104002,132,22
107006,132,11
107038,132,41
101005,156,15
101012,156,20
102022,156,29
102027,156,8
102032,156,25
102040,156,35
104043,156,17
105022,156,36
107007,156,13
107017,156,27
107028,156,7
107056,156,38
107057,156,39
107058,156,35
108002,156,42
108044,156,41
101006,156,19
101011,156,18
101022,156,38
101026,156,30
102015,156,28
102017,156,41
102020,156,27
102021,156,33
102024,156,19
102026,156,36
102034,156,7
102035,156,9
104001,156,23
104026,156,12
107003,156,22
107005,156,25
107010,156,32
107014,156,33
107018,156,33
107022,156,34
107023,156,24
107024,156,6
107025,156,3
107029,156,42
107031,156,36
107033,156,28
107044,156,35
107045,156,35
107047,156,39
108012,156,42
108023,156,40
108042,156,39
102012,204,27
102013,204,30
102014,204,11
102019,204,41
104027,204,9
105027,204,16
105030,204,26
107001,204,35
107009,204,27
107015,204,35
107060,204,33
109001,204,24
101004,204,16
102016,204,27
102025,204,13
102028,204,4
102030,204,11
102031,204,20
102038,204,25
102039,204,15
104041,204,23
105026,204,26
107002,204,14
107011,204,34
107012,204,15
107013,204,25
107053,204,5
107059,204,8
108019,204,41
