ID,agestrat,GDS_parent
101001,108,544
101002,78,604
101003,32,527
101004,204,497
101005,156,514
101006,156,518
101007,36,687
101008,48,505
101009,84,576
101010,120,528
101011,156,505
101012,156,518
101013,36,431
101014,78,512
101015,60,492
101017,32,514
101018,78,693
101019,48,800
101020,120,561
101021,96,548
101022,156,518
101023,72,614
101024,72,451
101025,54,532
101026,156,514
101027,48,635
101028,12,556
101029,60,601
101030,96,566
101031,60,479
101032,96,577
101033,32,437
101034,60,435
101035,120,544
101036,48,424
101037,60,696
101038,84,602
101039,42,536
101040,24,471
101042,28,552
101043,60,740
101044,2,520
101045,78,614
101046,24,512
101047,72,544
101048,28,705
101049,32,453
101050,60,472
101051,28,545
102001,72,545
102002,24,443
102006,32,362
102010,96,502
102011,96,533
102012,204,500
102013,204,500
102014,204,500
102015,156,514
102016,204,500
102017,156,518
102018,132,535
102019,204,500
102020,156,518
102021,156,518
102022,156,518
102023,16,452
102024,156,518
102025,204,500
102026,156,518
102027,156,518
102028,204,500
102029,28,411
102030,204,500
102031,204,500
102032,156,518
102033,0,484
102034,156,518
102035,156,518
102036,12,517
102037,24,425
102038,204,500
102039,204,500
102040,156,518
105001,36,322
105002,48,381
105006,54,331
105008,36,462
105010,54,211
105012,48,385
105013,42,465
105014,42,295
105020,48,366
105022,156,371
105027,204,368
105033,66,688
105034,72,471
105035,72,355
105042,42,241
105043,66,413
109001,204,476
109004,108,546
109005,60,672
109006,28,599
109007,72,506
109008,42,394
109009,36,594
109011,156,504
109012,120,526
109013,16,454
109015,120,494
109016,96,570
109017,156,518
109018,42,582
109019,78,600
109020,78,608
109021,96,553
109022,32,659
109023,120,532
109024,156,518
109026,66,552
109028,4,563
109029,132,535
109032,14,537
109033,72,687
109034,132,535
109035,36,696
109036,204,500
109038,54,360
109039,204,493
109040,204,496
109041,156,512
109042,120,525
109043,84,565
109044,156,500
109045,156,475
109059,14,499
109060,48,635
109061,96,604
109062,156,510
109064,72,501
109065,96,549
109066,48,549
109087,32,460
116001,24,592
116002,36,500
116003,36,478
116004,36,544
116005,22,400
116006,32,569
116007,14,625
116008,42,538
116009,14,463
116010,28,493
116011,132,505
116012,0,727
116013,10,529
116014,28,466
116015,132,530
116016,132,535
116017,42,500
116018,12,521
116019,20,464
116020,32,643
116021,132,535
116022,132,535
116023,156,518
116024,108,515
116025,66,647
116026,32,393
116027,28,456
116028,6,437
116029,156,514
116030,204,500
116031,12,532
116032,156,518
116033,12,509
116034,156,518
116035,156,518
116036,66,584
116037,132,535
116038,8,535
116040,132,523
118001,66,506
118002,32,461
118003,156,514
118004,132,528
118005,2,517
118006,48,583
118007,156,514
118008,132,522
118009,42,565
118010,120,539
118011,78,592
118012,66,613
118014,4,533
118015,2,484
118016,96,500
118017,66,539
118018,36,421
118019,2,503
120009,156,505
120010,204,500
120011,36,608
120012,54,603
120013,10,482
120014,16,514
120015,42,502
120016,32,476
120017,48,789
120018,60,703
120019,84,626
120020,84,561
120022,18,383
120023,78,594
120024,108,539
120025,132,483
120026,18,548
120027,72,611
120028,108,550
120029,48,467
120030,72,545
120031,60,382
120032,60,582
120033,66,478
120034,20,449
120035,60,469
120037,10,529
120038,72,618
120041,0,514
120042,54,408
120043,108,562
120044,108,551
120045,132,535
120046,96,612
120047,132,535
120048,28,583
120049,54,586
120050,72,656
120051,108,568
120052,32,551
120053,60,544
120055,60,646
120057,84,490
120058,108,475
120063,6,495
120064,48,546
120065,72,533
120066,132,529
120069,8,473
120070,78,455
120071,120,525
120072,132,492
127001,18,485
127002,132,519
127003,2,547
127004,78,621
127005,6,508
127006,36,699
127007,54,656
127008,14,607
127010,0,634
127011,66,461
127012,18,483
127013,12,588
127014,42,644
127015,48,554
127016,66,594
127017,42,511
127018,4,524
127019,24,467
127020,32,542
127021,24,468
127022,84,583
127023,120,531
127024,54,586
127025,20,498
127026,6,470
127027,24,399
127028,42,605
127029,66,540
127030,10,491
127031,48,543
127032,42,618
127033,78,607
127034,132,521
127035,84,551
127036,10,526
127037,10,586
127038,24,498
127039,2,543
127040,14,584
127041,6,517
127042,0,494
136001,132,535
136002,6,487
136003,14,538
136004,132,529
136005,120,526
136008,8,492
136011,60,618
136012,2,503
136013,4,479
136014,0,747
136015,28,447
136016,28,444
136017,28,442
136019,24,398
136020,8,397
136021,4,532
136022,12,520
136023,24,525
136024,6,519
136025,8,512
136026,66,641
136030,16,560
