ID,adpscore_teacher,agestrat
101001,38,108
101002,38,78
101003,25,32
101004,37,204
101005,36,156
101006,37,156
101007,25,36
101009,38,84
101010,36,120
101011,36,156
101012,38,156
101015,33,60
101017,23,32
101018,32,72
101019,29,48
101021,35,96
101023,35,72
101024,30,72
101025,29,54
101026,38,156
101027,25,54
101029,32,60
101030,36,96
101031,26,60
101032,38,96
101033,19,32
101034,27,60
101035,38,120
101036,30,48
101037,35,60
101039,21,42
101040,20,24
102001,33,72
102002,9,24
102006,8,32
102009,26,72
102010,28,96
102011,35,96
102012,38,204
102013,38,204
102014,38,204
102015,38,156
102016,38,204
102017,38,156
102018,38,132
102019,38,204
102020,38,156
102021,38,156
102022,38,156
102024,38,156
102025,38,204
102026,38,156
102027,38,156
102028,38,204
102029,11,28
102030,38,204
102031,38,204
102032,38,156
102034,38,156
102035,38,156
102038,38,204
102039,38,204
102040,38,156
104001,38,156
104002,38,132
104004,34,72
104005,28,48
104017,37,84
104023,35,96
104024,30,60
104025,28,60
104026,34,156
105001,8,36
105002,21,48
105006,19,54
105008,19,36
105010,15,54
105012,18,48
105013,17,42
105014,12,42
105020,15,48
105022,34,156
105027,35,204
105030,37,204
105033,28,66
105034,31,72
105035,31,72
105042,16,42
105043,31,66
107001,38,204
107002,38,204
107003,35,156
107004,36,132
107005,28,156
107006,38,132
107007,38,156
107008,30,78
107010,38,156
107011,38,204
107012,38,204
107013,38,204
107014,38,156
107015,38,204
107016,38,132
107017,38,156
107018,36,156
107019,38,120
107020,38,108
107021,30,72
107022,38,156
107023,38,156
107024,38,156
107025,38,156
107026,38,132
107027,38,132
107028,38,156
107029,38,156
107030,38,132
107031,38,156
107032,38,132
107033,38,156
107034,19,24
107035,25,32
107036,35,72
107037,33,60
107038,37,132
107039,36,84
107040,37,132
107041,35,132
107042,38,132
107044,38,156
107045,38,156
107046,28,54
107047,38,156
107048,26,60
107049,33,42
107051,20,24
107052,35,78
107053,38,204
107054,38,84
107055,38,108
107056,38,156
107057,38,156
107058,38,156
107059,38,204
107060,38,204
108003,35,84
108013,38,96
108015,31,54
108016,35,72
108031,22,60
109001,34,204
109002,30,96
109003,31,78
109004,38,108
109005,36,60
109006,21,28
109007,34,72
109008,19,42
109009,23,36
109011,36,156
109012,37,120
109014,34,48
109015,37,120
109016,38,108
109017,37,156
109018,21,42
109019,29,78
109020,35,78
109021,33,96
109022,30,32
109023,36,120
109024,38,204
109026,30,66
109027,38,132
109029,34,132
109031,37,156
109033,37,72
109034,38,132
109035,29,42
109036,38,204
109037,38,120
109038,25,54
109039,38,204
109040,38,204
109041,38,156
109042,38,120
109043,38,84
109044,38,156
109045,36,156
109046,36,84
109048,37,132
109049,31,120
109050,37,108
109051,38,84
109052,29,108
109054,29,42
109055,34,66
109056,38,156
109057,35,156
109058,38,204
109060,35,48
109061,38,96
109062,38,156
109063,20,36
109068,36,108
109069,36,78
109070,37,156
109071,38,204
109072,38,204
109073,37,132
109075,38,156
109076,37,204
109077,38,156
109078,22,32
109079,38,108
109080,26,54
109081,22,36
109083,38,156
109084,38,108
109085,35,84
109086,34,78
109087,15,32
109090,35,48
109091,37,66
109094,38,120
109095,38,108
109096,28,48
109097,34,72
109102,33,156
110004,37,96
111001,38,84
111002,23,42
111003,38,120
111006,33,84
111007,38,132
111009,35,60
111010,27,42
111011,38,108
111012,23,36
111014,38,120
111015,38,156
111016,38,204
111018,38,156
111019,28,42
111020,26,42
111021,36,108
111022,20,36
111024,23,42
111025,38,132
111026,38,156
111029,28,60
111030,26,48
111032,28,60
111033,36,156
111035,38,120
111036,38,132
111038,36,54
111040,38,204
111041,38,156
111042,38,132
111043,38,120
111044,32,72
111047,16,28
111049,28,48
111052,30,60
111054,13,32
111055,19,32
112001,19,32
112002,33,72
112003,28,84
112004,20,36
112005,36,204
112006,33,78
112007,30,72
112008,18,28
112009,16,36
112010,11,24
112011,10,24
112012,25,48
112013,32,132
112014,38,204
112015,38,204
112016,38,204
112017,31,96
112018,22,84
112019,38,204
112020,27,84
112021,23,36
112022,24,48
112023,27,54
112024,26,36
112025,20,32
112026,6,32
112027,38,156
112028,38,204
112029,37,156
112030,30,132
112031,22,66
112032,26,72
112033,25,84
112034,22,78
112035,29,120
112036,34,96
112037,38,204
112038,27,78
112039,38,156
112040,25,96
112041,30,120
112042,25,84
112043,38,156
112044,32,108
112045,29,108
112046,32,108
112047,31,96
112048,38,204
112049,38,204
112050,28,84
112051,24,84
112052,25,84
112053,35,132
112054,38,204
112055,38,156
112056,32,120
112057,38,204
112058,38,204
112059,38,204
112060,38,204
112061,38,204
112062,38,156
112063,38,204
112064,38,204
112065,38,204
112066,38,204
112067,38,132
112068,29,96
112069,38,132
112070,25,84
112071,30,120
112072,38,156
112073,38,204
112074,38,204
112075,38,156
114001,31,54
114002,29,72
114003,35,132
114004,32,54
114016,35,78
114021,29,54
114023,38,84
115001,21,48
115002,38,84
115003,32,132
115004,38,156
115007,29,60
115009,34,84
115012,34,156
115013,38,156
115015,16,48
115033,28,60
115034,35,84
115035,33,108
115036,38,120
115038,37,156
115043,35,78
115048,37,84
115049,32,108
115050,27,120
115120,22,54
116001,19,24
116002,20,36
116003,20,36
116004,22,36
116006,20,32
116008,23,42
116010,17,28
116011,37,132
116014,19,28
116015,35,132
116016,38,132
116017,22,42
116020,22,32
116021,38,132
116022,38,132
116023,38,156
116024,36,108
116025,31,66
116026,19,32
116027,18,28
116029,38,156
116030,38,204
116032,38,156
116034,38,156
116035,38,156
116036,31,66
116037,38,132
116040,38,132
116041,35,108
116042,38,132
116043,29,72
116044,38,132
116045,38,132
116046,37,120
116047,38,204
116048,38,132
116049,19,28
116050,19,32
116051,38,132
116052,38,204
116053,38,204
116054,38,132
116055,20,28
116056,19,32
116057,38,132
116058,38,120
116059,38,132
116060,38,132
116061,38,120
116062,19,24
116063,18,24
116064,38,204
116065,38,204
116069,38,132
116071,38,132
116072,38,132
116073,19,32
116074,38,204
116075,38,204
116076,38,204
116077,38,132
116078,38,132
116079,19,28
116080,19,32
117001,18,32
117002,32,66
117003,38,120
117012,12,36
117014,27,54
117015,11,28
117022,30,54
117023,30,54
117024,28,48
117030,24,36
117038,37,108
117041,36,84
117042,24,36
117050,29,132
117061,30,72
117062,25,42
118001,31,66
118002,21,32
118003,38,156
118004,38,132
118006,27,48
118007,38,156
118008,37,132
118009,28,42
118010,37,120
118011,38,78
118016,38,96
118017,36,66
119002,37,132
119003,38,132
119004,36,108
119007,38,96
119009,29,78
119011,37,72
119013,38,132
119014,36,96
119015,38,78
119016,37,84
119017,38,132
119018,37,96
119019,38,84
119021,37,96
120009,38,156
120010,38,204
120011,23,36
120012,23,54
120015,27,42
120016,24,28
120017,23,48
120020,38,84
120021,37,132
120023,33,66
120024,38,108
120025,37,132
120027,30,78
120028,31,108
120029,27,48
120030,32,72
120031,25,60
120032,27,60
120033,27,66
120035,21,60
120036,27,60
120038,35,72
120042,25,54
120043,26,108
120044,37,108
120045,38,132
120046,37,96
120048,23,28
120049,27,54
120050,34,72
120051,37,108
120052,19,32
120053,27,60
120056,27,78
120057,32,78
120058,33,108
120059,27,72
120062,22,42
120064,32,48
120065,29,72
120067,35,72
120070,32,78
120072,35,132
120073,36,120
121002,37,156
121003,37,156
121007,25,36
121016,29,42
121018,38,84
121019,38,132
121020,21,36
122001,26,36
122002,27,60
122005,29,60
122006,34,84
122007,35,120
122010,28,96
123001,38,204
123002,37,84
123003,37,156
123004,38,204
123005,38,156
123006,22,54
123007,23,54
123008,36,132
123009,38,84
123010,37,96
123011,38,204
123012,38,156
123013,38,156
123014,38,120
123015,31,78
123016,38,204
123017,36,156
123018,38,156
123019,38,132
123020,38,156
123021,31,36
123022,38,156
123023,36,120
123024,38,156
123025,38,156
123026,38,132
123027,29,66
123028,38,156
123029,38,132
123030,38,204
123031,38,156
123032,36,120
123033,23,42
123034,23,42
123035,38,132
123036,38,156
123037,38,132
123038,38,132
123039,36,96
123040,28,36
123041,38,132
123042,32,72
123043,38,132
123044,38,204
123045,38,204
123046,29,66
123047,38,132
123048,31,72
123049,36,120
123050,38,132
123051,38,132
123052,32,66
123053,33,78
123054,38,132
123055,38,132
123056,38,120
123057,31,72
123058,38,132
123059,37,132
123060,38,132
123061,37,120
123062,38,132
123063,26,42
123064,38,132
123065,38,108
123066,38,204
123067,38,132
123068,37,108
123069,38,120
123070,38,132
123071,20,36
123072,24,36
123073,30,42
123074,37,132
123075,38,132
123076,38,108
123077,38,132
123078,38,120
123079,31,54
123080,36,96
125001,37,108
125002,24,48
125003,29,48
125004,31,54
125005,30,60
125006,24,54
125007,29,60
125008,31,60
125009,28,54
125010,31,60
125011,29,66
