ID,agestrat,GDS_teacher
101001,108,541
101002,78,628
101003,32,552
101004,204,481
101005,156,521
101006,156,478
101007,36,546
101009,84,611
101010,120,501
101011,156,499
101012,156,533
101015,60,591
101017,32,573
101018,72,546
101019,48,565
101021,96,498
101023,72,584
101024,72,518
101025,54,549
101026,156,525
101027,54,525
101029,60,573
101030,96,553
101031,60,478
101032,96,557
101033,32,557
101034,60,483
101035,120,551
101036,48,586
101037,60,595
101039,42,509
101040,24,582
102001,72,524
102002,24,471
102006,32,426
102009,72,439
102010,96,413
102011,96,518
102012,204,526
102013,204,526
102014,204,526
102015,156,533
102016,204,526
102017,156,533
102018,132,544
102019,204,526
102020,156,533
102021,156,533
102022,156,533
102024,156,533
102025,204,526
102026,156,533
102027,156,533
102028,204,526
102029,28,453
102030,204,526
102031,204,526
102032,156,533
102034,156,533
102035,156,533
102038,204,526
102039,204,526
102040,156,533
104001,156,525
104002,132,508
104004,72,553
104005,48,475
104017,84,597
104023,96,519
104024,60,572
104025,60,553
104026,156,446
105001,36,344
105002,48,462
105006,54,366
105008,36,432
105010,54,319
105012,48,431
105013,42,409
105014,42,352
105020,48,393
105022,156,436
105027,204,475
105030,204,453
105033,66,491
105034,72,466
105035,72,471
105042,42,415
105043,66,522
107001,204,510
107002,204,498
107003,156,517
107004,132,477
107005,156,432
107006,132,544
107007,156,533
107008,78,502
107010,156,533
107011,204,526
107012,204,526
107013,204,516
107014,156,533
107015,204,517
107016,132,506
107017,156,497
107018,156,492
107019,120,537
107020,108,584
107021,72,515
107022,156,533
107023,156,533
107024,156,533
107025,156,533
107026,132,536
107027,132,544
107028,156,533
107029,156,533
107030,132,544
107031,156,533
107032,132,544
107033,156,533
107034,24,574
107035,32,565
107036,72,584
107037,60,606
107038,132,468
107039,84,546
107040,132,515
107041,132,491
107042,132,523
107044,156,509
107045,156,516
107046,54,471
107047,156,520
107048,60,489
107049,42,687
107051,24,597
107052,78,568
107053,204,526
107054,84,632
107055,108,584
107056,156,525
107057,156,516
107058,156,515
107059,204,484
107060,204,510
108003,84,464
108013,96,599
108015,54,580
108016,72,569
108031,60,355
109001,204,429
109002,96,452
109003,78,499
109004,108,576
109005,60,620
109006,28,548
109007,72,598
109008,42,422
109009,36,542
109011,156,506
109012,120,550
109014,48,656
109015,120,533
109016,108,564
109017,156,524
109018,42,513
109019,78,475
109020,78,476
109021,96,505
109022,32,619
109023,120,536
109024,204,526
109026,66,543
109027,132,532
109029,132,504
109031,156,516
109033,72,641
109034,132,544
109035,42,584
109036,204,526
109037,120,560
109038,54,412
109039,204,526
109040,204,526
109041,156,533
109042,120,560
109043,84,632
109044,156,533
109045,156,478
109046,84,453
109048,132,517
109049,120,418
109050,108,524
109051,84,583
109052,108,401
109054,42,556
109055,66,630
109056,156,533
109057,156,509
109058,204,526
109060,48,684
109061,96,591
109062,156,523
109063,36,461
109068,108,550
109069,78,595
109070,156,524
109071,204,526
109072,204,520
109073,132,524
109075,156,525
109076,204,508
109077,156,533
109078,32,554
109079,108,584
109080,54,558
109081,36,584
109083,156,533
109084,108,545
109085,84,547
109086,78,530
109087,32,492
109090,48,680
109091,66,646
109094,120,553
109095,108,540
109096,48,558
109097,72,594
109102,156,454
110004,96,550
111001,84,596
111002,42,587
111003,120,553
111006,84,483
111007,132,532
111009,60,606
111010,42,591
111011,108,535
111012,36,575
111014,120,560
111015,156,522
111016,204,526
111018,156,533
111019,42,510
111020,42,528
111021,108,536
111022,36,536
111024,42,596
111025,132,538
111026,156,533
111029,60,457
111030,48,585
111032,60,528
111033,156,454
111035,120,553
111036,132,536
111038,54,630
111040,204,526
111041,156,533
111042,132,536
111043,120,553
111044,72,514
111047,28,525
111049,48,610
111052,60,538
111054,32,493
111055,32,576
112001,32,557
112002,72,551
112003,84,437
112004,36,482
112005,204,515
112006,78,541
112007,72,494
112008,28,538
112009,36,460
112010,24,474
112011,24,450
112012,48,506
112013,132,417
112014,204,526
112015,204,526
112016,204,517
112017,96,425
112018,84,382
112019,204,526
112020,84,415
112021,36,523
112022,48,487
112023,54,526
112024,36,557
112025,32,521
112026,32,339
112027,156,533
112028,204,526
112029,156,501
112030,132,411
112031,66,398
112032,72,444
112033,84,393
112034,78,368
112035,120,417
112036,96,472
112037,204,526
112038,78,390
112039,156,533
112040,96,404
112041,120,408
112042,84,416
112043,156,533
112044,108,462
112045,108,424
112046,108,435
112047,96,456
112048,204,526
112049,204,526
112050,84,405
112051,84,424
112052,84,414
112053,132,482
112054,204,526
112055,156,499
112056,120,476
112057,204,526
112058,204,526
112059,204,526
112060,204,520
112061,204,526
112062,156,533
112063,204,526
112064,204,526
112065,204,526
112066,204,526
112067,132,508
112068,96,427
112069,132,505
112070,84,389
112071,120,415
112072,156,533
112073,204,526
112074,204,526
112075,156,533
114001,54,543
114002,72,552
114003,132,512
114004,54,594
114016,78,491
114021,54,531
114023,84,590
115001,48,425
115002,84,576
115003,132,442
115004,156,533
115007,60,543
115009,84,505
115012,156,501
115013,156,523
115015,48,361
115033,60,518
115034,84,532
115035,108,456
115036,120,553
115038,156,524
115043,78,556
115048,84,557
115049,108,478
115050,120,368
115120,54,451
116001,24,574
116002,36,489
116003,36,496
116004,36,532
116006,32,512
116008,42,521
116010,28,490
116011,132,532
116014,28,502
116015,132,524
116016,132,544
116017,42,510
116020,32,605
116021,132,544
116022,132,544
116023,156,533
116024,108,532
116025,66,539
116026,32,460
116027,28,484
116029,156,533
116030,204,526
116032,156,528
116034,156,533
116035,156,533
116036,66,582
116037,132,538
116040,132,530
116041,108,525
116042,132,535
116043,72,460
116044,132,535
116045,132,544
116046,120,484
116047,204,526
116048,132,535
116049,28,521
116050,32,493
116051,132,529
116052,204,526
116053,204,526
116054,132,527
116055,28,520
116056,32,489
116057,132,535
116058,120,535
116059,132,524
116060,132,544
116061,120,531
116062,24,516
116063,24,526
116064,204,526
116065,204,526
116069,132,536
116071,132,524
116072,132,529
116073,32,477
116074,204,526
116075,204,526
116076,204,526
116077,132,544
116078,132,538
116079,28,519
116080,32,482
117001,32,500
117002,66,523
117003,120,537
