ID,agestrat,ADPscore
101001,108,41
101002,78,38
101003,32,23
101004,204,41
101005,156,41
101006,156,41
101007,36,29
101008,48,23
101009,84,38
101010,120,40
101011,156,41
101012,156,41
101013,36,24
101014,84,34
101015,60,31
101017,32,22
101018,78,39
101019,48,37
101020,120,41
101021,96,40
101022,156,41
101023,72,37
101024,72,27
101025,54,30
101026,156,40
101027,48,27
101028,12,9
101029,60,35
101030,96,39
101031,60,31
101032,96,40
101033,32,16
101034,60,28
101035,120,41
101036,48,23
101037,60,40
101038,84,41
101039,42,26
101040,24,14
101041,14,11
101042,28,22
101043,60,34
101044,2,2
101045,78,38
101046,24,19
101047,72,33
101048,28,28
101049,32,23
101050,60,31
101051,28,22
102001,72,30
102002,24,9
102003,22,10
102004,0,1
102005,16,8
102006,32,10
102007,14,8
102008,0,2
102009,72,25
102010,96,29
102011,96,38
102012,204,41
102013,204,41
102014,204,41
102015,156,41
102016,204,41
102017,156,41
102018,132,41
102019,204,41
102020,156,41
102021,156,41
102022,156,41
102023,16,8
102024,156,41
102025,204,41
102026,156,41
102027,156,41
102028,204,41
102029,28,11
102030,204,41
102031,204,41
102032,156,41
102033,0,0
102034,156,41
102035,156,41
102036,12,8
102037,24,10
102038,204,41
102039,204,41
102040,156,41
104001,156,41
104002,132,40
104003,54,33
104004,72,34
104005,60,26
104006,66,33
104007,36,25
104011,4,5
104012,2,5
104014,78,38
104015,36,26
104016,28,14
104017,84,36
104018,36,26
104019,6,7
104020,120,41
104021,14,12
104022,16,10
104023,96,38
104024,60,30
104025,60,30
104026,156,37
104027,204,41
104028,48,27
104029,16,7
104030,66,25
104031,6,5
104040,54,29
104041,204,40
104043,156,41
104052,24,14
104053,24,13
105001,36,14
105002,48,15
105006,54,20
105008,36,22
105010,54,13
105012,48,15
105013,42,13
105014,42,17
105020,48,20
105022,156,36
105027,204,36
105030,204,32
105033,66,36
105034,72,31
105035,72,25
105042,42,10
105043,66,28
107001,204,37
107002,204,41
107003,156,41
107004,132,38
107005,156,37
107006,132,41
107007,156,41
107008,78,27
107009,204,41
107010,156,39
107011,204,41
107012,204,41
107013,204,41
107014,156,41
107015,204,41
107016,132,41
107017,156,40
107018,156,41
107019,120,41
107020,108,41
107021,72,33
107022,156,40
107023,156,37
107024,156,40
107025,156,41
107026,132,41
107027,132,40
107028,156,39
107029,156,41
107030,132,37
107031,156,41
107032,132,38
107033,156,41
107034,24,19
107035,32,11
107036,72,41
107037,60,31
107038,132,39
107039,84,26
107040,132,41
107041,132,41
107042,132,39
107044,156,40
107045,156,41
107046,54,22
107047,156,41
107048,60,27
107049,42,23
107050,20,11
107051,24,17
107052,78,34
107053,204,41
107054,84,35
107055,108,36
107056,156,41
107057,156,40
107058,156,41
107059,204,40
107060,204,41
108001,132,41
108002,156,41
108003,84,37
108004,32,18
108005,16,10
108006,16,8
108007,78,41
108008,120,41
108009,60,37
108010,60,37
108012,156,39
108013,96,33
108014,108,40
108015,54,32
108016,72,31
108017,28,14
108018,14,7
108019,204,41
108020,96,32
108021,16,7
108022,24,15
108023,156,40
108024,24,12
108025,60,28
108026,28,16
108027,132,37
108028,120,37
108029,28,15
108031,60,24
108033,48,24
108034,20,12
108037,78,30
108038,48,26
108039,96,40
108041,108,38
108042,156,40
108043,96,34
108044,156,41
108045,132,41
109001,204,36
109002,96,38
109003,78,28
109004,108,37
109005,60,27
109006,28,20
109007,72,25
109008,42,25
109009,36,28
109011,156,36
109012,120,41
109013,16,13
109014,48,26
109015,120,38
109016,108,39
109017,156,39
109018,42,26
109019,78,32
109020,78,30
109021,96,41
109022,32,26
109023,120,41
109024,204,40
109026,66,31
109027,132,41
109028,4,6
109029,132,40
109031,156,37
109032,14,8
109033,72,36
109034,132,41
109035,42,29
109036,204,41
109037,120,37
109038,48,22
109039,204,41
109040,204,41
109041,156,41
109042,120,40
109043,84,41
109044,156,40
109045,156,31
109046,84,39
109047,2,0
109048,132,39
109049,120,38
109050,108,39
109051,84,37
109052,108,36
109053,18,9
109054,42,29
109055,66,38
109056,156,41
109057,156,38
109058,204,41
109059,14,8
109060,48,32
109061,96,40
109062,156,41
109063,36,24
109064,72,30
109065,96,36
109066,48,24
109067,10,9
109068,108,40
109069,78,38
109070,156,38
109071,204,41
109072,204,38
109073,132,41
109075,156,40
109076,204,41
109077,156,41
109078,32,25
109079,108,35
109080,54,24
109081,36,21
109082,4,3
109083,156,41
109084,108,38
109085,84,36
109086,78,35
109087,32,15
109088,96,35
109089,84,36
109090,48,28
109091,66,30
109094,120,41
109095,108,41
109096,48,34
109097,72,37
109098,6,4
109102,156,41
110001,16,9
110002,12,8
110003,6,5
110004,96,40
110005,132,41
110006,84,34
110007,72,39
110008,78,34
110009,14,12
110010,12,7
111001,84,41
111002,42,22
111003,120,39
111004,36,25
111005,2,3
111006,78,33
111007,132,41
111008,14,10
111009,60,31
111010,42,26
111011,108,41
111012,36,27
111013,10,6
111014,120,41
111015,156,41
111016,204,41
111017,14,13
111018,156,38
111019,42,28
111020,42,25
111021,108,38
111022,36,22
111023,24,17
111024,42,24
111025,132,41
111026,156,41
111027,16,11
111028,48,32
111029,60,26
111030,48,24
111031,18,14
111032,60,29
111033,156,40
111034,132,41
111035,120,40
111036,132,41
111037,20,12
111038,54,36
111039,4,5
111040,204,41
111041,156,41
111042,132,40
111043,120,38
111044,72,30
111045,20,16
111046,4,2
111047,28,15
111048,10,7
111049,48,27
111050,16,10
111051,22,11
111052,60,29
111053,8,8
111054,32,14
111055,32,20
112001,32,21
112002,72,29
112003,84,28
112004,36,24
112005,204,41
112006,78,35
112007,66,31
112008,28,23
112009,36,21
