ID,agestrat,TOTALscore
102004,0,7
102008,0,9
102033,0,4
117046,0,0
117047,0,0
120041,0,15
122004,0,5
125025,0,5
127042,0,7
131003,0,11
131026,0,0
131037,0,7
131049,0,1
137016,0,11
137047,0,7
137052,0,8
142009,0,5
146001,0,11
154065,0,4
154066,0,5
202064,0,4
202100,0,4
202102,0,6
227008,0,5
227019,0,2
229007,0,3
101044,2,12
104012,2,20
109047,2,11
111005,2,15
114011,2,9
118005,2,16
118015,2,11
118019,2,11
119022,2,13
119023,2,21
121013,2,14
122013,2,15
125039,2,16
125062,2,12
127003,2,20
127039,2,19
131001,2,6
131035,2,14
131045,2,16
136012,2,7
138014,2,18
142010,2,20
202030,2,12
202053,2,13
215006,2,20
221015,2,16
104011,4,21
109028,4,31
109082,4,15
111039,4,24
111046,4,14
114005,4,17
115010,4,20
117017,4,16
117018,4,26
117019,4,19
117025,4,18
117027,4,19
117033,4,16
125058,4,15
125061,4,27
127018,4,18
131011,4,28
131038,4,18
131050,4,15
131054,4,15
135030,4,22
136013,4,17
137013,4,27
137024,4,23
138015,4,23
142027,4,9
202007,4,26
202010,4,22
202025,4,30
202033,4,23
215008,4,8
218006,4,25
218020,4,17
218022,4,21
218025,4,19
218027,4,17
218033,4,17
220026,4,14
221014,4,22
227001,4,16
227004,4,14
227015,4,15
104019,6,26
104031,6,24
109098,6,24
110003,6,30
116028,6,13
117011,6,29
117020,6,37
120063,6,26
121006,6,27
127005,6,29
127026,6,19
127141,6,24
131053,6,29
132002,6,24
135014,6,26
136002,6,24
136021,6,22
136024,6,27
138019,6,30
139011,6,20
142012,6,30
142016,6,24
142019,6,31
154051,6,22
202020,6,28
202034,6,23
202040,6,25
202054,6,29
202070,6,35
207019,6,25
218008,6,18
218016,6,32
218023,6,21
218024,6,22
220027,6,30
223003,6,17
227005,6,32
227011,6,23
227016,6,36
229004,6,21
111053,8,38
116038,8,26
117040,8,41
117044,8,37
117053,8,41
117060,8,33
120061,8,37
120069,8,26
125053,8,28
129003,8,31
133023,8,29
136008,8,30
136020,8,22
136025,8,30
139001,8,39
142011,8,28
142024,8,36
142030,8,30
154033,8,25
154054,8,21
202011,8,32
202019,8,27
202023,8,26
202072,8,41
202075,8,37
202108,8,29
207005,8,24
207014,8,25
207022,8,37
216014,8,33
218013,8,42
218014,8,34
220042,8,26
228001,8,28
229008,8,32
109067,10,46
111013,10,31
111048,10,32
116013,10,45
117008,10,38
117010,10,38
117021,10,44
117063,10,38
119010,10,45
120037,10,42
121001,10,51
121011,10,41
125029,10,38
125043,10,32
125044,10,33
127030,10,38
127036,10,41
127037,10,52
131002,10,38
131007,10,36
131027,10,44
131031,10,45
131032,10,44
131044,10,42
132012,10,43
134047,10,51
135022,10,26
137042,10,51
139014,10,39
139017,10,40
142007,10,42
146002,10,51
154003,10,37
154006,10,49
202016,10,41
207003,10,45
207008,10,41
218011,10,36
218030,10,35
218031,10,42
227021,10,49
229001,10,37
101028,12,52
102036,12,44
110002,12,46
110010,12,42
115040,12,39
116012,12,49
116018,12,47
116031,12,45
116033,12,42
119006,12,45
120013,12,46
121017,12,50
127010,12,37
127013,12,57
131013,12,56
131030,12,46
131060,12,42
134032,12,61
136014,12,54
137014,12,61
138018,12,45
138020,12,42
154032,12,47
202078,12,36
202086,12,34
207016,12,53
218017,12,54
218021,12,51
218036,12,60
218037,12,56
220039,12,74
221010,12,58
221013,12,53
227022,12,57
228005,12,56
229002,12,45
229005,12,48
101041,14,65
102007,14,42
104021,14,70
108018,14,41
109032,14,51
109059,14,49
110009,14,62
111008,14,63
111017,14,59
115116,14,48
116007,14,72
116009,14,46
