ID,agestrat,COGscoreP
508034,84,40
517017,84,24
517026,84,39
602005,84,28
101021,96,38
101030,96,39
101032,96,39
102010,96,38
102011,96,40
109021,96,41
109061,96,41
109065,96,39
118016,96,40
120044,96,41
120046,96,42
138005,96,40
138017,96,41
148008,96,30
148025,96,39
202008,96,41
202048,96,42
202050,96,41
202051,96,40
202077,96,36
202091,96,42
202096,96,39
302001,96,42
508003,96,10
529008,96,39
529015,96,36
605002,96,21
612012,96,37
101001,108,41
109004,108,42
109016,108,40
116024,108,38
120024,108,40
120028,108,42
120043,108,41
120051,108,42
120058,108,37
138003,108,40
138013,108,42
148007,108,40
148022,108,37
148031,108,41
154028,108,40
202082,108,36
302002,108,42
508016,108,38
527004,108,27
607003,108,14
612008,108,38
612013,108,36
101010,120,41
101020,120,42
101035,120,42
109012,120,42
109015,120,40
109023,120,42
109042,120,42
118010,120,42
120071,120,40
127023,120,41
136005,120,42
138007,120,42
138016,120,41
154010,120,42
154018,120,42
202076,120,42
202094,120,42
506008,120,42
508026,120,37
517021,120,42
612007,120,25
612014,120,40
102018,132,42
109029,132,42
116011,132,42
116016,132,42
116022,132,42
120045,132,42
120066,132,42
138001,132,42
138010,132,42
138012,132,42
148009,132,42
148015,132,42
154017,132,39
154025,132,42
202012,132,40
302011,132,42
529022,132,40
529023,132,41
608008,132,40
109034,132,42
116015,132,42
116021,132,42
116037,132,42
116040,132,40
118004,132,42
118008,132,41
120025,132,40
120047,132,42
120072,132,40
127002,132,42
127034,132,41
136001,132,42
136004,132,42
148002,132,41
148006,132,42
148027,132,42
154021,132,42
154022,132,40
202001,132,42
202083,132,39
202085,132,40
101005,156,42
101012,156,42
102022,156,42
102027,156,42
102032,156,42
102040,156,42
105022,156,35
109044,156,42
116023,156,42
116029,156,41
116032,156,42
116034,156,42
116035,156,42
118003,156,42
120009,156,42
508005,156,41
601002,156,36
101006,156,42
101011,156,42
101022,156,42
101026,156,42
102015,156,42
102017,156,42
102020,156,42
102021,156,42
102024,156,42
102026,156,42
102034,156,42
102035,156,42
109011,156,41
109017,156,42
109041,156,42
109045,156,41
109062,156,42
118007,156,42
508017,156,42
508029,156,42
529010,156,42
102012,204,42
102013,204,42
102014,204,42
102019,204,42
105027,204,29
109001,204,41
109039,204,42
154001,204,42
154004,204,42
154007,204,42
154008,204,42
154011,204,42
154012,204,42
154013,204,42
154014,204,42
154015,204,42
154016,204,42
154019,204,42
154020,204,41
154023,204,41
154026,204,42
154027,204,42
101004,204,42
102016,204,42
102025,204,42
102028,204,42
102030,204,42
102031,204,42
102038,204,42
102039,204,42
105026,204,36
109024,204,42
109036,204,42
109040,204,42
116030,204,42
120010,204,42
302010,204,42
508007,204,37
529018,204,42
529020,204,42
529021,204,42
529024,204,42
601011,204,41
118014,NA,6
120019,NA,41
120033,NA,26
120034,NA,11
120035,NA,26
120055,NA,32
127041,NA,5
136022,NA,7
136026,NA,35
211019,NA,42
504002,NA,23
504005,NA,19
504007,NA,13
504008,NA,20
504009,NA,25
504016,NA,12
504030,NA,36
504031,NA,14
504032,NA,15
607001,NA,36
609001,NA,8
609007,NA,23
