ID,agestrat,ADPscore
102004,0,1
102008,0,2
102033,0,0
117046,0,0
117047,0,0
120041,0,4
122004,0,2
125025,0,3
127042,0,2
131003,0,3
131026,0,0
131037,0,2
131049,0,1
137016,0,4
137047,0,1
137052,0,1
142009,0,2
146001,0,3
154065,0,2
154066,0,2
202064,0,1
202100,0,2
202102,0,2
227008,0,1
227019,0,0
229007,0,2
101044,2,2
104012,2,5
109047,2,0
111005,2,3
114011,2,2
118005,2,3
118015,2,1
118019,2,2
119022,2,2
119023,2,5
121013,2,3
122013,2,4
125039,2,2
125062,2,3
127003,2,4
127039,2,4
131001,2,1
131035,2,2
131045,2,4
136012,2,0
138014,2,4
142010,2,3
202030,2,2
202053,2,0
215006,2,4
221015,2,4
104011,4,5
109028,4,6
109082,4,3
111039,4,5
111046,4,2
114005,4,1
115010,4,3
117017,4,4
117018,4,5
117019,4,5
117025,4,3
117027,4,3
117033,4,2
125058,4,3
125061,4,6
127018,4,4
131011,4,6
131038,4,2
131050,4,3
131054,4,4
135030,4,5
136013,4,5
137013,4,6
137024,4,4
138015,4,5
142027,4,2
202007,4,4
202010,4,4
202025,4,5
202033,4,4
215008,4,2
218006,4,5
218020,4,4
218022,4,5
218025,4,5
218027,4,4
218033,4,2
220026,4,4
221014,4,4
227001,4,4
227004,4,5
227015,4,4
104019,6,7
104031,6,5
109098,6,4
110003,6,5
116028,6,4
117011,6,5
117020,6,6
120063,6,6
121006,6,5
127005,6,4
127026,6,3
127141,6,5
131053,6,6
132002,6,5
135014,6,4
136002,6,6
136021,6,4
136024,6,6
138019,6,5
139011,6,5
142012,6,7
142016,6,5
142019,6,6
154051,6,6
202020,6,7
202034,6,5
202040,6,4
202054,6,6
202070,6,6
207019,6,5
218008,6,4
218016,6,6
218023,6,5
218024,6,5
220027,6,6
223003,6,2
227005,6,8
227011,6,4
227016,6,7
229004,6,5
111053,8,8
116038,8,6
117040,8,8
117044,8,6
117053,8,7
117060,8,7
120061,8,8
120069,8,4
125053,8,6
129003,8,6
133023,8,6
136008,8,6
136020,8,5
136025,8,6
139001,8,8
142011,8,6
142024,8,7
142030,8,6
154033,8,7
154054,8,4
202011,8,0
202019,8,6
202023,8,7
202072,8,6
202075,8,6
202108,8,8
207005,8,6
207014,8,5
207022,8,7
216014,8,7
218013,8,7
218014,8,6
220042,8,5
228001,8,6
229008,8,6
109067,10,9
111013,10,6
111048,10,7
116013,10,7
117008,10,7
117010,10,7
117021,10,7
117063,10,5
119010,10,7
120037,10,8
121001,10,10
121011,10,10
125029,10,9
125043,10,6
125044,10,7
127030,10,9
127036,10,8
127037,10,10
131002,10,6
131007,10,8
131027,10,9
131031,10,9
131032,10,9
131044,10,9
132012,10,8
134047,10,10
135022,10,7
137042,10,10
139014,10,8
139017,10,8
142007,10,10
146002,10,8
154003,10,7
154006,10,9
202016,10,8
207003,10,12
207008,10,6
218011,10,7
218030,10,7
218031,10,8
227021,10,10
229001,10,7
101028,12,9
102036,12,8
110002,12,8
110010,12,7
115040,12,8
116012,12,7
116018,12,7
116031,12,7
116033,12,7
119006,12,9
120013,12,11
121017,12,9
127010,12,6
127013,12,10
131013,12,8
131030,12,9
131060,12,9
134032,12,11
136014,12,10
137014,12,11
138018,12,8
138020,12,9
154032,12,9
202078,12,9
202086,12,7
207016,12,8
218017,12,9
218021,12,10
218036,12,13
218037,12,10
220039,12,12
221010,12,10
221013,12,11
227022,12,9
228005,12,9
229002,12,8
229005,12,8
101041,14,11
102007,14,8
104021,14,12
108018,14,7
109032,14,8
109059,14,8
110009,14,12
111008,14,10
111017,14,13
115116,14,9
116007,14,11
116009,14,7
117031,14,10
121022,14,9
125027,14,11
125036,14,11
125041,14,9
125049,14,10
125057,14,9
127008,14,15
127040,14,12
131023,14,9
131048,14,12
131051,14,9
131052,14,9
134043,14,14
135005,14,13
136003,14,8
137025,14,10
139016,14,8
141001,14,9
141005,14,11
141014,14,8
141019,14,19
142002,14,8
142020,14,8
148020,14,9
154062,14,9
202065,14,8
218018,14,17
220029,14,9
224021,14,7
229003,14,8
102005,16,8
102023,16,8
104022,16,10
104029,16,7
108005,16,10
108006,16,8
108021,16,7
109013,16,13
110001,16,9
111027,16,11
111050,16,10
120014,16,11
127009,16,9
129020,16,10
131025,16,9
132028,16,9
136030,16,11
137022,16,8
139007,16,12
141003,16,16
141016,16,19
141017,16,22
141018,16,15
142014,16,15
142015,16,12
142021,16,13
202046,16,10
202104,16,9
211015,16,13
218001,16,14
218034,16,11
