ID,socscore_teacher,agestrat
101001,34,108
101002,34,78
101003,19,32
101004,29,204
101005,35,156
101006,31,156
101007,27,36
101009,34,84
101010,33,120
101011,32,156
101012,35,156
101015,33,60
101017,21,32
101018,27,72
101019,26,48
101021,33,96
101023,29,72
101024,33,72
101025,27,54
101026,34,156
101027,27,54
101029,29,60
101030,35,96
101031,25,60
101032,33,96
101033,25,32
101034,27,60
101035,35,120
101036,28,48
101037,34,60
101039,24,42
101040,19,24
102001,27,72
102002,12,24
102006,12,32
102009,21,72
102010,22,96
102011,31,96
102012,35,204
102013,35,204
102014,35,204
102015,35,156
102016,35,204
102017,35,156
102018,35,132
102019,35,204
102020,35,156
102021,35,156
102022,35,156
102024,35,156
102025,35,204
102026,35,156
102027,35,156
102028,35,204
102029,11,28
102030,35,204
102031,35,204
102032,35,156
102034,35,156
102035,35,156
102038,35,204
102039,35,204
102040,35,156
104001,34,156
104002,32,132
104004,33,72
104005,23,48
104017,33,84
104023,33,96
104024,27,60
104025,26,60
104026,25,156
105001,4,36
105002,25,48
105006,12,54
105008,17,36
105010,7,54
105012,12,48
105013,11,42
105014,12,42
105020,15,48
105022,24,156
105027,32,204
105030,28,204
105033,29,66
105034,26,72
105035,23,72
105042,11,42
105043,30,66
107001,35,204
107002,34,204
107003,35,156
107004,29,132
107005,26,156
107006,35,132
107007,35,156
107008,32,78
107010,35,156
107011,35,204
107012,35,204
107013,35,204
107014,35,156
107015,35,204
107016,32,132
107017,28,156
107018,30,156
107019,33,120
107020,35,108
107021,33,72
107022,35,156
107023,35,156
107024,35,156
107025,35,156
107026,34,132
107027,35,132
107028,35,156
107029,35,156
107030,35,132
107031,35,156
107032,35,132
107033,35,156
107034,21,24
107035,25,32
107036,34,72
107037,32,60
107038,31,132
107039,33,84
107040,34,132
107041,35,132
107042,35,132
107044,35,156
107045,35,156
107046,24,54
107047,34,156
107048,24,60
107049,35,42
107051,27,24
107052,31,78
107053,35,204
107054,35,84
107055,35,108
107056,34,156
107057,35,156
107058,34,156
107059,31,204
107060,34,204
108003,28,84
108013,35,96
108015,28,54
108016,34,72
108031,16,60
109001,27,204
109002,24,96
109003,31,78
109004,34,108
109005,34,60
109006,20,28
109007,33,72
109008,11,42
109009,22,36
109011,33,156
109012,35,120
109014,31,48
109015,32,120
109016,32,108
109017,35,156
109018,19,42
109019,28,78
109020,29,78
109021,30,96
109022,29,32
109023,34,120
109024,35,204
109026,26,66
109027,35,132
109029,34,132
109031,34,156
109033,32,72
109034,35,132
