ID,comscore_teacher,agestrat
101001,28,108
101002,31,78
101003,23,32
101004,28,204
101005,31,156
101006,28,156
101007,23,36
101009,31,84
101010,29,120
101011,31,156
101012,31,156
101015,29,60
101017,26,32
101018,28,72
101019,26,48
101021,28,96
101023,31,72
101024,28,72
101025,26,54
101026,31,156
101027,26,54
101029,29,60
101030,30,96
101031,26,60
101032,31,96
101033,25,32
101034,26,60
101035,31,120
101036,26,48
101037,26,60
101039,25,42
101040,21,24
102001,30,72
102002,19,24
102006,19,32
102009,24,72
102010,27,96
102011,29,96
102012,31,204
102013,31,204
102014,31,204
102015,31,156
102016,31,204
102017,31,156
102018,31,132
102019,31,204
102020,31,156
102021,31,156
102022,31,156
102024,31,156
102025,31,204
102026,31,156
102027,31,156
102028,31,204
102029,18,28
102030,31,204
102031,31,204
102032,31,156
102034,31,156
102035,31,156
102038,31,204
102039,31,204
102040,31,156
104001,31,156
104002,31,132
104004,27,72
104005,20,48
104017,31,84
104023,29,96
104024,27,60
104025,26,60
104026,28,156
105001,6,36
105002,23,48
105006,14,54
105008,8,36
105010,9,54
105012,17,48
105013,15,42
105014,7,42
105020,17,48
105022,26,156
105027,31,204
105030,26,204
105033,26,66
105034,25,72
105035,28,72
105042,18,42
105043,28,66
107001,29,204
107002,31,204
107003,31,156
107004,28,132
107005,31,156
107006,31,132
107007,31,156
107008,27,78
107010,31,156
107011,31,204
107012,31,204
107013,30,204
107014,31,156
107015,31,204
107016,29,132
107017,31,156
107018,31,156
107019,31,120
107020,31,108
107021,29,72
107022,31,156
107023,31,156
107024,31,156
107025,31,156
107026,31,132
107027,31,132
107028,31,156
107029,31,156
107030,31,132
107031,31,156
107032,31,132
107033,31,156
107034,24,24
107035,23,32
107036,30,72
107037,29,60
107038,27,132
107039,31,84
107040,31,132
107041,30,132
107042,31,132
107044,31,156
107045,31,156
107046,24,54
107047,31,156
107048,24,60
107049,28,42
107051,22,24
107052,31,78
107053,31,204
107054,31,84
107055,31,108
107056,31,156
107057,31,156
107058,31,156
107059,31,204
107060,30,204
108003,25,84
108013,31,96
108015,29,54
108016,29,72
108031,13,60
109001,30,204
109002,28,96
109003,29,78
109004,31,108
109005,28,60
109006,19,28
109007,30,72
109008,18,42
109009,26,36
109011,31,156
109012,31,120
109014,28,48
109015,31,120
109016,31,108
109017,31,156
109018,23,42
109019,26,78
109020,24,78
109021,29,96
109022,22,32
109023,31,120
109024,31,204
109026,29,66
109027,30,132
109029,31,132
109031,31,156
109033,31,72
109034,31,132
109035,29,42
109036,31,204
109037,31,120
109038,20,54
109039,31,204
109040,31,204
109041,31,156
109042,31,120
109043,31,84
109044,31,156
109045,30,156
109046,28,84
109048,31,132
109049,25,120
109050,28,108
109051,29,84
109052,25,108
109054,23,42
109055,31,66
109056,31,156
109057,31,156
109058,31,204
109060,29,48
109061,31,96
109062,31,156
109063,17,36
109068,31,108
109069,31,78
109070,31,156
109071,31,204
109072,31,204
109073,31,132
109075,31,156
109076,31,204
109077,31,156
109078,24,32
109079,31,108
109080,28,54
109081,28,36
109083,31,156
109084,30,108
109085,31,84
109086,29,78
109087,20,32
109090,30,48
109091,30,66
109094,31,120
109095,30,108
109096,26,48
109097,31,72
109102,29,156
110004,28,96
111001,30,84
111002,26,42
111003,31,120
111006,28,84
111007,31,132
111009,29,60
111010,29,42
111011,28,108
111012,28,36
111014,31,120
111015,30,156
111016,31,204
111018,31,156
111019,24,42
111020,26,42
111021,30,108
111022,27,36
111024,29,42
111025,31,132
111026,31,156
111029,22,60
111030,29,48
111032,27,60
111033,28,156
111035,31,120
111036,31,132
111038,28,54
111040,31,204
111041,31,156
111042,31,132
111043,31,120
111044,28,72
111047,22,28
111049,29,48
111052,28,60
111054,21,32
111055,24,32
112001,23,32
112002,28,72
112003,26,84
112004,22,36
112005,31,204
112006,29,78
112007,25,72
112008,20,28
112009,19,36
112010,12,24
112011,12,24
112012,23,48
112013,24,132
112014,31,204
112015,31,204
112016,31,204
112017,23,96
112018,21,84
112019,31,204
112020,26,84
112021,23,36
112022,23,48
112023,28,54
112024,24,36
112025,22,32
112026,5,32
112027,31,156
112028,31,204
112029,31,156
112030,24,132
112031,21,66
112032,21,72
112033,23,84
112034,20,78
112035,27,120
112036,29,96
112037,31,204
112038,22,78
112039,31,156
112040,22,96
112041,25,120
112042,26,84
112043,31,156
112044,26,108
112045,25,108
112046,27,108
112047,25,96
112048,31,204
112049,31,204
112050,24,84
112051,28,84
112052,21,84
112053,30,132
112054,31,204
112055,31,156
112056,30,120
112057,31,204
112058,31,204
112059,31,204
112060,31,204
112061,31,204
112062,31,156
112063,31,204
112064,31,204
112065,31,204
112066,31,204
112067,30,132
112068,25,96
112069,26,132
112070,21,84
112071,22,120
112072,31,156
112073,31,204
112074,31,204
112075,31,156
114001,26,54
114002,30,72
114003,31,132
114004,28,54
114016,25,78
114021,25,54
114023,29,84
115001,20,48
115002,29,84
115003,30,132
115004,31,156
115007,29,60
115009,27,84
115012,31,156
115013,31,156
115015,9,48
115033,28,60
115034,31,84
115035,30,108
115036,31,120
115038,31,156
115043,29,78
115048,30,84
115049,30,108
115050,26,120
115120,21,54
116001,21,24
116002,20,36
116003,20,36
116004,23,36
116006,20,32
116008,22,42
116010,19,28
116011,31,132
116014,19,28
116015,31,132
116016,31,132
116017,21,42
116020,24,32
116021,31,132
116022,31,132
116023,31,156
116024,31,108
116025,29,66
116026,15,32
116027,19,28
116029,31,156
116030,31,204
116032,31,156
116034,31,156
116035,31,156
116036,30,66
116037,31,132
116040,31,132
116041,31,108
116042,31,132
116043,26,72
116044,31,132
116045,31,132
116046,29,120
116047,31,204
116048,31,132
116049,20,28
116050,20,32
116051,31,132
116052,31,204
116053,31,204
116054,31,132
116055,20,28
116056,20,32
116057,31,132
116058,31,120
116059,31,132
116060,31,132
116061,31,120
116062,18,24
116063,18,24
116064,31,204
116065,31,204
116069,31,132
116071,31,132
116072,31,132
116073,20,32
116074,31,204
116075,31,204
116076,31,204
116077,31,132
116078,31,132
116079,21,28
116080,20,32
117001,20,32
117002,27,66
117003,31,120
117012,15,36
117014,25,54
117015,19,28
117022,29,54
117023,29,54
117024,27,48
117030,25,36
117038,31,108
117041,30,84
117042,23,36
117050,20,132
117061,20,72
117062,22,42
118001,26,66
118002,22,32
118003,31,156
118004,31,132
118006,25,48
118007,31,156
118008,31,132
118009,21,42
118010,28,120
118011,31,78
118016,31,96
118017,30,66
119002,28,132
119003,31,132
119004,28,108
119007,29,96
119009,27,78
119011,30,72
119013,31,132
119014,30,96
119015,29,78
119016,28,84
119017,29,132
119018,30,96
119019,28,84
119021,31,96
120009,31,156
120010,31,204
120011,20,36
120012,25,54
120015,25,42
120016,22,28
120017,21,48
120020,30,84
120021,30,132
120023,29,66
120024,28,108
120025,30,132
120027,28,78
120028,31,108
120029,20,48
120030,26,72
120031,20,60
120032,24,60
120033,23,66
120035,21,60
120036,25,60
120038,31,72
120042,22,54
120043,27,108
120044,30,108
120045,31,132
120046,31,96
120048,21,28
120049,23,54
120050,30,72
120051,30,108
120052,22,32
120053,28,60
120056,29,78
120057,29,78
120058,26,108
120059,23,72
120062,26,42
120064,29,48
120065,19,72
120067,30,72
120070,21,78
120072,21,132
120073,31,120
121002,31,156
121003,30,156
121007,21,36
121016,25,42
121018,31,84
121019,31,132
121020,22,36
122001,20,36
122002,29,60
122005,28,60
122006,31,84
122007,31,120
122010,26,96
123001,31,204
123002,28,84
123003,31,156
123004,31,204
123005,31,156
123006,21,54
123007,22,54
123008,29,132
123009,28,84
123010,31,96
123011,31,204
123012,31,156
123013,31,156
123014,31,120
123015,22,78
123016,31,204
123017,31,156
123018,31,156
123019,31,132
123020,31,156
123021,24,36
123022,31,156
123023,31,120
123024,31,156
123025,31,156
123026,31,132
123027,23,66
123028,31,156
123029,31,132
123030,31,204
123031,31,156
123032,31,120
123033,23,42
123034,22,42
123035,31,132
123036,31,156
123037,31,132
123038,31,132
123039,31,96
123040,22,36
123041,31,132
123042,26,72
123043,31,132
123044,31,204
123045,31,204
123046,26,66
123047,31,132
123048,26,72
123049,31,120
123050,31,132
123051,31,132
123052,26,66
123053,26,78
123054,31,132
123055,31,132
123056,31,120
123057,28,72
123058,31,132
123059,31,132
123060,31,132
123061,31,120
123062,31,132
123063,22,42
123064,31,132
123065,31,108
123066,31,204
123067,31,132
123068,31,108
123069,31,120
123070,31,132
123071,22,36
123072,22,36
123073,23,42
123074,31,132
123075,31,132
123076,31,108
123077,31,132
123078,31,120
123079,26,54
123080,30,96
125001,31,108
125002,29,48
125003,26,48
125004,22,54
125005,22,60
125006,21,54
125007,23,60
125008,24,60
125009,23,54
125010,27,60
125011,26,66
125012,21,60
125013,19,60
125014,24,60
125015,18,54
125016,24,66
125017,28,72
125018,28,54
125019,24,60
125020,30,84
125021,25,60
125022,21,60
125023,27,60
125024,27,60
125026,21,28
125028,19,72
125031,27,60
125033,26,60
125037,28,72
125040,21,32
125046,27,60
125047,27,48
125048,28,60
125051,20,32
125055,18,24
126001,27,66
126002,30,132
126003,31,108
126004,29,84
126005,29,60
126006,30,108
126007,31,96
126008,25,54
126009,22,54
126010,25,72
126011,25,66
126012,29,78
126013,29,60
126014,26,66
126015,31,132
126016,28,54
126017,30,132
126018,28,72
126019,30,108
126020,13,24
127002,31,132
127004,25,78
127006,23,36
127007,28,54
127011,25,66
127014,24,42
127015,24,48
127016,31,66
127017,28,42
127019,22,24
127020,26,32
127022,28,84
127023,28,120
127024,29,54
127028,26,42
127029,29,66
127031,25,48
127032,28,36
127033,30,78
127034,31,132
127035,30,84
128001,31,96
128002,31,132
128003,31,132
128004,30,96
128005,30,120
128006,31,132
128008,29,72
128009,29,132
128011,31,120
128012,31,132
128014,29,132
128019,31,84
128021,28,78
128023,31,132
128024,31,96
128025,30,120
129001,28,120
129002,29,84
129004,20,36
129005,23,42
129006,29,84
129007,24,42
129008,23,36
129009,23,28
129010,25,54
129011,31,108
129012,30,84
129013,31,120
129014,24,36
129015,23,48
129016,30,78
129017,29,66
129019,27,48
129021,27,48
129022,28,78
129023,26,36
129024,22,36
129025,26,48
129027,31,108
129028,20,36
129029,26,78
129030,31,132
130001,30,54
130002,30,96
130003,29,60
130004,29,60
130005,29,72
130006,31,72
130007,29,84
130008,30,72
130009,30,72
130010,27,72
130011,30,84
130012,30,84
130013,30,84
130014,30,84
130015,28,54
130016,31,84
130017,30,84
130018,30,96
130019,31,96
130020,31,96
130021,31,96
130022,31,108
130023,31,108
130024,31,108
130025,31,108
130026,31,120
130027,31,120
130028,31,132
130029,31,132
131004,29,72
131005,26,54
131006,18,36
131009,24,36
131012,29,84
131014,24,42
131015,31,84
131016,31,96
131018,31,132
131019,31,108
131028,24,96
131029,27,66
131033,31,204
131034,19,36
131040,29,96
131041,24,42
131042,28,48
131043,25,42
131046,31,108
131047,31,84
131055,25,42
131056,30,96
131057,31,72
131059,31,84
132010,30,108
132015,30,72
132021,31,84
132023,17,54
132024,31,132
132025,31,108
133002,31,120
133013,29,54
134001,31,132
134002,31,132
134003,30,96
134004,28,96
134005,25,96
134006,30,84
134007,25,72
134008,31,132
134009,31,132
134010,24,96
134011,31,96
134012,30,96
134013,31,96
134014,31,96
134015,31,132
134016,29,72
134017,27,72
134018,28,72
134019,28,78
134020,31,132
134021,31,132
134022,27,66
134023,30,96
134024,24,96
134025,31,96
134026,29,84
134031,18,24
134033,17,32
134034,31,96
134035,29,72
134038,29,108
134039,28,108
134041,18,32
134042,17,24
134044,30,108
135001,31,96
135004,30,66
135006,26,54
135007,28,54
135008,29,78
135009,26,66
135010,30,96
135019,27,54
135026,31,72
135027,30,60
136001,31,132
136004,31,132
136005,30,120
137001,24,132
137003,25,66
137004,17,36
137005,28,120
137006,28,84
137007,22,28
137008,30,48
137010,20,36
137012,25,54
137017,29,72
137018,24,48
137020,30,96
137021,23,54
137026,30,66
137027,31,96
137028,30,72
137029,30,108
137030,27,78
137032,30,84
137033,31,108
137034,27,48
137035,31,108
137036,29,72
137037,31,96
137038,30,78
137039,27,54
137051,29,66
138003,30,108
138004,31,84
138005,31,96
138007,31,120
138008,29,78
138010,31,132
138011,20,24
138016,29,120
138017,28,96
138021,19,24
139009,25,48
139013,24,42
139018,26,48
139019,21,32
139020,29,60
139021,25,48
141026,24,28
141027,23,24
141028,22,32
141029,21,32
141030,20,28
141031,21,36
141032,23,36
141033,22,36
141034,21,42
141035,22,36
141036,24,42
141037,21,36
141038,20,42
141039,20,36
141040,21,42
141041,24,42
141042,26,42
141043,21,42
141044,25,54
141045,23,48
141046,24,54
141047,25,54
141048,25,48
141049,27,54
143001,31,132
143002,31,108
143003,28,48
143004,29,84
143005,31,84
143006,28,96
143007,28,72
143008,27,78
143009,27,60
143010,27,54
143011,25,32
143013,29,72
143017,29,60
143018,30,96
143019,31,132
143021,31,132
143022,31,132
143023,29,96
143024,23,32
143025,31,120
148001,30,84
148002,30,132
148003,28,66
148005,27,54
148006,31,132
148007,30,108
148009,31,132
148012,31,84
148013,31,84
148017,29,60
148018,23,28
148019,28,72
148022,29,108
148023,30,84
148024,25,48
148025,31,96
148026,29,78
148027,31,132
148028,28,60
148029,28,72
148030,27,84
148031,30,108
151001,31,156
151002,31,120
151003,31,108
151004,30,156
151005,27,48
151006,20,36
151008,31,78
151010,22,42
151011,23,42
151012,31,84
151013,31,132
151014,24,36
151015,30,108
151016,26,78
151017,20,36
151018,31,132
151019,31,120
151020,30,132
151021,31,108
151022,30,132
151023,31,120
151024,31,132
151025,31,132
151026,31,120
151027,26,60
151028,29,66
151029,26,54
151030,28,66
151031,29,96
151032,28,96
151033,29,120
151034,31,132
151035,22,54
151036,30,96
151037,30,96
151038,30,108
151039,31,120
151040,31,132
151041,19,36
151042,30,84
151043,31,84
151044,29,84
151045,19,36
151046,29,84
151047,25,96
151048,31,120
151049,29,96
151050,14,24
151051,30,108
151052,27,84
151053,27,84
151054,31,108
151055,31,120
151056,25,96
151057,28,84
151058,28,84
151059,29,84
151060,31,96
154002,23,42
154005,30,84
154010,31,120
154017,28,132
154018,31,120
154022,29,132
154028,31,108
154029,31,108
154030,31,132
154037,14,72
154040,30,84
154041,26,60
154042,20,42
154043,13,28
154047,31,120
154052,30,54
154055,24,66
154056,31,108
154057,31,132
154058,31,108
154076,31,132
154077,25,108
154078,29,84
154079,31,132
154080,30,120
154081,31,108
154959,31,78
201001,28,66
201002,24,54
201003,29,66
201004,29,66
201007,28,72
201008,31,72
201009,29,78
201010,31,78
201011,19,66
201012,31,72
201013,28,66
201014,29,72
201015,29,66
201016,17,78
201017,31,60
201018,31,60
201019,31,60
201020,30,54
201021,28,60
201022,27,72
201024,17,78
201028,17,72
201029,27,60
201039,27,66
201040,29,66
201044,28,66
201045,27,72
201051,27,66
201052,21,42
201053,22,66
201055,27,66
201056,28,60
202001,31,132
202002,31,108
202003,22,48
202004,31,108
202005,31,66
202006,27,54
202008,31,96
202009,26,42
202012,29,132
202014,18,42
202015,27,78
202017,30,120
202018,18,48
202021,24,54
202022,14,28
202024,22,24
202026,26,48
202027,29,78
202028,24,42
202029,28,60
202031,30,60
202032,26,42
202035,19,28
202037,28,42
202038,31,42
202039,30,78
202042,23,42
202043,21,32
202044,23,36
202047,26,48
202048,27,96
202049,23,42
202050,30,96
202051,29,96
202052,31,78
202055,26,32
202056,28,54
202058,22,48
202060,25,48
202061,26,48
202062,24,42
202066,25,42
202067,28,54
202068,23,28
202071,26,54
202073,29,72
202076,31,120
202077,28,96
202081,18,24
202082,30,108
202083,31,132
202085,31,132
202087,21,42
202088,30,48
202089,30,78
202090,30,72
202091,31,96
202092,25,42
202093,24,60
202094,28,120
202095,14,28
202096,29,96
202097,22,84
202098,31,108
202099,31,132
202101,26,48
202103,29,66
202105,19,24
202106,28,60
202107,31,132
202109,31,132
202110,30,132
206001,22,42
206005,26,84
206007,29,84
206008,20,84
206009,25,84
206010,30,84
206011,31,84
206013,27,84
206016,24,96
206017,29,84
206020,29,78
206024,28,84
207001,28,72
207004,29,96
207007,27,84
207009,29,120
207010,25,48
207013,20,24
207015,16,24
