ID,physcore_teacher,agestrat
101001,34,108
101002,34,78
101003,25,32
101004,34,204
101005,34,156
101006,33,156
101007,24,36
101009,34,84
101010,34,120
101011,33,156
101012,34,156
101015,30,60
101017,23,32
101018,34,72
101019,30,48
101021,33,96
101023,32,72
101024,31,72
101025,31,54
101026,34,156
101027,30,54
101029,32,60
101030,34,96
101031,28,60
101032,33,96
101033,25,32
101034,29,60
101035,33,120
101036,31,48
101037,32,60
101039,24,42
101040,29,24
102001,31,72
102002,12,24
102006,13,32
102009,32,72
102010,32,96
102011,33,96
102012,34,204
102013,34,204
102014,34,204
102015,34,156
102016,34,204
102017,34,156
102018,34,132
102019,34,204
102020,34,156
102021,34,156
102022,34,156
102024,34,156
102025,34,204
102026,34,156
102027,34,156
102028,34,204
102029,14,28
102030,34,204
102031,34,204
102032,34,156
102034,34,156
102035,34,156
102038,34,204
102039,34,204
102040,34,156
104001,34,156
104002,32,132
104004,31,72
104005,22,48
104017,34,84
104023,31,96
104024,33,60
104025,33,60
104026,33,156
105001,17,36
105002,22,48
105006,22,54
105008,24,36
105010,19,54
105012,24,48
105013,19,42
105014,14,42
105020,17,48
105022,32,156
105027,34,204
105030,34,204
105033,30,66
105034,30,72
105035,30,72
105042,18,42
105043,31,66
107001,34,204
107002,32,204
107003,34,156
107004,34,132
107005,32,156
107006,34,132
107007,34,156
107008,33,78
107010,34,156
107011,34,204
107012,34,204
107013,34,204
107014,34,156
107015,34,204
107016,34,132
107017,34,156
107018,34,156
107019,34,120
107020,34,108
107021,29,72
107022,34,156
107023,34,156
107024,34,156
107025,34,156
107026,34,132
107027,34,132
107028,34,156
107029,34,156
107030,34,132
107031,34,156
107032,34,132
107033,34,156
107034,18,24
107035,19,32
107036,34,72
107037,30,60
107038,34,132
107039,29,84
107040,33,132
107041,31,132
107042,31,132
107044,31,156
107045,32,156
107046,21,54
107047,34,156
107048,31,60
107049,32,42
107051,24,24
107052,32,78
107053,34,204
107054,34,84
107055,34,108
107056,34,156
107057,32,156
107058,33,156
107059,32,204
107060,34,204
108003,28,84
108013,34,96
108015,31,54
108016,30,72
108031,20,60
109001,29,204
109002,31,96
109003,29,78
109004,34,108
109005,34,60
109006,25,28
109007,34,72
109008,17,42
109009,23,36
109011,34,156
109012,34,120
109014,34,48
109015,34,120
109016,34,108
109017,34,156
109018,32,42
109019,32,78
109020,31,78
109021,34,96
109022,32,32
109023,34,120
109024,34,204
109026,33,66
109027,34,132
109029,33,132
109031,34,156
109033,34,72
109034,34,132
