ID,agestrat,COGscore
107025,156,38
107026,132,41
107027,132,35
107028,156,42
107029,156,40
107030,132,41
107031,156,37
107032,132,42
107033,156,42
107034,24,21
107035,32,16
107036,72,40
107037,60,33
107038,132,41
107039,84,38
107040,132,42
107041,132,42
107042,132,41
107044,156,41
107045,156,42
107046,54,25
107047,156,42
107048,60,35
107049,42,32
107050,20,15
107051,24,18
107052,78,35
107053,204,42
107054,84,42
107055,108,42
107056,156,39
107057,156,41
107058,156,42
107059,204,41
107060,204,42
108001,132,42
108002,156,42
108003,84,39
108004,32,16
108005,16,12
108006,16,6
108007,78,39
108008,120,42
108009,60,30
108010,60,37
108012,156,42
108013,96,33
108014,108,42
108015,54,27
108016,72,28
108017,28,14
108018,14,7
108019,204,42
108020,96,36
108021,16,11
108022,24,16
108023,156,42
108024,24,9
108025,60,31
108026,28,18
108027,132,42
108028,120,42
108029,28,17
108031,60,21
108033,48,27
108034,20,12
108037,78,31
108038,48,25
108039,96,42
108041,108,42
108042,156,42
108043,96,41
108044,156,42
108045,132,42
109001,204,42
109002,96,39
109003,78,33
109004,108,41
109005,60,30
109006,28,10
109007,72,34
109008,42,18
109009,36,23
109011,156,41
109012,120,41
109013,16,7
109014,48,16
109015,120,42
109016,108,42
109017,156,41
109018,42,22
109019,78,35
109020,78,37
109021,96,40
109022,32,19
109023,120,42
109024,204,42
109026,66,28
109027,132,42
109028,4,5
109029,132,42
109031,156,40
109032,14,6
109033,72,35
109034,132,42
109035,42,24
109036,204,42
109037,120,40
109038,48,18
109039,204,42
109040,204,42
109041,156,42
109042,120,42
109043,84,42
109044,156,42
109045,156,41
109046,84,31
109047,2,0
109048,132,42
109049,120,42
109050,108,41
109051,84,42
109052,108,41
109053,18,8
109054,42,23
109055,66,38
109056,156,42
109057,156,42
109058,204,42
109059,14,7
109060,48,27
109061,96,42
109062,156,42
109063,36,19
109064,72,27
109065,96,39
109066,48,23
109067,10,7
109068,108,40
109069,78,35
109070,156,41
109071,204,42
109072,204,41
109073,132,41
109075,156,42
109076,204,42
109077,156,42
109078,32,23
109079,108,40
109080,54,27
109081,36,24
109082,4,5
109083,156,42
109084,108,36
109085,84,35
109086,78,30
109087,32,15
109088,96,39
109089,84,39
109090,48,34
109091,66,35
109094,120,42
109095,108,40
109096,48,21
109097,72,32
109098,6,5
109102,156,42
110001,16,10
110002,12,7
110003,6,5
110004,96,40
110005,132,42
110006,84,38
110007,72,37
110008,78,36
110009,14,10
110010,12,6
111001,84,41
111002,42,24
111003,120,42
111004,36,20
111005,2,3
111006,78,33
111007,132,42
111008,14,9
111009,60,33
111010,42,25
111011,108,42
111012,36,23
111013,10,6
111014,120,42
111015,156,42
111016,204,42
111017,14,9
111018,156,42
111019,42,19
111020,42,18
111021,108,41
111022,36,20
111023,24,16
111024,42,23
111025,132,42
111026,156,42
111027,16,12
111028,48,28
111029,60,27
111030,48,25
111031,18,14
111032,60,29
111033,156,42
111034,132,42
111035,120,42
111036,132,42
111037,20,14
111038,54,34
111039,4,6
111040,204,42
111041,156,42
111042,132,42
111043,120,41
111044,72,36
111045,20,12
111046,4,5
111047,28,17
111048,10,5
111049,48,28
111050,16,13
111051,22,13
111052,60,33
111053,8,7
111054,32,17
111055,32,19
112001,32,28
112002,72,32
112003,84,29
112004,36,18
112005,204,42
112006,78,36
112007,66,30
112008,28,20
112009,36,20
112010,24,12
112011,24,21
112012,48,26
112013,132,39
112014,204,42
112015,204,40
112016,204,42
112017,96,34
112018,84,34
112019,204,42
112020,84,28
112021,36,22
112022,48,27
112023,54,29
112024,36,24
112025,32,23
112026,32,15
112027,156,42
112028,204,42
112029,156,42
112030,132,37
112031,66,28
112032,72,31
112033,84,36
112034,78,33
112035,120,37
112036,96,37
112037,204,42
112038,78,28
112039,156,37
112040,96,35
112041,120,38
112042,84,33
112043,156,42
112044,108,38
112045,108,34
112046,108,39
112047,96,39
112048,204,42
112049,204,42
112050,84,35
112051,84,31
112052,84,31
112053,132,40
112054,204,42
112055,156,42
112056,120,39
112057,204,42
112058,204,42
112059,204,42
112060,204,42
112061,204,42
112062,156,42
112063,204,42
112064,204,42
112065,204,42
112066,204,42
112067,132,42
112068,96,34
112069,132,38
112070,84,30
112071,120,36
112072,156,42
112073,204,42
112074,204,42
112075,156,42
113001,204,37
113002,156,42
113003,204,42
113004,108,42
113005,84,40
113006,60,24
113007,66,38
113008,96,42
113009,78,37
113010,48,25
113012,22,13
113013,108,37
113014,72,33
114001,54,25
114002,72,37
114003,132,40
114004,54,30
114005,4,5
114006,60,34
114007,54,29
114008,54,28
114009,54,28
114010,54,26
114011,2,2
114012,54,25
114013,28,22
114014,54,28
114015,54,21
114016,78,34
114017,78,41
114018,54,27
114020,24,13
114022,60,30
114023,84,38
115001,48,14
115002,84,37
115003,132,41
115004,156,42
115005,156,41
115006,32,16
115007,60,26
115008,132,40
115009,84,34
115010,4,5
115011,24,23
115012,156,41
115013,156,42
115014,204,42
115015,48,19
115029,60,29
115030,108,36
115031,36,19
115032,120,42
115033,60,39
115034,84,39
115035,108,37
115036,120,42
115037,42,17
115038,156,42
115039,156,42
115040,12,7
115041,156,42
115042,156,42
115043,78,35
115044,120,41
115045,156,42
115046,24,13
115047,42,23
115048,84,41
115049,108,42
115050,120,38
115116,14,7
115117,32,16
115118,42,20
115119,28,17
115120,54,29
115121,72,28
115122,108,42
115123,132,42
115124,156,42
115125,204,42
115126,60,29
115127,96,42
115128,120,42
116001,24,17
116002,36,14
116003,36,15
116004,36,19
116005,22,8
116006,32,13
116007,14,10
116008,42,21
116009,14,7
116010,28,13
116011,132,42
116012,12,8
116013,10,7
116014,28,14
116015,132,41
116016,132,42
116017,42,18
116018,12,7
116019,20,13
116020,32,24
116021,132,42
116022,132,42
116023,156,42
116024,108,36
116025,66,30
116026,32,11
116027,28,13
116028,6,5
116029,156,42
116030,204,42
116031,12,7
116032,156,42
116033,12,7
116034,156,42
116035,156,41
116036,66,34
116037,132,41
116038,8,5
116040,132,41
116041,108,38
116042,132,40
116043,72,26
116044,132,41
116045,132,42
116046,120,36
116047,204,42
116048,132,40
116049,28,16
116050,32,18
116051,132,38
116052,204,42
116053,204,42
116054,132,41
116055,28,16
116056,32,16
116057,132,40
116058,120,39
116059,132,41
116060,132,42
116061,120,37
116062,24,13
116063,24,5
116064,204,42
116065,204,42
116069,132,42
116071,132,40
116072,132,38
116073,32,15
116074,204,42
116075,204,42
116076,204,42
116077,132,42
116078,132,41
116079,28,17
116080,32,18
117001,32,18
117002,66,36
117003,120,42
117004,24,13
117005,120,42
117006,66,33
117007,132,40
117008,10,7
117009,42,27
117010,10,7
117011,6,6
117012,36,18
117013,24,13
117014,54,28
117015,28,16
117016,24,17
117017,4,5
117018,4,6
117019,4,5
117020,6,7
117021,10,7
117022,54,27
117023,54,26
117024,48,23
117025,4,5
117026,22,15
117027,4,5
117028,28,19
117029,48,25
117030,36,21
117031,14,12
117032,132,42
117033,4,5
117034,132,42
117035,108,41
117036,78,39
117037,66,31
117038,108,42
117040,8,7
117041,84,38
117042,36,15
117043,66,29
117044,8,8
117045,32,24
117046,0,0
117047,0,0
117048,96,40
117049,78,37
117050,132,42
117053,8,8
117054,84,37
117055,36,18
117056,18,11
117059,22,15
117060,8,6
117061,72,32
117062,42,23
117063,10,7
117064,60,34
117065,36,19
118001,66,33
118002,32,20
118003,156,42
118004,132,42
118005,2,4
118006,48,27
118007,156,41
118008,132,41
118009,42,18
118010,120,42
118011,78,37
118012,66,32
118015,2,4
118016,96,40
118017,66,33
118018,36,19
118019,2,3
119001,36,24
119002,132,42
119003,132,42
119004,108,41
119005,18,13
119006,12,9
119007,96,42
119008,36,22
119009,78,38
119010,10,9
119011,84,38
119012,108,42
119013,132,42
119014,96,42
119015,78,37
119016,84,38
119017,132,42
119018,96,39
119019,84,38
119020,60,24
119021,96,42
119022,2,5
119023,2,5
120009,156,42
120010,204,42
120011,36,19
120012,54,24
120013,12,9
120014,16,11
120015,42,25
120016,28,16
120017,48,23
120018,60,28
120020,84,38
120021,132,42
120022,20,6
120023,78,37
120024,108,37
120025,132,40
120026,18,14
120027,72,31
120028,108,42
120029,42,22
120030,72,34
120031,60,21
120032,66,27
120037,10,7
120038,72,36
120041,0,4
120042,48,24
120043,108,42
120044,96,40
120045,132,42
120046,96,41
120047,132,42
120048,28,26
120049,54,19
120050,72,37
120051,108,42
120052,32,21
120053,60,28
120056,78,26
120057,78,34
120058,108,39
