group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,24,6.413107,15.34395,4.644636,NA
2,28,6.310666,16.076139,4.422069,0.13440531226529345
3,32,6.208225,17.261609,4.199501,0.2243035286695023
4,36,6.105785,18.829454,3.976933,0.30606364605862096
5,42,6.003344,20.708771,3.754365,0.3788864019912475
6,48,5.900903,22.828655,3.531797,0.4418632244888584
7,54,5.798463,25.118203,3.309229,0.49395891953093546
8,60,5.696022,27.50651,3.086662,0.5339869883114803
9,66,5.593581,29.922672,2.864094,0.5605827581664627
10,72,5.49114,32.295785,2.641526,0.5721673834190637
11,78,5.3887,34.554945,2.418958,0.5669044117296472
12,84,5.286259,36.629247,2.19639,0.5426449580116351
13,96,5.183818,38.447789,1.973823,0.4968595567437532
14,108,5.081378,39.939664,1.751255,0.4265463278274608
15,120,4.978937,41.03397,1.528687,0.32812141475235324
16,132,4.876496,41.659802,1.306119,0.19726405468013727
17,156,4.774055,41.71,1.29,0.01639564061087683
18,204,4.671615,41.746256,1.28,0.012069572483266141
