group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,24,6.824992,18.1907,4.537966,NA
2,28,6.532058,20.173437,4.252888,0.35809022831234966
3,32,6.239125,22.018143,3.96781,0.35150847129897483
4,36,5.946191,23.724818,3.682732,0.3441595518580543
5,42,5.653258,25.293462,3.397654,0.33590103981111236
6,48,5.360325,26.724075,3.112576,0.32655290261314646
7,54,5.067391,28.016657,2.827498,0.315884306922315
8,60,4.774458,29.171207,2.54242,0.30359392173177524
9,66,4.481524,30.187727,2.257342,0.28928244566776395
10,72,4.188591,31.066215,1.972264,0.2724052714008313
11,78,3.895658,31.806673,1.687186,0.25220605534934104
12,84,3.602724,32.409099,1.402108,0.22759517763860465
13,96,3.309791,32.873494,1.39,0.1914118662826998
14,108,3.016857,33.199858,1.38,0.14350956528162817
15,120,2.723924,33.388191,1.37,0.08872352260645991
16,132,2.430991,33.438493,1.36,0.025518093727073563
17,156,2.138057,33.5,1.35,0.033799474876384315
18,204,1.845124,33.6,1.34,0.05994142823340258
