agestrat,n,median,mean,sd,ES,group
0,26,0,0.19,0.49,NA,1
2,26,1,1.46,1.45,1.31,2
4,42,4,3.38,1.34,1.38,3
6,40,5,4.92,1.19,1.22,4
8,35,7,6.77,1.09,1.62,5
10,42,8,8.05,1.38,1.04,6
12,37,11,11.3,2.53,1.66,7
14,43,13,13.28,2.75,0.75,8
16,33,14,14.79,2.99,0.53,9
18,34,16.5,16.15,3.49,0.42,10
20,38,17,16.55,3.07,0.12,11
22,30,19,18.97,2.48,0.87,12
24,71,19,19.18,3.73,0.07,13
28,64,20,20.06,4.48,0.21,14
32,59,22,22.47,4.68,0.53,15
36,84,25,24.61,5.67,0.41,16
42,93,26,25.69,4.97,0.2,17
48,94,28,27.49,5.1,0.36,18
54,90,30,28.76,5.42,0.24,19
60,109,32,30.47,4.89,0.33,20
66,95,33,31.21,4.82,0.15,21
72,107,34,32.58,4.38,0.3,22
78,93,34,33.01,4.4,0.1,23
84,124,35,34.03,3.66,0.25,24
96,124,36,35.37,3.54,0.37,25
108,111,37,35.65,3.32,0.08,26
120,107,37,35.68,4.07,0.01,27
132,197,37,36.38,1.85,0.24,28
156,128,37,36.51,1.43,0.08,29
204,109,37,36.62,1.37,0.08,30
