group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,24,6.624777,13.110505,5.979855,NA
2,28,6.636236,15.559421,5.64029,0.3936980746635668
3,32,6.647696,17.831252,5.300726,0.3751225389627253
4,36,6.659155,19.931229,4.961161,0.3564004148206831
5,42,6.670614,21.86458,4.621597,0.33751859845053356
6,48,6.682074,23.636537,4.282032,0.3184636523644052
7,54,6.693533,25.252329,3.942468,0.2992192584971915
8,60,6.704992,26.717187,3.602903,0.2797680049595356
9,66,6.716452,28.03634,3.263339,0.26008939609968335
10,72,6.727911,29.215019,2.923774,0.24016105564349874
11,78,6.73937,30.258453,2.58421,0.2199566646368307
12,84,6.75083,31.171873,2.244645,0.19944696928962813
13,96,6.762289,31.960509,1.905081,0.1785977287350926
14,108,6.773748,32.629591,1.89,0.15442327494394753
15,120,6.785208,33.184349,1.88,0.12805341533558043
16,132,6.796667,33.630013,1.87,0.10285419205942824
17,156,6.808126,33.971813,1.86,0.07887028128919664
18,204,6.819586,34.21498,1.85,0.056101289489639626
