group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,74.04,513.846916,53.52,NA
2,2,74.04,514.255169,53.52,0.00640095641266947
3,4,74.04,514.663422,53.52,0.0064009564126676875
4,6,74.04,515.071676,53.52,0.006400972091565637
5,8,74.04,515.479929,53.52,0.0064009564126676875
6,10,74.04,515.888183,53.52,0.006400972091565637
7,12,74.04,516.296436,53.52,0.0064009564126676875
8,14,74.04,516.70469,53.52,0.006400972091565637
9,16,74.04,517.112943,53.52,0.0064009564126676875
10,18,74.04,517.521197,53.52,0.006400972091565637
11,20,74.04,517.92945,53.52,0.0064009564126676875
12,22,74.04,518.337703,53.52,0.00640095641266947
13,24,74.04,518.745957,53.52,0.006400972091563854
14,28,74.04,519.15421,53.52,0.00640095641266947
15,32,74.04,519.562464,53.52,0.006400972091563854
16,36,74.04,519.970717,53.52,0.00640095641266947
17,42,74.04,520.378971,53.52,0.006400972091563854
18,48,74.04,520.787224,53.52,0.00640095641266947
19,54,74.04,521.195477,53.52,0.0064009564126676875
20,60,74.04,521.603731,53.52,0.006400972091565637
21,66,74.04,522.011984,53.52,0.0064009564126676875
22,72,74.04,522.420238,53.52,0.006400972091565637
23,78,74.04,522.828491,53.52,0.0064009564126676875
24,84,74.04,523.236745,53.52,0.006400972091565637
25,96,74.04,523.644998,53.52,0.0064009564126676875
26,108,74.04,524.053251,53.52,0.00640095641266947
27,120,74.04,524.461505,53.52,0.006400972091563854
28,132,74.04,524.869758,53.52,0.00640095641266947
29,156,74.04,525.278012,53.52,0.006400972091563854
30,204,74.04,525.686265,53.52,0.00640095641266947
