agestrat,adpscore_teacher,n,perc,cum_per
24,6,1,2.9412,2.9412
24,9,2,5.8824,8.8235
24,10,2,5.8824,14.7059
24,11,2,5.8824,20.5882
24,12,1,2.9412,23.5294
24,13,4,11.7647,35.2941
24,14,2,5.8824,41.1765
24,15,3,8.8235,50
24,17,3,8.8235,58.8235
24,18,2,5.8824,64.7059
24,19,5,14.7059,79.4118
24,20,2,5.8824,85.2941
24,22,1,2.9412,88.2353
24,23,3,8.8235,97.0588
24,24,1,2.9412,100
28,9,1,2.8571,2.8571
28,10,3,8.5714,11.4286
28,11,2,5.7143,17.1429
28,12,3,8.5714,25.7143
28,16,4,11.4286,37.1429
28,17,3,8.5714,45.7143
28,18,5,14.2857,60
28,19,4,11.4286,71.4286
28,20,3,8.5714,80
28,21,2,5.7143,85.7143
28,22,1,2.8571,88.5714
28,23,2,5.7143,94.2857
28,24,2,5.7143,100
32,5,1,2.5,2.5
32,6,1,2.5,5
32,8,1,2.5,7.5
32,13,1,2.5,10
32,15,3,7.5,17.5
32,16,2,5,22.5
32,17,1,2.5,25
32,18,4,10,35
32,19,10,25,60
32,20,3,7.5,67.5
32,21,2,5,72.5
32,22,2,5,77.5
32,23,4,10,87.5
32,25,2,5,92.5
32,28,1,2.5,95
32,30,1,2.5,97.5
32,33,1,2.5,100
36,8,1,1.6667,1.6667
36,9,1,1.6667,3.3333
36,11,1,1.6667,5
36,12,2,3.3333,8.3333
36,13,1,1.6667,10
36,16,3,5,15
36,17,2,3.3333,18.3333
36,18,2,3.3333,21.6667
36,19,4,6.6667,28.3333
36,20,7,11.6667,40
36,21,3,5,45
36,22,5,8.3333,53.3333
36,23,10,16.6667,70
36,24,5,8.3333,78.3333
36,25,5,8.3333,86.6667
36,26,3,5,91.6667
36,27,1,1.6667,93.3333
36,28,1,1.6667,95
36,29,1,1.6667,96.6667
36,31,2,3.3333,100
42,9,1,1.3158,1.3158
42,10,1,1.3158,2.6316
42,11,1,1.3158,3.9474
42,12,2,2.6316,6.5789
42,13,2,2.6316,9.2105
42,15,1,1.3158,10.5263
42,16,2,2.6316,13.1579
42,17,2,2.6316,15.7895
42,18,4,5.2632,21.0526
42,19,2,2.6316,23.6842
42,20,2,2.6316,26.3158
42,21,5,6.5789,32.8947
42,22,6,7.8947,40.7895
42,23,8,10.5263,51.3158
42,24,7,9.2105,60.5263
42,25,5,6.5789,67.1053
42,26,5,6.5789,73.6842
42,27,6,7.8947,81.5789
42,28,3,3.9474,85.5263
42,29,4,5.2632,90.7895
42,30,2,2.6316,93.4211
42,31,1,1.3158,94.7368
42,33,2,2.6316,97.3684
42,34,1,1.3158,98.6842
42,37,1,1.3158,100
48,11,2,3.0769,3.0769
48,15,1,1.5385,4.6154
48,16,2,3.0769,7.6923
48,17,1,1.5385,9.2308
48,18,2,3.0769,12.3077
48,19,1,1.5385,13.8462
48,20,1,1.5385,15.3846
48,21,3,4.6154,20
48,22,2,3.0769,23.0769
48,23,4,6.1538,29.2308
48,24,6,9.2308,38.4615
48,25,4,6.1538,44.6154
48,26,11,16.9231,61.5385
48,27,5,7.6923,69.2308
48,28,6,9.2308,78.4615
48,29,4,6.1538,84.6154
48,30,4,6.1538,90.7692
48,31,2,3.0769,93.8462
48,32,1,1.5385,95.3846
48,34,1,1.5385,96.9231
48,35,2,3.0769,100
54,2,1,1.2346,1.2346
54,6,1,1.2346,2.4691
54,10,1,1.2346,3.7037
54,14,1,1.2346,4.9383
54,15,3,3.7037,8.642
54,18,2,2.4691,11.1111
54,19,4,4.9383,16.0494
54,20,1,1.2346,17.284
54,21,1,1.2346,18.5185
54,22,3,3.7037,22.2222
54,23,3,3.7037,25.9259
54,24,2,2.4691,28.3951
54,25,9,11.1111,39.5062
54,26,3,3.7037,43.2099
54,27,9,11.1111,54.321
54,28,6,7.4074,61.7284
54,29,8,9.8765,71.6049
54,30,4,4.9383,76.5432
54,31,10,12.3457,88.8889
54,32,3,3.7037,92.5926
54,33,1,1.2346,93.8272
54,35,2,2.4691,96.2963
54,36,2,2.4691,98.7654
54,37,1,1.2346,100
60,13,1,1.2048,1.2048
60,17,1,1.2048,2.4096
60,21,1,1.2048,3.6145
60,22,1,1.2048,4.8193
60,23,3,3.6145,8.4337
60,24,4,4.8193,13.253
60,25,2,2.4096,15.6627
60,26,5,6.0241,21.6867
60,27,12,14.4578,36.1446
60,28,8,9.6386,45.7831
60,29,12,14.4578,60.241
60,30,9,10.8434,71.0843
60,31,5,6.0241,77.1084
60,32,7,8.4337,85.5422
60,33,5,6.0241,91.5663
60,34,1,1.2048,92.7711
60,35,3,3.6145,96.3855
60,36,1,1.2048,97.5904
60,37,2,2.4096,100
66,14,2,2.8571,2.8571
66,15,1,1.4286,4.2857
66,20,1,1.4286,5.7143
66,21,1,1.4286,7.1429
66,22,2,2.8571,10
66,23,2,2.8571,12.8571
66,24,1,1.4286,14.2857
66,26,5,7.1429,21.4286
66,27,6,8.5714,30
66,28,7,10,40
66,29,7,10,50
66,30,4,5.7143,55.7143
66,31,7,10,65.7143
66,32,7,10,75.7143
66,33,3,4.2857,80
66,34,6,8.5714,88.5714
66,35,3,4.2857,92.8571
66,36,2,2.8571,95.7143
66,37,1,1.4286,97.1429
66,38,2,2.8571,100
72,18,1,1.1364,1.1364
72,23,1,1.1364,2.2727
72,24,2,2.2727,4.5455
72,25,1,1.1364,5.6818
72,26,3,3.4091,9.0909
72,27,3,3.4091,12.5
72,28,4,4.5455,17.0455
72,29,6,6.8182,23.8636
72,30,8,9.0909,32.9545
72,31,6,6.8182,39.7727
72,32,10,11.3636,51.1364
72,33,9,10.2273,61.3636
72,34,11,12.5,73.8636
72,35,12,13.6364,87.5
72,36,6,6.8182,94.3182
72,37,4,4.5455,98.8636
72,38,1,1.1364,100
78,10,1,1.4706,1.4706
78,12,1,1.4706,2.9412
78,18,2,2.9412,5.8824
78,21,2,2.9412,8.8235
78,22,2,2.9412,11.7647
78,25,2,2.9412,14.7059
78,26,2,2.9412,17.6471
78,27,3,4.4118,22.0588
78,28,3,4.4118,26.4706
78,29,4,5.8824,32.3529
78,30,3,4.4118,36.7647
78,31,7,10.2941,47.0588
78,32,7,10.2941,57.3529
78,33,6,8.8235,66.1765
78,34,4,5.8824,72.0588
78,35,9,13.2353,85.2941
78,36,2,2.9412,88.2353
78,37,3,4.4118,92.6471
78,38,5,7.3529,100
84,13,1,0.9174,0.9174
