agestrat,adpscore_teacher,n,perc,cum_per
84,22,2,1.8349,2.7523
84,23,2,1.8349,4.5872
84,24,2,1.8349,6.422
84,25,5,4.5872,11.0092
84,27,2,1.8349,12.844
84,28,4,3.6697,16.5138
84,29,4,3.6697,20.1835
84,30,4,3.6697,23.8532
84,31,8,7.3394,31.1927
84,32,3,2.7523,33.945
84,33,11,10.0917,44.0367
84,34,9,8.2569,52.2936
84,35,9,8.2569,60.5505
84,36,9,8.2569,68.8073
84,37,9,8.2569,77.0642
84,38,25,22.9358,100
96,12,1,0.9804,0.9804
96,22,1,0.9804,1.9608
96,25,2,1.9608,3.9216
96,27,1,0.9804,4.902
96,28,5,4.902,9.8039
96,29,1,0.9804,10.7843
96,30,6,5.8824,16.6667
96,31,4,3.9216,20.5882
96,32,2,1.9608,22.549
96,33,6,5.8824,28.4314
96,34,7,6.8627,35.2941
96,35,13,12.7451,48.0392
96,36,13,12.7451,60.7843
96,37,14,13.7255,74.5098
96,38,26,25.4902,100
108,25,2,2.2989,2.2989
108,26,1,1.1494,3.4483
108,28,1,1.1494,4.5977
108,29,3,3.4483,8.046
108,30,2,2.2989,10.3448
108,31,2,2.2989,12.6437
108,32,3,3.4483,16.092
108,33,5,5.7471,21.8391
108,34,4,4.5977,26.4368
108,35,4,4.5977,31.0345
108,36,12,13.7931,44.8276
108,37,18,20.6897,65.5172
108,38,30,34.4828,100
120,22,1,1.2048,1.2048
120,27,2,2.4096,3.6145
120,28,2,2.4096,6.0241
120,29,1,1.2048,7.2289
120,30,3,3.6145,10.8434
120,31,1,1.2048,12.0482
120,32,1,1.2048,13.253
120,33,2,2.4096,15.6627
120,34,4,4.8193,20.4819
120,35,4,4.8193,25.3012
120,36,12,14.4578,39.759
120,37,12,14.4578,54.2169
120,38,38,45.7831,100
132,3,1,0.6061,0.6061
132,23,1,0.6061,1.2121
132,27,1,0.6061,1.8182
132,29,1,0.6061,2.4242
132,30,2,1.2121,3.6364
132,32,4,2.4242,6.0606
132,33,1,0.6061,6.6667
132,34,4,2.4242,9.0909
132,35,11,6.6667,15.7576
132,36,6,3.6364,19.3939
132,37,23,13.9394,33.3333
132,38,110,66.6667,100
156,28,1,0.9091,0.9091
156,32,1,0.9091,1.8182
156,33,2,1.8182,3.6364
156,34,5,4.5455,8.1818
156,35,9,8.1818,16.3636
156,36,8,7.2727,23.6364
156,37,10,9.0909,32.7273
156,38,74,67.2727,100
204,34,1,1.2346,1.2346
204,35,4,4.9383,6.1728
204,36,1,1.2346,7.4074
204,37,3,3.7037,11.1111
204,38,72,88.8889,100
