agestrat,socscore_teacher,n,perc,cum_per
24,8,1,2.9412,2.9412
24,9,1,2.9412,5.8824
24,10,2,5.8824,11.7647
24,11,2,5.8824,17.6471
24,12,3,8.8235,26.4706
24,13,6,17.6471,44.1176
24,14,3,8.8235,52.9412
24,15,5,14.7059,67.6471
24,16,2,5.8824,73.5294
24,17,1,2.9412,76.4706
24,18,1,2.9412,79.4118
24,19,1,2.9412,82.3529
24,20,1,2.9412,85.2941
24,21,2,5.8824,91.1765
24,22,1,2.9412,94.1176
24,27,2,5.8824,100
28,8,1,2.8571,2.8571
28,10,2,5.7143,8.5714
28,11,5,14.2857,22.8571
28,12,2,5.7143,28.5714
28,13,1,2.8571,31.4286
28,14,3,8.5714,40
28,15,2,5.7143,45.7143
28,16,3,8.5714,54.2857
28,17,4,11.4286,65.7143
28,18,6,17.1429,82.8571
28,20,2,5.7143,88.5714
28,22,1,2.8571,91.4286
28,23,1,2.8571,94.2857
28,28,1,2.8571,97.1429
28,29,1,2.8571,100
32,7,1,2.5,2.5
32,10,1,2.5,5
32,12,2,5,10
32,13,1,2.5,12.5
32,14,5,12.5,25
32,15,5,12.5,37.5
32,16,3,7.5,45
32,18,2,5,50
32,19,4,10,60
32,20,2,5,65
32,21,3,7.5,72.5
32,22,1,2.5,75
32,23,3,7.5,82.5
32,24,1,2.5,85
32,25,2,5,90
32,26,1,2.5,92.5
32,27,1,2.5,95
32,29,1,2.5,97.5
32,31,1,2.5,100
36,4,1,1.6667,1.6667
36,7,1,1.6667,3.3333
36,10,1,1.6667,5
36,11,1,1.6667,6.6667
36,12,7,11.6667,18.3333
36,14,1,1.6667,20
36,15,4,6.6667,26.6667
36,17,7,11.6667,38.3333
36,18,5,8.3333,46.6667
36,19,2,3.3333,50
36,20,8,13.3333,63.3333
36,21,7,11.6667,75
36,22,2,3.3333,78.3333
36,23,3,5,83.3333
36,24,3,5,88.3333
36,25,3,5,93.3333
36,26,2,3.3333,96.6667
36,27,1,1.6667,98.3333
36,29,1,1.6667,100
42,3,1,1.3158,1.3158
42,6,2,2.6316,3.9474
42,8,1,1.3158,5.2632
42,9,1,1.3158,6.5789
42,10,1,1.3158,7.8947
42,11,3,3.9474,11.8421
42,12,2,2.6316,14.4737
42,14,2,2.6316,17.1053
42,15,1,1.3158,18.4211
42,16,1,1.3158,19.7368
42,17,6,7.8947,27.6316
42,18,4,5.2632,32.8947
42,19,3,3.9474,36.8421
