agestrat,comscore_teacher,n,perc,cum_per
24,7,1,2.9412,2.9412
24,10,1,2.9412,5.8824
24,12,3,8.8235,14.7059
24,13,1,2.9412,17.6471
24,14,3,8.8235,26.4706
24,15,1,2.9412,29.4118
24,16,2,5.8824,35.2941
24,17,1,2.9412,38.2353
24,18,7,20.5882,58.8235
24,19,3,8.8235,67.6471
24,20,3,8.8235,76.4706
24,21,3,8.8235,85.2941
24,22,3,8.8235,94.1176
24,23,1,2.9412,97.0588
24,24,1,2.9412,100
28,8,1,2.8571,2.8571
28,12,1,2.8571,5.7143
28,13,1,2.8571,8.5714
28,14,2,5.7143,14.2857
28,15,3,8.5714,22.8571
28,17,1,2.8571,25.7143
28,18,1,2.8571,28.5714
28,19,8,22.8571,51.4286
28,20,5,14.2857,65.7143
28,21,3,8.5714,74.2857
28,22,3,8.5714,82.8571
28,23,4,11.4286,94.2857
28,24,1,2.8571,97.1429
28,27,1,2.8571,100
32,5,1,2.5,2.5
32,12,1,2.5,5
32,15,1,2.5,7.5
32,17,1,2.5,10
32,18,1,2.5,12.5
32,19,2,5,17.5
32,20,10,25,42.5
32,21,6,15,57.5
32,22,5,12.5,70
32,23,4,10,80
32,24,3,7.5,87.5
32,25,2,5,92.5
32,26,3,7.5,100
36,6,1,1.6667,1.6667
36,8,1,1.6667,3.3333
36,12,1,1.6667,5
36,14,2,3.3333,8.3333
36,15,1,1.6667,10
36,17,2,3.3333,13.3333
36,18,1,1.6667,15
36,19,4,6.6667,21.6667
36,20,10,16.6667,38.3333
36,21,6,10,48.3333
36,22,10,16.6667,65
36,23,8,13.3333,78.3333
36,24,6,10,88.3333
36,25,1,1.6667,90
36,26,2,3.3333,93.3333
36,27,1,1.6667,95
36,28,3,5,100
42,3,1,1.3158,1.3158
42,7,1,1.3158,2.6316
42,8,1,1.3158,3.9474
42,9,1,1.3158,5.2632
42,14,1,1.3158,6.5789
42,15,2,2.6316,9.2105
42,17,2,2.6316,11.8421
42,18,4,5.2632,17.1053
42,20,3,3.9474,21.0526
42,21,7,9.2105,30.2632
42,22,7,9.2105,39.4737
42,23,10,13.1579,52.6316
42,24,12,15.7895,68.4211
42,25,9,11.8421,80.2632
42,26,8,10.5263,90.7895
42,28,3,3.9474,94.7368
42,29,3,3.9474,98.6842
42,31,1,1.3158,100
48,9,1,1.5385,1.5385
48,12,1,1.5385,3.0769
48,13,1,1.5385,4.6154
48,14,1,1.5385,6.1538
48,17,2,3.0769,9.2308
48,18,2,3.0769,12.3077
48,20,4,6.1538,18.4615
48,21,1,1.5385,20
48,22,3,4.6154,24.6154
48,23,7,10.7692,35.3846
48,24,6,9.2308,44.6154
48,25,8,12.3077,56.9231
48,26,11,16.9231,73.8462
48,27,6,9.2308,83.0769
48,28,3,4.6154,87.6923
48,29,5,7.6923,95.3846
48,30,3,4.6154,100
54,2,2,2.4691,2.4691
54,5,1,1.2346,3.7037
54,9,2,2.4691,6.1728
54,14,2,2.4691,8.642
54,17,1,1.2346,9.8765
54,18,2,2.4691,12.3457
54,19,1,1.2346,13.5802
54,20,3,3.7037,17.284
54,21,6,7.4074,24.6914
54,22,5,6.1728,30.8642
54,23,5,6.1728,37.037
54,24,5,6.1728,43.2099
54,25,10,12.3457,55.5556
54,26,8,9.8765,65.4321
54,27,7,8.642,74.0741
54,28,12,14.8148,88.8889
54,29,6,7.4074,96.2963
54,30,3,3.7037,100
60,13,1,1.2048,1.2048
60,17,1,1.2048,2.4096
60,18,1,1.2048,3.6145
60,19,3,3.6145,7.2289
60,20,1,1.2048,8.4337
