agestrat,cogscore_teacher,n,perc,cum_per
24,7,2,5.8824,5.8824
24,11,2,5.8824,11.7647
24,12,3,8.8235,20.5882
24,13,4,11.7647,32.3529
24,14,4,11.7647,44.1176
24,15,4,11.7647,55.8824
24,16,3,8.8235,64.7059
24,17,3,8.8235,73.5294
24,18,3,8.8235,82.3529
24,20,4,11.7647,94.1176
24,22,2,5.8824,100
28,7,1,2.8571,2.8571
28,9,1,2.8571,5.7143
28,10,1,2.8571,8.5714
28,11,1,2.8571,11.4286
28,12,1,2.8571,14.2857
28,13,5,14.2857,28.5714
28,14,2,5.7143,34.2857
28,15,2,5.7143,40
28,16,2,5.7143,45.7143
28,17,4,11.4286,57.1429
28,18,4,11.4286,68.5714
28,19,5,14.2857,82.8571
28,20,3,8.5714,91.4286
28,21,1,2.8571,94.2857
28,22,2,5.7143,100
32,5,1,2.5,2.5
32,9,1,2.5,5
32,13,1,2.5,7.5
32,14,4,10,17.5
32,15,4,10,27.5
32,16,3,7.5,35
32,17,4,10,45
32,18,1,2.5,47.5
32,19,3,7.5,55
32,20,4,10,65
32,21,4,10,75
32,22,3,7.5,82.5
32,23,3,7.5,90
32,25,1,2.5,92.5
32,26,2,5,97.5
32,32,1,2.5,100
36,6,1,1.6667,1.6667
36,8,1,1.6667,3.3333
36,10,2,3.3333,6.6667
36,13,2,3.3333,10
36,14,6,10,20
36,15,2,3.3333,23.3333
36,16,4,6.6667,30
36,17,7,11.6667,41.6667
36,19,6,10,51.6667
36,20,11,18.3333,70
36,21,10,16.6667,86.6667
36,22,3,5,91.6667
36,24,3,5,96.6667
36,25,1,1.6667,98.3333
36,29,1,1.6667,100
42,8,1,1.3158,1.3158
42,9,1,1.3158,2.6316
42,10,3,3.9474,6.5789
42,12,2,2.6316,9.2105
42,15,3,3.9474,13.1579
42,16,2,2.6316,15.7895
42,17,2,2.6316,18.4211
42,18,7,9.2105,27.6316
42,19,3,3.9474,31.5789
42,20,6,7.8947,39.4737
42,21,6,7.8947,47.3684
42,22,11,14.4737,61.8421
42,23,4,5.2632,67.1053
42,24,5,6.5789,73.6842
42,25,8,10.5263,84.2105
42,26,4,5.2632,89.4737
42,27,1,1.3158,90.7895
42,28,3,3.9474,94.7368
42,29,1,1.3158,96.0526
42,30,1,1.3158,97.3684
42,33,1,1.3158,98.6842
42,35,1,1.3158,100
48,10,3,4.6154,4.6154
48,13,1,1.5385,6.1538
48,16,3,4.6154,10.7692
48,17,5,7.6923,18.4615
48,18,2,3.0769,21.5385
48,19,1,1.5385,23.0769
48,20,1,1.5385,24.6154
48,21,7,10.7692,35.3846
48,22,3,4.6154,40
48,23,5,7.6923,47.6923
48,24,5,7.6923,55.3846
48,25,10,15.3846,70.7692
48,26,6,9.2308,80
48,27,4,6.1538,86.1538
48,28,2,3.0769,89.2308
48,29,1,1.5385,90.7692
48,30,2,3.0769,93.8462
48,31,2,3.0769,96.9231
48,33,1,1.5385,98.4615
48,38,1,1.5385,100
54,2,1,1.2346,1.2346
54,6,1,1.2346,2.4691
54,11,1,1.2346,3.7037
54,12,2,2.4691,6.1728
54,13,1,1.2346,7.4074
54,14,1,1.2346,8.642
54,16,2,2.4691,11.1111
54,17,4,4.9383,16.0494
54,19,3,3.7037,19.7531
54,20,1,1.2346,20.9877
54,21,4,4.9383,25.9259
54,22,5,6.1728,32.0988
54,23,4,4.9383,37.037
54,24,8,9.8765,46.9136
54,25,6,7.4074,54.321
54,26,4,4.9383,59.2593
54,27,12,14.8148,74.0741
54,28,8,9.8765,83.9506
54,29,3,3.7037,87.6543
54,30,2,2.4691,90.1235
54,31,4,4.9383,95.0617
54,32,1,1.2346,96.2963
54,34,2,2.4691,98.7654
54,38,1,1.2346,100
60,14,1,1.2048,1.2048
60,15,3,3.6145,4.8193
60,17,1,1.2048,6.0241
60,18,3,3.6145,9.6386
60,19,1,1.2048,10.8434
60,21,4,4.8193,15.6627
60,22,7,8.4337,24.0964
60,23,5,6.0241,30.1205
60,24,4,4.8193,34.9398
60,25,5,6.0241,40.9639
60,26,7,8.4337,49.3976
60,27,1,1.2048,50.6024
60,28,4,4.8193,55.4217
60,29,7,8.4337,63.8554
60,30,4,4.8193,68.6747
60,31,12,14.4578,83.1325
60,32,5,6.0241,89.1566
60,33,2,2.4096,91.5663
60,34,4,4.8193,96.3855
60,35,1,1.2048,97.5904
60,36,2,2.4096,100
66,14,1,1.4286,1.4286
66,17,1,1.4286,2.8571
66,19,2,2.8571,5.7143
66,22,3,4.2857,10
66,23,3,4.2857,14.2857
66,25,4,5.7143,20
66,26,7,10,30
66,27,1,1.4286,31.4286
66,28,2,2.8571,34.2857
66,29,9,12.8571,47.1429
66,30,8,11.4286,58.5714
66,31,5,7.1429,65.7143
66,32,10,14.2857,80
66,33,1,1.4286,81.4286
66,34,3,4.2857,85.7143
66,35,2,2.8571,88.5714
66,36,1,1.4286,90
66,37,1,1.4286,91.4286
66,38,3,4.2857,95.7143
66,39,2,2.8571,98.5714
66,40,1,1.4286,100
72,15,1,1.1364,1.1364
72,19,1,1.1364,2.2727
72,20,1,1.1364,3.4091
72,21,3,3.4091,6.8182
72,24,3,3.4091,10.2273
72,25,2,2.2727,12.5
72,26,1,1.1364,13.6364
72,27,3,3.4091,17.0455
72,28,1,1.1364,18.1818
72,29,2,2.2727,20.4545
72,30,3,3.4091,23.8636
72,31,13,14.7727,38.6364
72,32,8,9.0909,47.7273
72,33,2,2.2727,50
72,34,11,12.5,62.5
72,35,7,7.9545,70.4545
72,36,7,7.9545,78.4091
72,37,8,9.0909,87.5
72,38,4,4.5455,92.0455
72,39,5,5.6818,97.7273
72,40,1,1.1364,98.8636
72,42,1,1.1364,100
78,10,1,1.4706,1.4706
78,17,1,1.4706,2.9412
78,18,1,1.4706,4.4118
78,21,1,1.4706,5.8824
78,22,1,1.4706,7.3529
