agestrat,n,median,mean,sd,ES,group
24,34,18,17.38,3.98,NA,1
28,35,19,19,3.86,0.41,2
32,40,21,20.82,3.82,0.47,3
36,60,22,20.98,4.16,0.04,4
42,76,23,22.25,4.96,0.28,5
48,65,25,23.95,4.4,0.36,6
54,81,25,23.52,5.9,-0.08,7
60,83,27,25.89,3.59,0.5,8
66,70,27,26.51,3.37,0.18,9
72,88,28,27.2,3.75,0.19,10
78,68,28,26.66,4.38,-0.13,11
84,109,29,28.29,2.97,0.44,12
96,102,30,28.56,2.94,0.09,13
108,87,30,29.29,2.5,0.27,14
120,83,31,29.59,2.33,0.12,15
132,165,31,29.95,2.81,0.14,16
156,110,31,30.5,1.4,0.26,17
204,81,31,30.79,0.77,0.27,18
