agestrat,n,median,mean,sd,ES,group
24,34,15,15.21,3.67,NA,1
28,35,17,16.11,3.72,0.24,2
32,40,19,18.55,4.88,0.57,3
36,60,19,18.22,4.16,-0.07,4
42,76,22,21.14,5.26,0.62,5
48,65,24,22.94,5.36,0.34,6
54,81,25,23.9,6.15,0.17,7
60,83,27,26.6,5.34,0.47,8
66,70,30,29.36,5.26,0.52,9
72,88,33.5,32.31,5.24,0.56,10
78,68,34,32.93,6.55,0.11,11
84,109,38,36.03,4.88,0.54,12
96,102,39,37.91,5.14,0.38,13
108,87,41,39.76,3.13,0.45,14
120,83,42,40.22,3.4,0.14,15
132,165,42,40.58,3.15,0.11,16
156,110,42,41.43,1.51,0.36,17
204,81,42,41.68,1.02,0.2,18
