GDS_parent,n,perc,cum_per
211,1,0.1845,0.1845
241,1,0.1845,0.369
243,2,0.369,0.738
250,1,0.1845,0.9225
263,2,0.369,1.2915
265,1,0.1845,1.476
270,1,0.1845,1.6605
281,1,0.1845,1.845
285,1,0.1845,2.0295
286,1,0.1845,2.214
294,2,0.369,2.583
295,1,0.1845,2.7675
300,1,0.1845,2.952
313,1,0.1845,3.1365
322,1,0.1845,3.321
331,2,0.369,3.69
334,1,0.1845,3.8745
339,1,0.1845,4.059
345,2,0.369,4.428
347,1,0.1845,4.6125
355,2,0.369,4.9815
360,1,0.1845,5.1661
361,1,0.1845,5.3506
362,1,0.1845,5.5351
365,1,0.1845,5.7196
366,1,0.1845,5.9041
368,1,0.1845,6.0886
370,1,0.1845,6.2731
371,1,0.1845,6.4576
372,1,0.1845,6.6421
380,2,0.369,7.0111
381,2,0.369,7.3801
382,1,0.1845,7.5646
383,2,0.369,7.9336
385,1,0.1845,8.1181
386,1,0.1845,8.3026
391,1,0.1845,8.4871
393,2,0.369,8.8561
394,1,0.1845,9.0406
396,1,0.1845,9.2251
397,1,0.1845,9.4096
398,1,0.1845,9.5941
399,1,0.1845,9.7786
400,1,0.1845,9.9631
408,1,0.1845,10.1476
411,2,0.369,10.5166
412,2,0.369,10.8856
413,1,0.1845,11.0701
416,1,0.1845,11.2546
418,1,0.1845,11.4391
421,1,0.1845,11.6236
424,2,0.369,11.9926
425,1,0.1845,12.1771
427,1,0.1845,12.3616
428,1,0.1845,12.5461
430,2,0.369,12.9151
431,2,0.369,13.2841
432,1,0.1845,13.4686
435,2,0.369,13.8376
437,2,0.369,14.2066
440,2,0.369,14.5756
441,1,0.1845,14.7601
442,1,0.1845,14.9446
443,2,0.369,15.3137
444,1,0.1845,15.4982
445,3,0.5535,16.0517
447,1,0.1845,16.2362
449,1,0.1845,16.4207
451,1,0.1845,16.6052
452,3,0.5535,17.1587
453,1,0.1845,17.3432
454,1,0.1845,17.5277
455,2,0.369,17.8967
456,2,0.369,18.2657
457,1,0.1845,18.4502
459,1,0.1845,18.6347
460,3,0.5535,19.1882
461,4,0.738,19.9262
462,1,0.1845,20.1107
463,1,0.1845,20.2952
464,2,0.369,20.6642
465,1,0.1845,20.8487
466,4,0.738,21.5867
467,2,0.369,21.9557
468,1,0.1845,22.1402
