agestrat,n,median,mean,sd,ES,group
24,34,20,19.88,4.78,NA,1
28,35,20,20.43,4.08,0.12,2
32,40,21,22.07,4.96,0.36,3
36,60,24,23.58,4.78,0.31,4
42,76,25,24.29,5.11,0.14,5
48,65,27,26.22,5.3,0.37,6
54,81,29,26.73,5.67,0.09,7
60,83,31,29.52,3.28,0.62,8
66,70,30,29.41,4.17,-0.03,9
72,88,32,31.22,2.69,0.53,10
78,68,32,30.37,5.05,-0.22,11
84,109,33,32.11,2.98,0.43,12
96,102,34,32.69,3.03,0.19,13
108,87,34,33.01,1.97,0.13,14
120,83,34,33.4,1.65,0.22,15
132,165,34,33.31,2.96,-0.04,16
156,110,34,33.71,0.7,0.22,17
204,81,34,33.85,0.71,0.2,18
