group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,24,6.430159,17.525117,3.435876,NA
2,28,6.22174,18.978348,3.25207,0.3005672485999756
3,32,6.013322,20.345128,3.068264,0.29463774311256924
4,36,5.804904,21.625457,2.884458,0.2881847383718645
5,42,5.596485,22.819335,2.700652,0.2811357419795563
6,48,5.388067,23.926762,2.516846,0.27340416799108785
7,54,5.179649,24.947738,2.33304,0.2648858103873744
8,60,4.97123,25.882264,2.149234,0.25545444648873644
9,66,4.762812,26.730338,1.965428,0.24495404046472521
10,72,4.554393,27.491962,1.781622,0.23319324370199487
11,78,4.345975,28.167134,1.597816,0.21992920735066981
12,84,4.137557,28.755856,1.414011,0.20485554213661378
13,96,3.929138,29.258127000000002,1.230205,0.18757358734471807
14,108,3.72072,29.673947,1.046399,0.16756020422986417
15,120,3.512302,30.003316,1.03,0.14152072400636015
16,132,3.303883,30.246234,1.02,0.10959302112464359
17,156,3.095465,30.402701,1.01,0.07424868447713831
18,204,2.887047,30.472718,1.005,0.03501939103061052
