agestrat,n,median,mean,sd,ES,group
24,34,14,15.12,4.56,NA,1
28,35,16,15.94,4.77,0.18,2
32,40,18.5,18.5,5.33,0.51,3
36,60,19.5,18.53,5.06,0.01,4
42,76,21.5,21.24,7.12,0.44,5
48,65,24,23.15,5.97,0.29,6
54,81,26,23.74,7.77,0.09,7
60,83,29,27.48,5.41,0.57,8
66,70,29,27.39,5.6,-0.02,9
72,88,31,28.65,5.8,0.22,10
78,68,30.5,28.07,5.87,-0.1,11
84,109,31,29.36,5.33,0.23,12
96,102,32,30.01,4.91,0.13,13
108,87,33,31.03,4.7,0.21,14
120,83,33,31.43,4.67,0.09,15
132,165,34,33.01,3.91,0.37,16
156,110,35,33.56,2.85,0.16,17
204,81,35,34.22,2.37,0.25,18
