GDS_teacher,n,perc,cum_per
212,1,0.0696,0.0696
225,1,0.0696,0.1392
226,1,0.0696,0.2088
235,1,0.0696,0.2784
257,1,0.0696,0.3479
259,1,0.0696,0.4175
260,1,0.0696,0.4871
268,1,0.0696,0.5567
269,1,0.0696,0.6263
288,1,0.0696,0.6959
294,1,0.0696,0.7655
296,1,0.0696,0.8351
299,1,0.0696,0.9047
300,1,0.0696,0.9743
306,1,0.0696,1.0438
307,1,0.0696,1.1134
313,2,0.1392,1.2526
317,1,0.0696,1.3222
319,2,0.1392,1.4614
320,1,0.0696,1.531
326,2,0.1392,1.6701
333,1,0.0696,1.7397
336,1,0.0696,1.8093
339,1,0.0696,1.8789
341,2,0.1392,2.0181
343,1,0.0696,2.0877
344,1,0.0696,2.1573
345,1,0.0696,2.2269
348,1,0.0696,2.2965
351,1,0.0696,2.366
352,2,0.1392,2.5052
355,1,0.0696,2.5748
357,1,0.0696,2.6444
358,1,0.0696,2.714
359,1,0.0696,2.7836
360,1,0.0696,2.8532
361,1,0.0696,2.9228
363,1,0.0696,2.9923
364,2,0.1392,3.1315
365,1,0.0696,3.2011
366,2,0.1392,3.3403
367,1,0.0696,3.4099
368,4,0.2784,3.6882
369,1,0.0696,3.7578
371,1,0.0696,3.8274
373,1,0.0696,3.897
376,1,0.0696,3.9666
377,3,0.2088,4.1754
378,2,0.1392,4.3145
380,1,0.0696,4.3841
381,1,0.0696,4.4537
382,1,0.0696,4.5233
383,1,0.0696,4.5929
386,1,0.0696,4.6625
387,3,0.2088,4.8713
388,2,0.1392,5.0104
389,2,0.1392,5.1496
390,1,0.0696,5.2192
391,1,0.0696,5.2888
393,4,0.2784,5.5672
396,1,0.0696,5.6367
397,1,0.0696,5.7063
398,1,0.0696,5.7759
401,2,0.1392,5.9151
402,1,0.0696,5.9847
403,1,0.0696,6.0543
404,1,0.0696,6.1239
405,1,0.0696,6.1935
406,1,0.0696,6.263
407,1,0.0696,6.3326
408,2,0.1392,6.4718
409,3,0.2088,6.6806
410,2,0.1392,6.8198
411,1,0.0696,6.8894
412,1,0.0696,6.9589
413,3,0.2088,7.1677
414,3,0.2088,7.3765
415,3,0.2088,7.5852
416,2,0.1392,7.7244
417,6,0.4175,8.142
418,2,0.1392,8.2811
419,2,0.1392,8.4203
420,1,0.0696,8.4899
421,1,0.0696,8.5595
422,1,0.0696,8.6291
423,3,0.2088,8.8379
424,5,0.3479,9.1858
425,3,0.2088,9.3946
426,3,0.2088,9.6033
427,2,0.1392,9.7425
428,3,0.2088,9.9513
429,3,0.2088,10.1601
430,3,0.2088,10.3688
431,6,0.4175,10.7864
432,3,0.2088,10.9951
434,3,0.2088,11.2039
435,2,0.1392,11.3431
436,2,0.1392,11.4823
437,4,0.2784,11.7606
439,3,0.2088,11.9694
440,2,0.1392,12.1086
441,1,0.0696,12.1781
442,3,0.2088,12.3869
444,7,0.4871,12.874
445,3,0.2088,13.0828
446,5,0.3479,13.4308
447,2,0.1392,13.5699
448,1,0.0696,13.6395
449,5,0.3479,13.9875
450,2,0.1392,14.1267
451,3,0.2088,14.3354
452,8,0.5567,14.8921
453,4,0.2784,15.1705
454,5,0.3479,15.5184
455,1,0.0696,15.588
