GDS_interview,n,perc,cum_per
597,3,0.1328,90.2169
598,6,0.2656,90.4825
599,5,0.2213,90.7039
600,6,0.2656,90.9695
601,9,0.3984,91.3679
602,5,0.2213,91.5892
603,2,0.0885,91.6777
604,4,0.1771,91.8548
605,1,0.0443,91.8991
606,5,0.2213,92.1204
607,5,0.2213,92.3417
608,6,0.2656,92.6073
609,7,0.3099,92.9172
610,5,0.2213,93.1386
611,4,0.1771,93.3156
612,2,0.0885,93.4042
613,5,0.2213,93.6255
614,1,0.0443,93.6698
615,1,0.0443,93.714
616,1,0.0443,93.7583
617,3,0.1328,93.8911
618,2,0.0885,93.9796
619,2,0.0885,94.0682
620,3,0.1328,94.201
621,3,0.1328,94.3338
622,2,0.0885,94.4223
623,7,0.3099,94.7322
625,5,0.2213,94.9535
626,4,0.1771,95.1306
627,5,0.2213,95.3519
628,2,0.0885,95.4405
630,2,0.0885,95.529
632,4,0.1771,95.7061
633,3,0.1328,95.8389
634,1,0.0443,95.8831
635,2,0.0885,95.9717
636,7,0.3099,96.2815
637,1,0.0443,96.3258
638,2,0.0885,96.4143
639,4,0.1771,96.5914
640,1,0.0443,96.6357
641,1,0.0443,96.6799
642,4,0.1771,96.857
643,1,0.0443,96.9013
644,1,0.0443,96.9456
645,2,0.0885,97.0341
646,2,0.0885,97.1226
647,2,0.0885,97.2112
648,1,0.0443,97.2554
650,5,0.2213,97.4768
651,1,0.0443,97.521
652,1,0.0443,97.5653
653,1,0.0443,97.6096
654,1,0.0443,97.6538
656,1,0.0443,97.6981
658,2,0.0885,97.7866
660,1,0.0443,97.8309
661,4,0.1771,98.008
662,1,0.0443,98.0522
663,1,0.0443,98.0965
664,1,0.0443,98.1408
666,2,0.0885,98.2293
668,1,0.0443,98.2736
670,1,0.0443,98.3178
672,2,0.0885,98.4064
673,1,0.0443,98.4506
675,1,0.0443,98.4949
676,1,0.0443,98.5392
679,1,0.0443,98.5834
680,1,0.0443,98.6277
682,1,0.0443,98.672
685,1,0.0443,98.7162
686,1,0.0443,98.7605
690,2,0.0885,98.849
692,2,0.0885,98.9376
697,4,0.1771,99.1147
700,2,0.0885,99.2032
701,1,0.0443,99.2475
702,1,0.0443,99.2917
704,1,0.0443,99.336
706,1,0.0443,99.3803
709,2,0.0885,99.4688
710,1,0.0443,99.5131
711,1,0.0443,99.5573
716,1,0.0443,99.6016
719,3,0.1328,99.7344
720,1,0.0443,99.7787
722,1,0.0443,99.8229
724,1,0.0443,99.8672
727,1,0.0443,99.9115
730,1,0.0443,99.9557
757,1,0.0443,100
