group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,1.610297,3.362063,2.779268,NA
2,2,1.800882,3.917046,2.780129,0.2474681670385491
3,4,1.991468,4.583087,2.780989,0.2848316795438867
4,6,2.182054,5.352412,2.781849,0.31606267640062624
5,8,2.37264,6.21725,2.782709,0.34185846938093833
6,10,2.563226,7.169828,2.783569,0.36281277422971914
7,12,2.753812,8.202375,2.784429,0.37943723842530247
8,14,2.944398,9.307119,2.785289,0.392172899933333
9,16,3.134983,10.476287,2.786149,0.4014028541684491
10,18,3.325569,11.702106,2.787009,0.40746170549232164
11,20,3.516155,12.976807,2.78787,0.41064403847010345
12,22,3.706741,14.292615,2.78873,0.41120619124377983
13,24,3.897327,15.641759,2.78959,0.409377724278788
14,28,4.087913,17.016466,2.79045,0.40536044961843787
15,32,4.278499,18.408966,2.79131,0.39933548281452175
16,36,4.469084,19.811485,2.79217,0.39146265702690763
17,42,4.65967,21.216251,2.79303,0.38188674505846587
18,48,4.850256,22.615493,2.79389,0.3707375699533534
19,54,5.040842,24.001438,2.79475,0.35813138439423187
20,60,5.231428,25.366314,2.795611,0.34417392675906006
21,66,5.422014,26.702349,2.796471,0.32896076482359143
22,72,5.6126,28.001771,2.797331,0.3125786605290606
23,78,5.803185,29.256808,2.798191,0.29510654295992617
24,84,5.993771,30.459688,2.799051,0.27661637518441506
25,96,6.184357,31.602638,2.799911,0.25717369940749557
26,108,6.374943,32.677887,2.800771,0.23683922153667322
27,120,6.565529,33.677662,2.801631,0.21566775463177926
28,132,6.756115,34.594191,2.802491,0.19371031006089878
29,156,6.946701,35.419703,2.803352,0.17101384409968526
30,204,7.137286,36,2.804212,0.1178773576545599
