agestrat,physcore_teacher,n,perc,cum_per
24,8,1,2.9412,2.9412
24,12,2,5.8824,8.8235
24,14,3,8.8235,17.6471
24,15,1,2.9412,20.5882
24,18,6,17.6471,38.2353
24,19,2,5.8824,44.1176
24,20,4,11.7647,55.8824
24,21,2,5.8824,61.7647
24,22,2,5.8824,67.6471
24,23,2,5.8824,73.5294
24,24,4,11.7647,85.2941
24,25,2,5.8824,91.1765
24,26,1,2.9412,94.1176
24,28,1,2.9412,97.0588
24,29,1,2.9412,100
28,14,1,2.8571,2.8571
28,15,3,8.5714,11.4286
28,16,2,5.7143,17.1429
28,17,6,17.1429,34.2857
28,19,2,5.7143,40
28,20,4,11.4286,51.4286
28,21,5,14.2857,65.7143
28,22,2,5.7143,71.4286
28,23,3,8.5714,80
28,25,4,11.4286,91.4286
28,27,1,2.8571,94.2857
28,28,1,2.8571,97.1429
28,31,1,2.8571,100
32,6,1,2.5,2.5
32,13,1,2.5,5
32,17,2,5,10
32,18,2,5,15
32,19,2,5,20
32,20,7,17.5,37.5
32,21,6,15,52.5
32,22,4,10,62.5
32,23,2,5,67.5
32,24,1,2.5,70
32,25,4,10,80
32,26,3,7.5,87.5
32,29,2,5,92.5
32,32,3,7.5,100
36,10,1,1.6667,1.6667
36,11,1,1.6667,3.3333
36,13,1,1.6667,5
36,14,1,1.6667,6.6667
36,16,1,1.6667,8.3333
36,17,2,3.3333,11.6667
36,18,2,3.3333,15
36,19,2,3.3333,18.3333
36,20,2,3.3333,21.6667
36,21,1,1.6667,23.3333
36,22,5,8.3333,31.6667
36,23,6,10,41.6667
36,24,8,13.3333,55
36,25,4,6.6667,61.6667
36,26,5,8.3333,70
36,27,5,8.3333,78.3333
36,28,7,11.6667,90
36,29,2,3.3333,93.3333
36,30,3,5,98.3333
36,33,1,1.6667,100
42,11,1,1.3158,1.3158
42,12,1,1.3158,2.6316
42,14,2,2.6316,5.2632
42,15,1,1.3158,6.5789
42,16,1,1.3158,7.8947
42,17,3,3.9474,11.8421
42,18,2,2.6316,14.4737
42,19,4,5.2632,19.7368
42,20,4,5.2632,25
42,21,3,3.9474,28.9474
42,22,3,3.9474,32.8947
42,23,2,2.6316,35.5263
42,24,5,6.5789,42.1053
42,25,9,11.8421,53.9474
42,26,7,9.2105,63.1579
42,27,5,6.5789,69.7368
42,28,4,5.2632,75
42,29,9,11.8421,86.8421
42,30,3,3.9474,90.7895
42,31,3,3.9474,94.7368
42,32,4,5.2632,100
48,5,1,1.5385,1.5385
48,12,1,1.5385,3.0769
48,17,3,4.6154,7.6923
48,18,1,1.5385,9.2308
48,20,1,1.5385,10.7692
48,21,3,4.6154,15.3846
48,22,3,4.6154,20
48,23,3,4.6154,24.6154
48,24,2,3.0769,27.6923
48,25,6,9.2308,36.9231
48,26,5,7.6923,44.6154
48,27,7,10.7692,55.3846
48,28,6,9.2308,64.6154
48,29,2,3.0769,67.6923
48,30,6,9.2308,76.9231
48,31,6,9.2308,86.1538
48,32,7,10.7692,96.9231
48,33,1,1.5385,98.4615
48,34,1,1.5385,100
54,5,1,1.2346,1.2346
54,11,1,1.2346,2.4691
54,12,1,1.2346,3.7037
54,15,1,1.2346,4.9383
54,16,1,1.2346,6.1728
54,17,1,1.2346,7.4074
54,18,1,1.2346,8.642
54,19,2,2.4691,11.1111
54,20,2,2.4691,13.5802
54,21,2,2.4691,16.0494
54,22,1,1.2346,17.284
54,23,3,3.7037,20.9877
54,24,5,6.1728,27.1605
54,25,8,9.8765,37.037
54,26,3,3.7037,40.7407
54,27,3,3.7037,44.4444
54,28,3,3.7037,48.1481
54,29,7,8.642,56.7901
54,30,12,14.8148,71.6049
54,31,11,13.5802,85.1852
54,32,6,7.4074,92.5926
54,33,3,3.7037,96.2963
54,34,3,3.7037,100
60,18,1,1.2048,1.2048
60,20,2,2.4096,3.6145
60,21,1,1.2048,4.8193
60,23,1,1.2048,6.0241
60,24,1,1.2048,7.2289
60,25,5,6.0241,13.253
60,26,3,3.6145,16.8675
60,27,3,3.6145,20.4819
60,28,5,6.0241,26.506
60,29,8,9.6386,36.1446
60,30,8,9.6386,45.7831
60,31,21,25.3012,71.0843
60,32,17,20.4819,91.5663
60,33,5,6.0241,97.5904
60,34,2,2.4096,100
66,15,1,1.4286,1.4286
66,18,2,2.8571,4.2857
66,22,3,4.2857,8.5714
66,23,3,4.2857,12.8571
66,24,1,1.4286,14.2857
66,25,2,2.8571,17.1429
66,26,1,1.4286,18.5714
66,27,2,2.8571,21.4286
66,28,5,7.1429,28.5714
66,29,3,4.2857,32.8571
66,30,13,18.5714,51.4286
66,31,7,10,61.4286
66,32,10,14.2857,75.7143
66,33,13,18.5714,94.2857
66,34,4,5.7143,100
72,23,2,2.2727,2.2727
72,25,4,4.5455,6.8182
72,26,2,2.2727,9.0909
72,27,3,3.4091,12.5
72,29,6,6.8182,19.3182
72,30,7,7.9545,27.2727
72,31,15,17.0455,44.3182
72,32,14,15.9091,60.2273
72,33,19,21.5909,81.8182
72,34,16,18.1818,100
78,10,1,1.4706,1.4706
78,15,1,1.4706,2.9412
78,16,1,1.4706,4.4118
78,17,1,1.4706,5.8824
78,18,1,1.4706,7.3529
78,24,3,4.4118,11.7647
78,25,2,2.9412,14.7059
78,26,1,1.4706,16.1765
78,28,1,1.4706,17.6471
78,29,2,2.9412,20.5882
78,30,2,2.9412,23.5294
78,31,8,11.7647,35.2941
78,32,16,23.5294,58.8235
78,33,17,25,83.8235
78,34,11,16.1765,100
84,12,1,0.9174,0.9174
84,23,1,0.9174,1.8349
84,25,1,0.9174,2.7523
84,27,4,3.6697,6.422
84,28,3,2.7523,9.1743
84,29,6,5.5046,14.6789
84,30,4,3.6697,18.3486
84,31,9,8.2569,26.6055
84,32,9,8.2569,34.8624
84,33,27,24.7706,59.633
84,34,44,40.367,100
96,10,1,0.9804,0.9804
96,23,2,1.9608,2.9412
