agestrat,n,median,mean,sd,ES,group
24,34,16,15.88,4.66,NA,1
28,35,18,17.03,4.33,0.26,2
32,40,19,19.18,5.45,0.44,3
36,60,22,21.18,4.83,0.39,4
42,76,23,22.96,5.69,0.34,5
48,65,26,25.03,5.02,0.39,6
54,81,27,25.89,6.4,0.15,7
60,83,29,28.64,4.02,0.53,8
66,70,29.5,29.19,5.09,0.12,9
72,88,32,31.8,3.69,0.59,10
78,68,32,30.59,5.89,-0.25,11
84,109,34,33.15,4.83,0.48,12
96,102,36,34.44,4.19,0.29,13
108,87,37,35.49,3.24,0.28,14
120,83,37,35.86,3.28,0.11,15
132,165,38,36.79,3.42,0.28,16
156,110,38,37.1,1.66,0.12,17
204,81,38,37.74,0.82,0.52,18
