rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
0,100,97,89,81,72,64,56,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,105,102,94,85,77,69,60,52,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,110,107,98,90,82,73,65,57,48,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,115,112,103,95,86,78,70,61,53,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,120,118,109,99,91,82,74,66,58,49,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,126,123,114,104,95,87,79,70,62,54,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,131,128,119,110,100,92,83,75,67,59,51,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,136,133,125,115,106,96,88,80,71,63,55,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,141,138,130,121,111,101,93,84,76,68,60,52,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,146,144,135,126,117,107,97,89,81,72,64,57,49,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,151,149,140,132,122,112,102,93,85,77,69,61,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,156,154,146,137,128,118,108,98,90,82,74,66,58,51,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,160,159,151,142,133,124,114,103,94,86,78,70,63,55,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
13,160,160,156,148,139,129,120,109,99,91,83,75,67,60,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
14,160,160,160,153,144,135,125,115,105,95,87,79,72,64,57,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
15,160,160,160,159,150,141,131,121,111,100,92,84,76,69,62,55,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
16,160,160,160,160,155,146,137,127,117,106,97,89,81,73,66,59,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
17,160,160,160,160,160,152,143,133,123,112,102,93,85,78,71,64,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40
18,160,160,160,160,160,158,148,139,129,119,108,98,90,83,75,68,62,55,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40
19,160,160,160,160,160,160,154,145,135,125,114,103,95,87,80,73,66,60,54,48,43,40,40,40,40,40,40,40,40,40,40,40,40
20,160,160,160,160,160,160,160,151,141,131,121,110,99,92,84,77,71,64,58,53,48,43,40,40,40,40,40,40,40,40,40,40,40
21,160,160,160,160,160,160,160,157,147,137,127,116,106,96,89,82,75,69,63,57,52,47,43,40,40,40,40,40,40,40,40,40,40
22,160,160,160,160,160,160,160,160,153,143,133,123,112,101,94,87,80,74,68,62,57,52,48,44,40,40,40,40,40,40,40,40,40
23,160,160,160,160,160,160,160,160,159,150,140,129,119,108,98,91,84,78,72,66,61,56,52,48,45,42,40,40,40,40,40,40,40
24,160,160,160,160,160,160,160,160,160,156,146,136,126,115,104,96,89,83,77,71,66,61,57,53,50,47,45,43,42,42,42,43,43
25,160,160,160,160,160,160,160,160,160,160,152,142,132,122,111,101,94,87,81,76,70,66,61,57,54,51,49,48,47,46,47,48,48
26,160,160,160,160,160,160,160,160,160,160,159,149,139,129,118,108,98,92,86,80,75,70,66,62,59,56,54,52,51,51,51,52,52
27,160,160,160,160,160,160,160,160,160,160,160,155,146,136,125,115,104,96,90,85,79,75,70,66,63,60,58,57,56,55,56,57,57
28,160,160,160,160,160,160,160,160,160,160,160,160,152,142,132,122,112,102,95,89,84,79,75,71,68,65,63,61,60,60,60,61,61
29,160,160,160,160,160,160,160,160,160,160,160,160,159,149,139,129,119,109,99,94,89,84,79,76,72,69,67,66,65,64,65,66,66
30,160,160,160,160,160,160,160,160,160,160,160,160,160,156,146,137,127,117,107,98,93,88,84,80,77,74,72,70,69,69,69,70,70
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,144,134,125,115,105,98,93,89,85,81,79,76,75,74,74,74,75,75
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,142,132,123,113,104,97,93,89,86,83,81,79,78,78,78,80,80
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,149,140,131,121,112,104,98,94,90,88,85,84,83,83,83,84,84
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,148,139,130,121,112,104,98,95,92,90,88,87,87,87,89,89
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155,146,138,129,121,113,106,99,97,94,93,92,92,92,93,93
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,146,138,130,122,115,109,103,99,97,96,96,97,98,98
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,146,138,131,124,118,113,108,105,102,102,103,106,106
