SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
160,17--42,16--42,16--42,16--42,17--42,17--42,18--42,19--42,20--42,22--42,23--42,24--42,26--42,28--42,29--42,31--42,33--42,35--42,36--42,38--42,40--42,41--42,-,-,-,-,-,-,-,-,-,-,-
159,16,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,16,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,32,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-
156,-,-,15,-,-,-,17,18,-,-,-,-,25,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,15,-,15,-,16,-,-,19,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-
154,15,-,-,-,-,-,-,-,-,20,-,23,-,-,28,-,-,-,35,-,-,40,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,14,-,-,-,16,17,-,-,21,-,24,-,-,-,31,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-
150,-,14,-,14,-,15,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-
149,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,14,-,-,-,-,19,-,22,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,34,-,-,39,-,42,-,-,-,-,-,-,-,-,-
146,-,-,13,-,-,-,-,-,-,-,20,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,13,-,13,-,-,15,16,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,13,-,-,-,-,14,-,-,17,-,-,-,-,-,-,-,30,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,13,-,-,-,-,18,-,21,-,-,-,28,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,12,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,12,-,12,-,-,14,15,-,-,19,-,-,-,-,-,-,-,33,-,-,38,-,-,-,-,-,-,-,-,-,-,-
139,12,-,-,-,-,13,-,-,16,-,-,-,22,-,-,-,-,31,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-
138,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,17,-,20,-,-,-,27,-,-,-,-,36,-,-,-,42,-,-,-,-,-,-,-,-
136,-,-,11,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,11,11,-,11,-,-,13,14,-,-,-,-,-,23,-,-,-,-,-,34,-,-,39,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,12,-,-,-,-,18,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,15,-,-,-,21,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,37,-,40,-,-,-,-,-,-,-,-,-
131,-,10,10,-,-,-,-,-,-,16,-,19,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,10,-,-,10,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,11,12,13,-,-,17,-,-,22,-,-,-,-,-,33,-,-,-,-,41,-,-,-,-,-,-,-,-
128,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,42,-,-,-,-,-,-,-
127,-,-,-,-,10,-,-,-,-,-,-,-,20,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-,9,9,-,-,-,-,-,-,15,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,9,-,-,9,-,-,-,-,-,-,-,18,-,-,-,25,27,-,-,-,-,36,-,39,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,10,11,12,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,-,-,-,-,-,-,-,16,-,-,21,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,9,-,-,-,13,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,40,-,-,-,-,-,-,-,-
121,-,8,8,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,30,-,-,-,37,-,-,-,-,-,-,-,-,-,-
120,8,-,-,8,-,-,-,-,-,14,-,17,-,-,-,-,-,28,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-
119,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-
118,-,-,-,-,-,9,-,11,-,-,-,-,-,-,22,24,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
