SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
160,12--34,13--34,14--34,16--34,17--34,18--34,20--34,21--34,22--34,24--34,25--34,26--34,27--34,28--34,30--34,31--34,32--34,33--34,33--34,34,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,12,-,15,-,-,-,-,-,-,-,-,-,-,29,30,31,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,11,-,-,-,-,-,19,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,16,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,13,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,17,-,-,-,-,-,25,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,14,-,-,-,-,21,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,10,11,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,18,-,-,22,-,-,-,-,28,29,-,31,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,12,-,15,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,19,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,16,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
148,9,10,-,13,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,14,-,17,-,-,21,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,11,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,18,-,-,22,-,-,-,-,28,29,30,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,9,-,12,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
142,8,-,-,-,-,-,-,-,19,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,10,-,13,-,16,-,-,-,-,-,24,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,-,20,-,-,-,25,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,17,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
