SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
160,16--36,17--36,17--36,18--36,18--36,19--36,20--36,21--36,22--36,23--36,24--36,26--36,27--36,28--36,30--36,31--36,32--36,34--36,35--36,36,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,16,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,17,-,-,-,-,-,-,-,25,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,16,-,-,18,19,20,21,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
155,15,-,-,-,17,-,-,-,-,22,-,-,-,27,-,-,31,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-
154,-,15,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,16,-,-,-,-,-,-,-,24,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,15,-,-,17,18,19,20,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,14,-,-,-,16,-,-,-,-,21,-,-,-,26,-,-,30,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,14,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,15,-,-,-,-,-,-,-,23,-,-,27,-,-,31,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,14,-,-,16,17,18,19,-,-,-,24,-,-,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,13,-,-,-,15,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,13,-,-,-,-,-,-,-,-,21,-,-,25,-,-,29,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-,-,-,22,-,-,26,-,-,30,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
141,12,-,13,-,-,15,16,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,14,-,-,-,18,-,-,-,23,-,-,27,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,12,-,-,-,-,-,-,-,19,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,13,-,-,-,-,-,-,20,-,-,-,-,-,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,12,-,-,-,-,-,-,-,-,21,-,-,25,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
136,11,-,-,-,-,14,15,16,-,-,-,-,-,-,-,-,-,29,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,13,-,-,-,17,-,-,-,22,-,-,-,-,-,-,-,-,-,35,36,-,-,-,-,-,-,-,-,-
134,-,11,-,-,-,-,-,-,-,18,-,-,-,-,-,26,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,12,-,-,-,-,-,-,19,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
131,10,-,-,-,-,-,14,-,-,-,-,20,-,-,24,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,12,13,-,15,16,-,-,-,-,-,-,-,-,28,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-
129,-,10,-,-,-,-,-,-,-,17,-,-,21,-,-,25,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
128,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,35,36,-,-,-,-,-,-,-,-
127,-,-,10,-,-,-,-,-,-,-,18,-,-,22,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,9,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,11,12,13,14,15,-,-,-,-,-,23,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
124,-,9,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,27,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,10,-,-,-,-,-,16,-,-,-,-,-,24,-,-,-,-,-,-,33,-,-,36,-,-,-,-,-,-,-
122,-,-,9,-,-,-,-,-,-,-,17,-,-,21,-,-,-,-,28,-,-,-,-,34,35,-,-,-,-,-,-,-,-
121,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,-,-,-,-,10,11,12,13,-,-,-,18,-,-,22,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
