SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
160,16--41,16--41,16--41,17--41,18--41,19--41,20--41,21--41,22--41,24--41,25--41,27--41,28--41,30--41,31--41,33--41,35--41,36--41,38--41,40--41,41,-,-,-,-,-,-,-,-,-,-,-,-
159,15,-,-,-,17,18,19,-,-,23,-,26,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,15,-,16,-,-,-,20,-,-,-,-,-,29,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,15,-,-,-,-,-,21,-,-,-,27,-,-,32,-,-,37,-,40,-,-,-,-,-,-,-,-,-,-,-,-
155,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,16,17,18,-,-,22,-,25,-,-,30,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,14,-,15,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,38,-,41,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,14,-,-,-,-,-,20,-,23,-,26,-,-,31,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,-
149,-,13,-,-,15,16,17,-,-,21,-,-,-,-,29,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,14,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,18,-,-,-,-,-,27,-,-,32,-,-,37,-,40,-,-,-,-,-,-,-,-,-,-,-
146,-,-,13,-,-,-,-,-,19,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,12,-,-,-,-,-,-,-,-,-,-,-,25,-,-,30,-,-,35,-,-,-,41,-,-,-,-,-,-,-,-,-,-
144,-,12,-,-,14,15,16,-,-,20,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,13,-,-,-,-,-,-,-,23,-,-,28,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,17,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,12,-,-,-,-,-,18,-,21,-,-,-,-,-,31,-,-,36,-,39,-,-,-,-,-,-,-,-,-,-,-
140,11,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,11,-,-,13,14,-,-,-,-,-,-,-,-,-,29,-,-,34,-,-,-,40,-,-,-,-,-,-,-,-,-,-
138,-,-,-,12,-,-,15,-,-,19,-,22,-,-,27,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,11,-,-,-,-,16,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-
136,10,-,-,-,-,-,-,-,-,-,20,-,-,25,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,30,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-
134,-,10,-,-,12,13,-,-,-,-,-,-,23,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,11,-,-,14,-,-,18,-,21,-,-,-,-,-,-,33,-,-,-,39,-,-,-,-,-,-,-,-,-,-
132,-,-,10,-,-,-,-,15,-,-,-,-,-,-,26,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-
131,9,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,31,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,-,-,-,16,-,19,-,-,-,-,-,29,-,-,34,-,-,-,-,41,-,-,-,-,-,-,-,-
129,-,9,-,-,11,12,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,10,-,-,13,-,-,17,-,-,-,-,-,27,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,9,-,-,-,-,14,-,-,-,20,-,-,25,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-
126,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-
125,-,8,-,-,-,-,-,-,15,-,18,-,-,23,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-
124,-,-,-,9,10,11,-,-,-,-,-,-,21,-,-,-,28,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
