SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,11--37,12--37,14--37,15--37,17--37,18--37,20--37,22--37,23--37,24--37,23--37,25--37,27--37,28--37,30--37,31--37,33--37,34--37,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,13,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,16,-,-,21,-,-,-,-,-,-,29,-,32,-,37,-,-,-,-,-,-,-,-,-,-,-
157,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,14,-,-,19,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
154,10,-,12,-,-,17,-,-,22,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,10,-,-,15,-,-,20,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,13,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-
149,9,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,11,-,-,16,-,-,21,22,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,9,-,-,14,-,-,19,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,12,-,-,17,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-
143,8,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
142,-,-,10,-,-,15,-,-,20,-,21,-,-,-,-,29,-,-,-,36,37,-,-,-,-,-,-,-,-,-
141,-,8,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,13,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,11,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,7,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,9,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
135,-,7,-,-,12,-,-,-,19,-,-,22,-,-,-,-,-,-,-,35,-,37,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,17,-,20,-,-,-,-,-,-,-,31,-,-,36,-,-,-,-,-,-,-,-,-
133,-,-,-,10,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,6,-,-,-,-,-,15,-,-,-,20,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,6,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,11,-,-,-,18,-,-,-,23,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-
127,5,-,-,9,-,-,-,-,-,19,-,-,-,-,26,-,29,-,-,34,35,36,-,-,-,-,-,-,-,-
126,-,-,7,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,5,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,-,10,-,-,-,17,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-
122,4,-,-,8,-,-,-,15,-,-,19,-,-,24,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-
120,-,-,6,-,-,-,13,-,-,18,-,-,-,-,-,-,-,-,-,33,-,-,36,-,-,-,-,-,-,-
119,-,4,-,-,-,11,-,-,-,-,-,-,22,-,-,-,-,-,-,-,34,35,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,9,-,-,-,16,-,-,-,-,-,25,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-
116,3,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,-,5,-,-,-,-,14,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,-,-,-,-,-,-,12,-,-,17,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-
113,-,3,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-
112,-,-,-,-,8,-,-,-,-,-,18,-,-,23,-,-,-,-,-,32,-,-,35,37,-,-,-,-,-,-
