rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
0,77,78,79,77,75,72,67,62,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,83,84,84,83,80,77,72,67,62,56,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,89,90,90,88,86,82,78,72,67,61,54,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,95,96,96,94,91,87,83,77,72,65,59,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,101,101,101,100,96,92,88,82,76,70,64,57,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,106,106,106,105,102,98,93,87,81,75,68,61,54,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,111,111,111,110,107,103,98,92,86,80,73,66,59,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,115,116,116,115,112,108,103,97,91,84,77,70,63,56,49,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,120,121,121,120,117,113,108,102,96,89,82,75,68,60,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,125,126,126,125,122,118,114,108,101,94,87,79,72,65,57,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,130,131,131,130,127,124,119,113,106,98,91,84,76,69,62,55,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,135,135,136,135,132,129,124,118,112,104,96,88,81,73,66,59,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,139,140,141,140,138,134,129,124,117,109,100,93,85,78,70,63,56,49,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40
13,144,145,146,145,143,139,135,129,122,115,106,97,90,82,74,67,60,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40
14,149,150,151,150,148,144,140,135,128,120,112,102,94,86,79,71,64,57,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40
15,154,155,156,155,153,150,145,140,133,126,117,108,98,90,83,75,68,61,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40
16,159,160,160,160,158,155,151,145,139,131,123,114,104,95,87,79,72,65,58,52,46,40,40,40,40,40,40,40,40,40,40,40,40
17,160,160,160,160,160,160,156,151,144,137,129,120,110,99,91,83,76,69,62,55,49,44,40,40,40,40,40,40,40,40,40,40,40
18,160,160,160,160,160,160,160,156,150,143,134,125,115,105,95,87,80,73,66,59,53,48,42,40,40,40,40,40,40,40,40,40,40
19,160,160,160,160,160,160,160,160,155,148,140,131,121,111,100,92,84,77,70,63,57,51,46,41,40,40,40,40,40,40,40,40,40
20,160,160,160,160,160,160,160,160,160,154,146,137,127,117,105,96,88,81,73,67,61,55,50,45,41,40,40,40,40,40,40,40,40
21,160,160,160,160,160,160,160,160,160,159,151,143,133,123,111,100,92,84,77,71,64,58,53,49,44,41,40,40,40,40,40,40,40
22,160,160,160,160,160,160,160,160,160,160,157,148,139,129,118,106,96,88,81,74,68,62,57,52,48,44,41,40,40,40,40,40,40
23,160,160,160,160,160,160,160,160,160,160,160,154,145,135,124,112,100,92,85,78,72,66,60,56,51,48,45,42,41,40,41,42,43
24,160,160,160,160,160,160,160,160,160,160,160,160,151,141,130,118,106,96,89,82,75,69,64,59,55,51,48,46,44,43,44,45,46
25,160,160,160,160,160,160,160,160,160,160,160,160,156,147,136,125,113,100,93,86,79,73,68,63,58,54,51,49,47,46,47,48,49
26,160,160,160,160,160,160,160,160,160,160,160,160,160,152,142,131,119,107,97,90,83,77,71,66,62,58,55,52,51,50,50,51,52
27,160,160,160,160,160,160,160,160,160,160,160,160,160,158,148,137,125,113,101,93,87,80,75,70,65,61,58,56,54,53,53,54,55
28,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,143,132,120,107,97,90,84,78,73,69,65,61,59,57,56,56,57,58
29,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,149,138,126,114,102,94,88,82,77,72,68,65,62,60,59,59,60,61
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,144,133,121,108,98,91,85,80,75,71,68,65,63,62,63,63,64
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,139,127,115,103,95,89,84,79,75,71,69,67,65,66,66,67
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,146,134,122,110,99,93,87,82,78,75,72,70,69,69,69,70
