rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,100,97,88,79,70,62,53,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,105,102,93,84,75,67,58,50,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,111,108,98,89,80,71,63,55,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,116,113,103,94,85,76,68,60,52,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,122,119,109,99,90,81,73,64,56,49,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,127,124,115,105,95,86,78,69,61,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,132,130,120,110,100,91,82,74,66,58,51,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,138,135,126,116,106,96,87,79,71,63,55,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,143,141,131,122,112,101,92,84,75,67,60,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,149,146,137,127,117,107,97,88,80,72,64,57,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,154,152,142,133,123,113,102,93,85,77,69,62,55,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,160,157,148,139,129,119,108,98,89,81,74,66,59,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,160,160,154,144,135,124,114,103,94,86,78,71,63,57,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40
13,160,160,159,150,140,130,120,109,99,91,83,75,68,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40
14,160,160,160,156,146,136,126,115,105,95,87,80,72,66,59,53,47,42,40,40,40,40,40,40,40,40,40,40,40,40
15,160,160,160,160,152,142,132,122,111,100,92,84,77,70,63,57,51,46,41,40,40,40,40,40,40,40,40,40,40,40
16,160,160,160,160,158,148,138,128,117,106,97,89,81,74,68,62,56,50,45,41,40,40,40,40,40,40,40,40,40,40
17,160,160,160,160,160,154,144,134,123,112,102,93,86,79,72,66,60,55,50,45,41,40,40,40,40,40,40,40,40,40
18,160,160,160,160,160,160,150,140,129,119,108,98,90,83,76,70,64,59,54,49,45,41,40,40,40,40,40,40,40,40
19,160,160,160,160,160,160,156,146,135,125,114,103,95,88,81,74,69,63,58,53,49,45,42,40,40,40,40,40,40,40
20,160,160,160,160,160,160,160,152,142,131,121,110,99,92,85,79,73,67,62,57,53,49,46,43,41,40,40,40,40,40
21,160,160,160,160,160,160,160,158,148,137,127,116,106,96,90,83,77,71,66,62,57,54,50,47,45,43,42,41,41,41
22,160,160,160,160,160,160,160,160,154,144,133,123,112,101,94,87,81,76,70,66,61,58,54,51,49,47,46,45,45,45
23,160,160,160,160,160,160,160,160,160,150,140,129,119,108,98,92,86,80,75,70,65,62,58,55,53,51,50,49,48,49
24,160,160,160,160,160,160,160,160,160,156,146,136,125,115,104,96,90,84,79,74,69,66,62,59,57,55,53,53,52,52
25,160,160,160,160,160,160,160,160,160,160,152,142,132,121,111,101,94,88,83,78,74,70,66,63,61,59,57,56,56,56
26,160,160,160,160,160,160,160,160,160,160,159,149,138,128,118,108,98,92,87,82,78,74,70,67,65,63,61,60,60,60
27,160,160,160,160,160,160,160,160,160,160,160,155,145,135,125,114,104,97,91,86,82,78,74,71,68,66,65,64,63,63
28,160,160,160,160,160,160,160,160,160,160,160,160,152,142,131,121,111,102,95,90,86,82,78,75,72,70,69,68,67,67
29,160,160,160,160,160,160,160,160,160,160,160,160,158,148,138,128,119,109,100,94,90,86,82,79,76,74,72,71,71,71
30,160,160,160,160,160,160,160,160,160,160,160,160,160,155,145,135,126,116,107,99,94,90,86,83,80,78,76,75,74,74
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,142,133,123,114,105,98,94,90,87,84,82,80,79,78,78
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,149,140,130,121,112,104,98,94,91,88,86,84,83,82,82
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,138,129,120,111,103,98,95,92,89,88,86,86,85
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,145,136,127,119,111,104,98,96,93,91,90,89,89
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,143,135,127,119,112,105,99,97,95,94,93,93
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,151,142,134,127,120,113,107,102,99,98,97,97
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,150,142,135,128,121,116,111,107,103,101,101
