rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,100,94,85,76,68,60,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,106,100,90,82,73,65,58,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,111,105,96,87,79,71,63,56,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,117,111,101,92,84,76,68,61,55,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,122,117,107,98,89,81,73,66,59,53,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,128,122,113,103,95,86,79,71,64,58,52,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,134,128,119,109,100,92,84,76,69,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,139,134,124,115,106,97,89,81,74,67,61,55,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,145,139,130,121,112,102,94,86,79,72,66,60,55,49,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,150,145,136,127,118,108,99,91,84,77,71,65,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,156,151,142,133,123,114,105,96,89,82,75,69,64,58,53,49,45,41,40,40,40,40,40,40,40,40,40,40,40,40
11,160,156,147,138,129,120,111,102,94,87,80,74,68,63,58,53,49,45,41,40,40,40,40,40,40,40,40,40,40,40
12,160,160,153,144,135,126,117,108,99,92,85,79,73,67,62,57,53,49,45,42,40,40,40,40,40,40,40,40,40,40
13,160,160,159,150,141,132,123,114,105,96,90,83,77,72,67,62,57,53,49,46,43,40,40,40,40,40,40,40,40,40
14,160,160,160,156,147,138,129,120,111,102,94,88,82,76,71,66,62,57,54,50,47,44,42,40,40,40,40,40,40,40
15,160,160,160,160,153,144,135,126,117,108,99,93,86,81,75,70,66,62,58,54,51,48,45,43,41,40,40,40,40,40
16,160,160,160,160,159,150,141,132,123,114,105,97,91,85,80,75,70,66,62,58,55,52,49,47,45,43,42,41,40,40
17,160,160,160,160,160,156,147,139,130,121,112,103,96,90,84,79,74,70,66,62,59,56,53,51,49,47,46,44,44,43
18,160,160,160,160,160,160,153,145,136,127,118,109,100,94,89,83,79,74,70,66,63,60,57,55,53,51,49,48,47,46
19,160,160,160,160,160,160,160,151,142,133,125,116,107,99,93,88,83,78,74,70,67,64,61,59,56,54,53,52,51,50
20,160,160,160,160,160,160,160,157,148,140,131,122,113,105,97,92,87,83,78,74,71,68,65,62,60,58,57,55,54,53
21,160,160,160,160,160,160,160,160,155,146,137,129,120,111,103,96,91,87,82,79,75,72,69,66,64,62,60,59,58,57
22,160,160,160,160,160,160,160,160,160,152,144,135,127,118,110,101,96,91,87,83,79,76,73,70,68,66,64,62,61,60
23,160,160,160,160,160,160,160,160,160,159,150,142,133,125,117,108,100,95,91,87,83,80,77,74,71,69,68,66,65,64
24,160,160,160,160,160,160,160,160,160,160,157,148,140,132,123,115,107,99,95,91,87,83,80,78,75,73,71,70,68,67
25,160,160,160,160,160,160,160,160,160,160,160,155,147,138,130,122,114,106,99,95,91,87,84,81,79,77,75,73,72,71
26,160,160,160,160,160,160,160,160,160,160,160,160,153,145,137,129,121,113,105,99,95,91,88,85,83,80,78,77,76,74
27,160,160,160,160,160,160,160,160,160,160,160,160,160,152,144,136,128,120,113,105,99,95,92,89,86,84,82,80,79,78
28,160,160,160,160,160,160,160,160,160,160,160,160,160,159,151,143,135,128,120,113,106,99,96,93,90,88,86,84,83,81
29,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,150,142,135,128,120,113,106,100,97,94,92,89,88,86,85
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,150,142,135,128,121,114,107,101,98,95,93,91,90,89
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,149,142,135,128,122,115,109,103,99,97,95,93,92
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,150,143,136,129,123,117,111,106,101,98,97,96
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,150,144,137,131,125,120,114,110,105,101,99
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,151,145,139,133,128,123,118,114,110,107
