SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,14--41,14--41,15--41,16--41,17--41,18--41,19--41,21--41,22--41,24--41,25--41,27--41,28--41,30--41,32--41,34--41,35--41,37--41,39--41,41,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,20,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,13,-,-,-,-,-,-,-,-,-,-,26,-,-,-,33,-,-,-,40,-,-,-,-,-,-,-,-,-,-
157,-,-,14,15,16,17,-,-,21,-,-,-,-,-,31,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,24,-,-,29,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-
155,-,13,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,19,-,22,-,-,27,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
153,12,-,-,-,-,-,-,-,-,-,-,25,-,-,-,32,-,-,-,39,-,-,-,-,-,-,-,-,-,-
152,-,-,-,14,15,-,-,-,-,-,-,-,-,-,30,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-
151,-,-,13,-,-,16,-,-,20,-,23,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,12,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,35,-,-,40,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,21,-,-,26,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,18,-,-,-,24,-,-,-,31,-,-,-,38,-,-,-,-,-,-,-,-,-,-
147,11,-,-,13,14,-,-,-,-,-,-,-,-,-,29,-,-,-,36,-,-,41,-,-,-,-,-,-,-,-
146,-,-,12,-,-,15,-,-,19,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,16,-,-,-,-,-,-,27,-,-,-,34,-,-,39,-,-,-,-,-,-,-,-,-
144,-,11,-,-,-,-,-,-,-,-,-,-,25,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
