SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,15--42,15--42,15--42,16--42,16--42,17--42,18--42,19--42,20--42,22--42,23--42,25--42,26--42,28--42,30--42,31--42,33--42,35--42,37--42,39--42,40--42,42,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,24,-,-,29,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-
158,-,-,-,15,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-
156,14,14,-,-,-,16,17,18,-,-,22,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,14,-,15,-,-,-,19,-,-,-,25,-,-,-,32,-,-,-,-,41,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,39,-,-,-,-,-,-,-,-,-
153,-,-,-,14,-,-,-,-,-,20,-,23,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-
151,13,13,-,-,-,15,16,-,-,-,-,-,-,26,-,-,-,-,35,-,-,-,42,-,-,-,-,-,-,-
150,-,-,13,-,-,-,-,17,-,-,21,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,14,-,-,-,18,-,-,-,24,-,-,-,31,-,-,-,-,40,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,38,-,-,-,-,-,-,-,-,-
147,-,-,-,13,-,-,-,-,-,19,-,22,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,14,15,16,-,-,20,-,-,25,-,-,-,-,34,-,-,-,41,-,-,-,-,-,-,-
144,-,-,12,-,13,-,-,-,17,-,-,-,23,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,39,-,-,-,-,-,-,-,-
142,-,-,-,12,-,-,-,-,-,18,-,21,-,-,-,28,-,-,-,-,37,-,-,-,-,-,-,-,-,-
141,11,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-
140,-,11,-,-,-,13,14,-,-,-,-,-,-,24,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-
139,-,-,11,-,12,-,-,15,-,-,19,-,-,-,-,-,-,-,33,-,-,-,40,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,-,16,-,-,-,22,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,38,-,-,-,-,-,-,-,-
136,-,-,-,-,-,-,-,-,-,17,-,20,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,10,10,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,36,-,-,41,-,-,-,-,-,-
134,-,-,10,-,-,12,13,14,-,-,-,-,-,23,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,11,-,-,-,-,-,18,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-,-,15,-,-,-,21,-,-,-,-,30,-,-,-,-,39,-,-,-,-,-,-,-
131,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,26,28,-,-,-,-,37,-,-,42,-,-,-,-,-
130,9,9,-,-,-,-,-,-,-,16,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,11,12,-,-,-,-,-,-,-,24,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-
128,-,-,9,-,10,-,-,13,-,-,17,-,-,22,-,-,-,-,-,33,-,-,-,40,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-
126,-,-,-,9,-,-,-,-,-,-,-,-,20,-,-,-,27,29,-,-,-,-,38,-,-,-,-,-,-,-
125,8,-,-,-,-,-,-,-,-,15,-,-,-,-,-,25,-,-,-,-,-,36,-,-,41,-,-,-,-,-
124,-,8,-,-,-,-,-,-,-,-,-,18,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,8,-,-,10,11,12,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-
122,-,-,-,-,9,-,-,-,-,-,16,-,-,21,-,-,-,-,-,32,-,-,-,39,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,13,-,-,-,19,-,-,-,-,-,30,-,-,-,-,-,-,42,-,-,-,-
120,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,26,28,-,-,-,-,37,-,-,-,-,-,-,-
119,7,7,-,-,-,-,-,-,-,14,-,17,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,7,-,-,9,10,-,-,-,-,-,-,-,22,-,-,-,-,-,-,35,-,-,40,-,-,-,-,-
117,-,-,-,-,8,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,12,-,15,-,-,20,-,-,-,-,-,31,-,-,-,38,-,-,-,-,-,-
115,-,-,-,7,-,-,-,-,-,-,-,-,18,-,-,-,-,-,29,-,-,-,-,-,-,41,-,-,-,-
114,6,6,-,-,-,-,-,-,-,13,-,-,-,-,-,-,25,27,-,-,-,-,36,-,-,-,-,-,-,-
113,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,-,6,-,7,8,9,10,-,-,-,-,-,-,21,-,-,-,-,-,-,34,-,-,39,-,42,-,-,-
111,-,-,-,-,-,-,-,-,-,-,14,-,-,19,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-
110,-,-,-,6,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-
109,5,5,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,26,28,-,-,-,-,37,-,40,-,-,-,-
108,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,24,-,-,-,-,-,35,-,-,-,-,-,-,-
107,-,-,5,-,-,7,8,-,-,-,-,15,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
