rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,82,75,68,62,56,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,84,77,70,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,86,79,72,65,58,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,88,80,73,67,60,54,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,90,82,75,68,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,91,84,77,70,63,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,93,86,78,71,64,58,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,95,88,80,73,66,59,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,97,89,82,74,67,60,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,99,91,83,76,69,62,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,101,93,85,77,70,63,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,102,95,87,79,72,65,58,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,104,97,88,81,73,66,59,53,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
13,105,98,90,82,75,67,60,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
14,106,100,92,84,76,69,62,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
15,108,101,93,85,78,70,63,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
16,109,103,95,87,79,71,64,58,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
17,111,104,97,88,80,73,66,59,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
18,112,106,98,90,82,74,67,60,53,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
19,114,107,100,92,83,76,68,61,55,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
20,115,109,101,93,85,77,70,63,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
21,116,110,103,95,86,78,71,64,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
22,118,111,104,96,88,80,72,65,58,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
23,119,113,106,98,89,81,73,66,59,53,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
24,121,114,107,99,91,83,75,67,61,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
25,122,116,109,101,92,84,76,69,62,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
26,123,117,110,102,94,85,77,70,63,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
27,125,119,111,104,95,87,79,71,64,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
28,126,120,113,105,97,88,80,72,65,59,52,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
29,128,121,114,107,98,89,81,74,66,60,53,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
30,129,123,116,108,99,91,83,75,68,61,54,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
31,130,124,117,109,101,92,84,76,69,62,55,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
32,132,126,119,111,102,94,85,77,70,63,57,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
33,133,127,120,112,104,95,87,79,71,64,58,51,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
34,135,129,122,114,105,96,88,80,72,65,59,52,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
35,136,130,123,115,107,98,89,81,74,66,60,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
36,138,131,124,117,108,99,90,82,75,68,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
37,139,133,126,118,110,100,92,84,76,69,62,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
